"rownum","string","[string]","[string]","i32","i32","[string]","[string]","rid"
0,"HarvestThornOnHit","[""""]",[],1,0,[],[],""
1,"HarvestBulbOnHit","[""""]",[],1,0,[],[],""
2,"HarvestScaleOnHit","[""""]",[],1,0,[],[],""
3,"HarvestRavenBossScreechHit","[""\u0000TraumaStrikeHitEffectCelestial""]",[],1,1,"[""<root>""]",[],""
4,"HarvestSpikerBreathImpact","[""raumaStrikeHitEffectCelestial""]",[],1,1,[],"[""root""]",""
5,"HarvestCatBossStealthHit","[""昀攀挀琀䌀攀氀攀猀琀椀愀氀""]",[],1,1,[],[],""
6,"HarvestPlagueSpiderViperStrikeImpact","[""""]",[],1,1,[],"[""root""]",""
7,"HarvestMinerHammerGasHit","[""\u0000阀\u0019""]",[],1,0,[],[],""
8,"HarvestSnakeHeadbuttImpact","[""ffectHit""]",[],1,1,[],"[""root""]",""
9,"HeistTemplarRangedSnipeImpact","[""\u0019""]",[],1,1,[],[],""
10,"HeistMilitaryBounceShield","[""猀栀䠀椀琀""]",[],1,1,[],"[""frameupper""]",""
11,"GreenShockHit","[""""]",[],1,0,[],[],""
12,"HeistYellowChaosHit","[""琀愀爀昀愀氀氀刀愀最攀匀氀愀猀栀䠀椀琀""]",[],1,0,[],[],""
13,"RedLightningHit","[""loodScytheHit""]",[],1,0,[],[],""
14,"HeistTrapLaserBeamImpact","[""""]",[],1,0,[],[],""
15,"HeistTwinsColdSnipeImpact","[""䈀氀漀漀搀匀挀礀琀栀攀䠀椀琀䌀漀渀猀漀氀攀""]",[],1,0,[],"[""root""]",""
16,"BrutalPirateLordHitEffect","[""欀眀漀爀欀䌀栀愀爀愀挀琀攀爀䔀昀昀攀挀琀䠀椀琀""]",[],1,0,[],[],""
17,"CrimsonPriestRuneHitEffect","[""⼀\u001a""]",[],1,0,"[""<lock>""]",[],""
18,"MavenOnHitEffect","[""""]",[],1,0,[],[],""
19,"MavenBrainOnHitEffect","[""""]",[],1,0,[],[],""
20,"BloodTendrilsOnHitEffect","[""氀搀䠀椀琀䔀昀昀攀挀琀""]",[],1,3,[],[],""
