"rownum","BetrayalJobsKey","BetrayalTargetsKey","Rank","Description","ServerCommand","[rid]","Description2","ServerCommand2"
0,4,16,1,"Add a Veiled Mod to a Rare item","add_veiled_mods 0",[],"",""
1,4,16,2,"Add a Veiled Mod to a Rare item, with a low chance of adding a second Veiled Mod","add_veiled_mods 5",[],"",""
2,4,16,3,"Add a Veiled Modifier to a Rare item, with a chance of adding a second Veiled Modifier","add_veiled_mods 15",[],"",""
3,4,16,4,"Replace a random Modifier on a Rare item with a Veiled Modifier","replace_mod_with_veiled_mod",[],"",""
4,4,11,1,"Swap a Divination Card with a new random one","swap_divination_card BetrayalDivCardSwap1",[],"",""
5,4,11,2,"Swap a Divination Card with a new random one","swap_divination_card BetrayalDivCardSwap2",[],"",""
6,4,11,3,"Swap a Divination Card with a new random one","swap_divination_card BetrayalDivCardSwap3",[],"",""
7,4,11,4,"Swap a Divination Card with a new random one","swap_divination_card BetrayalDivCardSwap3",[],"",""
8,3,6,1,"Modify a Map's quality to 25%","set_quality map 25",[],"",""
9,3,6,2,"Modify a Map's quality to 30%","set_quality map 30",[],"",""
10,3,6,3,"Modify a Map's quality to 35%","set_quality map 35",[],"",""
11,3,6,4,"Modify a Map's quality to 35%","set_quality map 35",[],"",""
12,1,6,1,"Modify an Armour Piece's quality to 24%","set_quality armour 24",[],"",""
13,1,6,2,"Modify an Armour Piece's quality to 26%","set_quality armour 26",[],"",""
14,1,6,3,"Modify an Armour Piece's quality to 28%","set_quality armour 28",[],"",""
15,1,6,4,"Modify an Armour Piece's quality to 30%","set_quality armour 30",[],"",""
16,2,6,1,"Modify a Weapon's quality to 24%","set_quality weapon 24",[],"",""
17,2,6,2,"Modify a Weapon's quality to 26%","set_quality weapon 26",[],"",""
18,2,6,3,"Modify a Weapon's quality to 28%","set_quality weapon 28",[],"",""
19,2,6,4,"Modify a Weapon's quality to 30%","set_quality weapon 30",[],"",""
20,4,6,1,"Modify a Flask's quality to 22%","set_quality flask 22",[],"",""
21,4,6,2,"Modify a Flask's quality to 24%","set_quality flask 24",[],"",""
22,4,6,3,"Modify a Flask's quality to 26%","set_quality flask 26",[],"",""
23,4,6,4,"Modify a Flask's quality to 28%","set_quality flask 28",[],"",""
24,4,7,1,"Reforge the colours of sockets on an item 50 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 50 colours",[],"Modify a Flask's quality to 22%","set_quality flask 22"
25,4,7,2,"Reforge the number of sockets on an item 50 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 50 sockets",[],"Modify a Flask's quality to 24%","set_quality flask 24"
26,4,7,3,"Reforge the links between sockets on an item 50 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 50 links",[],"Modify a Flask's quality to 26%","set_quality flask 26"
27,4,7,4,"Reforge the links between sockets on an item 50 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 50 links",[],"Modify a Flask's quality to 28%","set_quality flask 28"
28,4,12,1,"Transform a non-unique Amulet into a Tier 1 Talisman","transform_into_talisman 1",[8521],"Transform a non-unique Amulet into a Tier 1 Talisman","transform_into_talisman 1"
29,4,12,2,"Transform a non-unique Amulet into a Tier 2 Talisman","transform_into_talisman 2",[8521],"Transform a non-unique Amulet into a Tier 2 Talisman","transform_into_talisman 2"
30,4,12,3,"Transform a non-unique Amulet into a Tier 3 Talisman","transform_into_talisman 3",[8521],"Transform a non-unique Amulet into a Tier 3 Talisman","transform_into_talisman 3"
31,4,12,4,"Transform a non-unique Amulet into a Tier 3 Talisman","transform_into_talisman 3",[8521],"Transform a non-unique Amulet into a Tier 3 Talisman","transform_into_talisman 3"
32,4,3,1,"Add 20m experience to a Gem","add_gem_experience 20000000",[],"Add 10m experience to a Gem","add_gem_experience 10000000"
33,4,3,2,"Add 70m experience to a Gem","add_gem_experience 70000000",[],"Add 35m experience to a Gem","add_gem_experience 35000000"
34,4,3,3,"Add 200m experience to a Gem","add_gem_experience 200000000",[],"Add 70m experience to a Gem","add_gem_experience 70000000"
35,4,3,4,"Add 200m experience to a Gem","add_gem_experience 200000000",[],"Add 150m experience to a Gem","add_gem_experience 150000000"
36,4,5,1,"Modify an item to have 1 White Socket","roll_white_sockets 0",[],"Reforge the links between sockets on an item 10 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 10 links"
37,4,5,2,"Modify an item to have 1-2 White Sockets","roll_white_sockets 1",[],"Reforge the links between sockets on an item 15 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 15 links"
38,4,5,3,"Modify an item to have 1-3 White Sockets","roll_white_sockets 2",[],"Reforge the links between sockets on an item 20 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 20 links"
39,4,5,4,"Modify an item to have 1-6 White Sockets","roll_white_sockets 5",[],"Reforge the links between sockets on an item 30 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 30 links"
40,2,5,1,"","",[],"Reforge the colours of sockets on an item 10 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 10 colours"
41,2,5,2,"","",[],"Reforge the colours of sockets on an item 20 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 20 colours"
42,2,5,3,"","",[],"Reforge the colours of sockets on an item 30 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 30 colours"
43,2,5,4,"","",[],"Reforge the colours of sockets on an item 40 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 40 colours"
44,1,5,1,"","",[],"Reforge the number of sockets on an item 10 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 10 sockets"
45,1,5,2,"","",[],"Reforge the number of sockets on an item 20 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 20 sockets"
46,1,5,3,"","",[],"Reforge the number of sockets on an item 30 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 30 sockets"
47,1,5,4,"","",[],"Reforge the number of sockets on an item 40 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 40 sockets"
48,4,1,1,"","",[],"Modify an Armour Piece's quality to 22%","set_quality armour 22"
49,4,1,2,"","",[],"Modify an Armour Piece's quality to 24%","set_quality armour 24"
50,4,1,3,"","",[],"Modify an Armour Piece's quality to 26%","set_quality armour 26"
51,4,1,4,"","",[],"Modify an Armour Piece's quality to 28%","set_quality armour 28"
52,4,4,1,"","",[],"Modify a Weapon's quality to 22%","set_quality weapon 22"
53,4,4,2,"","",[],"Modify a Weapon's quality to 24%","set_quality weapon 24"
