"rownum","rid","i32","f32","[rid]","i32","i32","i32","f32","f32"
0,0,0,12,[5060],30,30,1,0,0
1,1,0,12,[6105],30,30,1,0,0
2,2,0,8,[7816],30,30,1,0,0
3,3,0,8,[7868],30,30,1,0,0
4,4,0,8,[7897],30,30,1,0,0
5,5,0,8,[7845],10,10,1,0,0
6,6,0,8,[7961],30,30,1,0,0
7,7,0,8,[5061],30,30,1,0,0
8,8,0,8,[6107],20,20,1,0,0
9,9,0,8,[8545],30,30,1,0,0
10,10,0,4,"[7816,7845,7868,7897,5061,6107,8545,7961]",30,30,2,0,2
11,11,0,5,[6106],10,50,15,1,5
12,12,0,4,[8224],1,1,1,1.5,3
13,13,0,3,"[4661,4662,4663,4664]",10,40,3,0,0
14,14,0,5,"[8632,8633]",40,40,1,0,0
