"rownum","BlightTowersKey","i32","MonsterVarietiesKey","Cost","i32"
0,0,1,7408,0,0
1,1,1,7409,100,0
2,2,1,7410,150,0
3,3,1,7411,300,0
4,4,1,7412,500,0
5,5,1,7413,500,0
6,6,11,7414,100,0
7,7,11,7415,150,0
8,8,11,7416,300,0
9,9,11,7417,500,0
10,10,11,7418,500,0
11,11,45,7419,100,0
12,12,45,7420,150,0
13,13,45,7421,300,0
14,14,45,7422,500,0
15,15,45,7423,500,0
16,16,20,7424,100,0
17,17,20,7425,150,0
18,18,20,7426,300,0
19,19,20,7427,500,0
20,20,20,7428,500,0
21,21,6,7429,100,0
22,22,6,7430,150,0
23,23,6,7431,300,0
24,24,6,7432,500,0
25,25,6,7433,500,0
26,26,1,7434,100,0
27,27,1,7435,150,0
28,28,1,7436,300,0
29,29,1,7437,500,0
30,30,1,7438,500,0
