"rownum","AfflictionRewardTypes","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
0,0,"DeliriumRewardCurrency","Currency","Objets monétaires","Währung","カレンシー","화폐","Item Monetário","Валюта","Objetos monetarios","เงินตรา","通貨"
1,1,"DeliriumRewardUniques","Unique Items","Objets uniques","Einzigartige Gegenstände","ユニークアイテム","고유 아이템","Itens Únicos","Уникальные предметы","Objetos únicos","ไอเทมยูนิค","傳奇道具"
2,2,"DeliriumRewardGems","Gems","Gemmes","Gemmen","ジェム","젬","Gemas","Камни","Gemas","หิน","寶石"
3,3,"DeliriumRewardMaps","Map Items","Objets de Carte","Kartengegenstände","マップアイテム","지도 아이템","Mapas","Карты","Objetos de mapa","ไอเทมแผนที่","地圖"
4,4,"DeliriumRewardTrinkets","Jewellery","Accessoires","Schmuck","宝飾品","장신구","Acessórios","Бижутерия","Joyería","เครื่องประดับ","飾品"
5,5,"DeliriumRewardArmour","Armour","Pièces d'armure","Rüstung","防具","방어구","Armaduras","Доспехи","Armadura","เกราะ","護甲"
6,6,"DeliriumRewardWeapon","Weapons","Armes","Waffen","武器","무기","Armas","Оружие","Armas","อาวุธ","武器"
7,7,"DeliriumRewardAbyss","Abyss Items","Objets abyssaux","Abyss-Gegenstände","アビスアイテム","심연 아이템","Itens Abissais","Предметы Бездны","Objetos de Abyss","ไอเทมอะบิส","深淵之物"
8,8,"DeliriumRewardExpedition","Expedition Items","Objets d'Expédition","Expedition-Gegenstände","エクスペディションアイテム","탐험 아이템","Itens Expedition","Предметы Экспедиции","Objetos de Expedition","ไอเทมกองสำรวจ","探險之物"
9,9,"DeliriumRewardHarbinger","Harbinger Items","Objets de Précurseur","Harbinger-Gegenstände","ハービンジャーアイテム","선구자 아이템","Itens Emissários","Предметы Предвестника","Objetos de Harbinger","ไอเทมฮาร์บินเจอร์","神諭之物"
10,10,"DeliriumRewardBreach","Breach Items","Objets de Brèche","Breach-Gegenstände","ブリーチアイテム","균열 아이템","Itens da Fenda","Предметы Разлома","Objetos de Breach","ไอเทมบรีช","裂痕之物"
