"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SpawnWeight","WorldAreasKey","Image","AchievementItemsKeys","[i32]","MinDepth","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32","[i32]","[i32]","[i32]","[i32]"
0,"Nothing","","","","","","","","","","",[0],"","",[],[],[],"","","","","","","","","","",0,[],[0],[],[0]
1,"MineEntrance","Mine Entrance","Entrée de la Mine","Mineneingang","鉱山入口","광산 입구","Entrada da Mina","Вход в шахту","Entrada de la mina","ทางเข้าเหมือง","礦脈入口",[0],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/MineEntrance",[],[],[],"","","","","","","","","","",0,[],[0],[],[0]
2,"ObstructionNorth","","","","","","","","","","",[0],"","",[],[],[],"","","","","","","","","","",0,[],[0],[],[0]
3,"ObstructionEast","","","","","","","","","","",[0],"","",[],[],[],"","","","","","","","","","",0,[],[0],[],[0]
4,"ObstructionSouth","","","","","","","","","","",[0],"","",[],[],[],"","","","","","","","","","",0,[],[0],[],[0]
5,"ObstructionWest","","","","","","","","","","",[0],"","",[],[],[],"","","","","","","","","","",0,[],[0],[],[0]
6,"DarkChest","","","","","","","","","","",[0],"","",[],[],[],"","","","","","","","","","",0,[],[0],[],[0]
7,"Azurite1_Q","Azurite Cavity","Cavité d'Azurite","Azurithohlraum","アズライトの洞穴","남동석 공동","Cavidade Azurita","Азуритовая полость","Cavidad de Azurita","โพรงถ้ำอะซูไรต์","碧藍窟窿",[0],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],[],[],"Contains Azurite","Présence d'Azurite","Enthält Azurit","アズライトがある","남동석 포함","Contém Azurita","Содержит азурит","Contiene azurita","มีแร่อะซูไรต์","包含碧藍礦",0,[],[0],[],[0]
8,"Breach","Whispering Gallery","Galerie susurrante","Flüsternder Stollen","囁く回廊","속삭이는 회랑","Galeria Sussurrante","Шепчущий проход","Galería susurrante","ทางแคบกระซิบกระซาบ","低語長廊",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Breach",[],[2],[10],"Contains a Breach","Présence de Brèche","Enthält einen Riss","ブリーチがある","균열 포함","Contém uma Fenda","Содержит Разлом","Contiene una fisura","มีบรีช 1 แห่ง","包含一個裂痕",0,[0],[0],[0],[100]
9,"Harbinger","Runed Cavern","Caverne runique","Runenverzierte Höhle","ルーン文字の洞窟","룬 문자 암굴","Caverna de Runas","Рунная пещера","Caverna rúnica","ถ้ำจารึกอักขระเวท","符文洞穴",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Harbinger",[],[2],[10],"Contains a Harbinger","Présence de Précurseur","Enthält einen Vorboten","ハービンジャーがいる","선구자 포함","Contém um Emissário","Содержит Предвестника","Contiene un heraldo","มีฮาร์บินเจอร์ 1 ตน","包含一名神諭",0,[0],[0],[0],[100]
