"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues"
0,"InnerTreasure",[6975],"",[],[],[]
1,"DropVaalItem",[6982],"",[],[],[]
2,"AlwaysIgnite",[],"",[],"[4988,611]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1227],[100]
4,"Maimed",[],497,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4987,659]","[1,100]"
6,"TormentedExperimenterPossess","[8822,8913,8998,9000]","",[],[],[]
7,"TormentedBlasphemerPossess","[8825,8911,8998,9000]","",[],[],[]
8,"TormentedNecromancerPossess","[8828,8913,8998,9000]","",[],[],[]
9,"TormentedArsonistPossess","[8831,8913,8998,9000]","",[],[],[]
10,"TormentedThiefPossess","[8860,8914,8998,9000]","",[],[],[]
11,"TormentedMutilatorPossess","[8873,8913,8998,9000]","",[],[],[]
12,"TormentedCharlatanPossess","[8841,8913,8998,9000]","",[],[],[]
13,"TormentedCannibalPossess","[8866,8913,8998,9000]","",[],[],[]
14,"TormentedPoisonerPossess","[8834,8913,8998,9000]","",[],[],[]
15,"TormentedCorrupterPossess","[8837,8914,8998,9000]","",[],[],[]
16,"TormentedThugPossess","[8844,8911,8998,9000]","",[],[],[]
17,"TormentedRoguePossess","[8847,8911,8848,8998,9000]","",[],[],[]
18,"TormentedFishermanPossess","[8850,8914,8998,9000]","",[],[],[]
19,"TormentedLibrarianPossess","[8853,8914,8998,9000]","",[],[],[]
20,"TormentedCutthroatPossess","[8857,8911,8998,9000]","",[],[],[]
21,"TormentedSpyPossess","[8863,8911,8998,9000]","",[],[],[]
22,"TormentedMartyrPossess","[8870,8913,8998,9000]","",[],[],[]
23,"TormentedEmbezzlerPossess","[8876,8914,8998,9000]","",[],[],[]
24,"TormentedCounterfeiterPossess","[8882,8913,8998,9000]","",[],[],[]
25,"TormentedWarlordPossess","[8885,8911,8998,9000]","",[],[],[]
26,"TormentedFreezerPossess","[8889,8913,8998,9000]","",[],[],[]
27,"TormentedSmugglerPossess","[8893,8891,8914,8998,9000]","",[],[],[]
