"rownum","Id","rid","i32","[rid]","[i32]","i32","i32","rid","i32","Suffix","rid"
0,"MemoryLineAnarchy1",2,52576,[16830],[3],4,1224,1244,0,"of Organised Chaos",5952
1,"MemoryLineAnarchy2",2,45329,[],[],1,1225,1245,0,"of Ransacked Relics",5952
2,"MemoryLineDomination1",8,37208,"[15506,16820]","[10,100]",6,1226,1246,0,"of Formidable Shrines",5952
3,"MemoryLineDomination2",8,35260,"[16683,17607]","[4,300]",3,1227,1247,0,"of the Pantheon",31513
4,"MemoryLineEssence1",9,53818,[],[],1,1228,1248,0,"of Collective Stasis",5952
5,"MemoryLineEssence2",9,23679,"[16695,13575,13666,15509,13667]","[1,100,1,1,100]",5,1229,1249,0,"of Crystal Prisons",31514
6,"MemoryLineAmbush1",1,46590,"[16853,5132]","[4,1]",4,1230,1250,0,"of Cascading Fortunes",31515
7,"MemoryLineAmbush2",1,33628,"[5074,5135]","[1,2]",3,1231,1251,0,"of Hidden Behemoths",5952
8,"MemoryLineBreach1",6,40744,"[16738,13309,16153]","[1,40,1]",4,1232,1252,0,"of Demonic Onslaught",31516
9,"MemoryLineBreach2",6,36724,"[16814,13699,13548]","[1,100,100]",6,1233,1253,0,"of Grasping Hands",31517
10,"MemoryLineTorment1",17,19174,[2769],[1],1,1234,1254,0,"of Self-Possession",5952
11,"MemoryLineTorment2",17,24671,[2769],[1],3,1235,1255,0,"of Tormented Souls",31518
12,"MemoryLineHarbinger1",18,24813,"[16841,16895]","[1,50]",4,1236,1256,0,"of Survivor's Guilt",31519
13,"MemoryLineHarbinger2",18,29521,[16712],[1],4,1237,1257,0,"of Phaaryl",31520
14,"MemoryLineBestiary1",3,50665,[2311],[2],3,1238,1258,0,"of Harvest Beasts",31521
15,"MemoryLineBestiary2",3,46008,"[2311,13748]","[2,100]",4,1239,1259,0,"of the Menagerie",5952
16,"MemoryLineIncursion1",13,23896,"[1362,2335,13783]","[100,1,50]",4,1240,1260,0,"of Reverse Incursion",31522
17,"MemoryLineBetrayal1",4,60599,[2311],[6],1,1241,1261,0,"of Bounty Hunters",5952
18,"MemoryLineHarvest1",11,39024,"[16825,16827,16867]","[1,1,1]",4,1242,1262,0,"of the Sacred Grove",31523
19,"MemoryLineAbyss1",0,55290,[16149],[1],4,1243,1263,0,"of Chasms",31524
