"rownum","rid","rid","rid","i32"
0,10304,17664,13529,1
1,10301,17664,13529,1
2,10300,17664,13529,1
3,10305,17664,13529,1
4,10299,17664,13529,1
5,10303,17664,13529,1
6,10302,17664,13529,1
7,10263,17664,13528,1
8,10265,17664,13528,1
9,10268,17664,13528,1
10,10270,17664,13528,1
11,10271,17664,13527,1
12,10267,17664,13528,1
13,10266,17664,13527,1
14,10264,17664,13527,1
15,10269,17664,13527,1
16,9452,17664,13529,1
17,9451,17664,13529,1
18,9462,17664,13530,1
19,9461,17664,13529,1
20,9460,17664,13528,1
21,9459,17664,13528,1
22,9458,17664,13528,1
23,9457,17664,13527,1
24,9456,17664,13527,1
25,9455,17664,13527,1
26,9454,17664,13527,1
27,9465,17664,13526,1
28,9464,17664,13526,1
29,9463,17664,13526,1
30,9453,17664,13526,1
31,0,17664,13526,1
32,29,17664,13526,1
33,204,17664,13527,1
34,6,17664,13527,1
35,10,17664,13526,1
36,7,17664,13526,1
37,14,17664,13527,1
38,9708,17664,13529,1
39,208,17664,13528,1
40,207,17664,13527,1
41,30,17664,13530,1
42,209,17664,13529,1
43,47,17664,13530,1
44,21,17664,13526,1
45,20,17664,13526,1
46,19,17664,13526,1
47,46,17664,13530,1
48,3,17664,13529,1
49,2,17664,13528,1
50,205,17664,13527,1
51,11,17664,13526,1
52,23,17664,13527,1
53,24,17664,13530,1
54,203,17664,13529,1
55,9803,17664,13529,1
56,9802,17664,13529,1
57,9801,17664,13529,1
58,9800,17664,13529,1
59,16,17664,13526,1
60,8,17664,13526,1
61,22,17664,13530,1
62,25,17664,13526,1
63,35,17664,13529,1
64,291,17664,13529,1
65,287,17664,13529,1
66,288,17664,13529,1
67,290,17664,13528,1
68,283,17664,13528,1
69,286,17664,13528,1
70,292,17664,13528,1
71,284,17664,13527,1
72,289,17664,13527,1
73,285,17664,13527,1
74,9799,17664,13528,1
75,233,17664,13528,1
76,235,17664,13528,1
77,238,17664,13528,1
78,236,17664,13528,1
79,234,17664,13528,1
80,237,17664,13528,1
81,240,17664,13530,1
82,239,17664,13529,1
83,241,17664,13528,1
84,9223,17664,13529,1
85,9193,17664,13529,1
86,9207,17664,13529,1
87,9177,17664,13529,1
88,9209,17664,13529,1
89,9179,17664,13529,1
90,9221,17664,13529,1
91,9191,17664,13530,1
92,9224,17664,13529,1
93,9194,17664,13529,1
94,9217,17664,13529,1
95,9187,17664,13529,1
96,9212,17664,13529,1
97,9182,17664,13529,1
98,9215,17664,13529,1
99,9185,17664,13529,1
100,9233,17664,13529,1
101,9203,17664,13529,1
102,9208,17664,13529,1
103,9178,17664,13529,1
104,9225,17664,13529,1
105,9195,17664,13529,1
106,9218,17664,13529,1
107,9188,17664,13529,1
108,9227,17664,13529,1
109,9197,17664,13529,1
110,9229,17664,13529,1
111,9199,17664,13529,1
112,9228,17664,13529,1
113,9230,17664,13529,1
114,9200,17664,13529,1
115,9198,17664,13529,1
116,9211,17664,13529,1
117,9181,17664,13529,1
118,9214,17664,13529,1
119,9184,17664,13529,1
120,9205,17664,13529,1
121,9213,17664,13529,1
122,9183,17664,13529,1
123,9175,17664,13529,1
124,9216,17664,13529,1
125,9186,17664,13529,1
126,9234,17664,13529,1
127,9204,17664,13529,1
128,9206,17664,13529,1
129,9220,17664,13529,1
130,9190,17664,13529,1
131,9176,17664,13529,1
132,9226,17664,13529,1
133,9196,17664,13529,1
134,9232,17664,13529,1
135,9202,17664,13529,1
136,9231,17664,13529,1
137,9201,17664,13529,1
138,9222,17664,13529,1
139,9192,17664,13529,1
140,9219,17664,13529,1
141,9189,17664,13529,1
142,9210,17664,13529,1
143,9180,17664,13529,1
144,1,17664,13526,1
145,9827,17664,13529,1
146,9825,17664,13529,1
147,9828,17664,13530,1
148,9822,17664,13528,1
149,9821,17664,13528,1
150,9820,17664,13528,1
