"rownum","RecipeId","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","CraftingItemClassCategoriesKeys","UnlockDescription (English)","UnlockDescription (French)","UnlockDescription (German)","UnlockDescription (Japanese)","UnlockDescription (Korean)","UnlockDescription (Portuguese)","UnlockDescription (Russian)","UnlockDescription (Spanish)","UnlockDescription (Thai)","UnlockDescription (Traditional Chinese)","Rank","UnlockArea"
0,146,"Movement Speed - Rank 1","Vitesse de déplacement - Rang 1","Bewegungsgeschwindigkeit - Rang 1","移動スピード - ランク 1","이동 속도 - 1단계","Velocidade de Movimento - Rank 1","Скорость передвижения - уровень 1","Velocidad de movimiento - Nivel 1","ความเร็วในการเคลื่อนที่ - ระดับ 1","移動速度－階級 1",[8],"","","","","","","","","","",1,38
1,161,"Spell Damage - Rank 1","Dégâts des Sorts - Rang 1","Zauberschaden - Rang 1","スペルダメージ - ランク 1","주문 피해 - 1단계","Dano Mágico - Rank 1","Урон от чар - уровень 1","Daño de hechizos - Nivel 1","ความเสียหาย เวท - ระดับ 1","法術傷害－階級 1","[0,1,2,3]","","","","","","","","","","",1,39
2,158,"Physical Damage - Rank 1","Dégâts physiques - Rang 1","Physischer Schaden - Rang 1","物理ダメージ - ランク 1","물리 피해 - 1단계","Dano Físico - Rank 1","Физический урон - уровень 1","Daño físico - Nivel 1","ความเสียหาย กายภาพ - ระดับ 1","物理傷害－階級 1","[0,1,2,3,4,7,9,10,13]","","","","","","","","","","",1,51
3,170,"Fire Damage - Rank 1","Dégâts de feu - Rang 1","Feuerschaden - Rang 1","火ダメージ - ランク 1","화염 피해 - 1단계","Dano de Fogo - Rank 1","Урон от огня - уровень 1","Daño de fuego - Nivel 1","ความเสียหาย ไฟ - ระดับ 1","火焰傷害－階級 1","[0,1,2,3,7,9,10,13]","","","","","","","","","","",1,49
4,173,"Cold Damage - Rank 1","Dégâts de froid - Rang 1","Kälteschaden - Rang 1","冷気ダメージ - ランク 1","냉기 피해 - 1단계","Dano de Gelo - Rank 1","Урон от холода - уровень 1","Daño de hielo - Nivel 1","ความเสียหาย น้ำแข็ง - ระดับ 1","冰冷傷害－階級 1","[0,1,2,3,7,9,10,13]","","","","","","","","","","",1,65
5,176,"Lightning Damage - Rank 1","Dégâts de foudre - Rang 1","Blitzschaden - Rang 1","雷ダメージ - ランク 1","번개 피해 - 1단계","Dano de Raio - Rank 1","Урон от молнии  - уровень 1","Daño de rayo - Nivel 1","ความเสียหาย สายฟ้า - ระดับ 1","閃電傷害－階級 1","[0,1,2,3,7,9,10,13]","","","","","","","","","","",1,54
6,133,"Elemental Resistances - Rank 2","Résistances élémentaires - Rang 2","Elementarwiderstände - Rang 2","元素ダメージ - ランク 2","원소 저항 - 2단계","Resistências Elementais - Rank 2","Сопротивления стихиям - уровень 2","Resistencias elementales - Nivel 2","ค่าต้านทาน ธาตุ - ระดับ 2","元素抗性－階級 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","","","","","","","","","","",2,71
7,141,"Attributes - Rank 2","Attributs - Rang 2","Attribute - Rang 2","能力値 - ランク 2","능력치 - 2단계","Atributos - Rank 2","Характеристики - уровень 2","Atributos - Nivel 2","ค่าคุณสมบัติ - ระดับ 2","能力值－階級 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","","","","","","","","","","",2,95
8,168,"Attack, Cast and Warcry Speed - Rank 1","Vitesse d'attaque, d'incantation et de Cris de guerre - Rang 1","Angriffs-, Zauber- und Kriegsschrei-Geschwindigkeit - Rang 1","アタック、キャストおよびウォークライスピード - ランク 1","공격, 시전 및 함성 속도 - 1단계","Velocidades Ataque, Conjuração e Clamor - Rank 1","Скорость атаки, отворения чар и использования боевого клича- уровень 1","Velocidades de ataque, lanzamiento de hechizos y gritos de guerra - Nivel 1","ความเร็วในการโจมตี, ร่าย, คำราม - ระดับ 1","攻擊、施放和戰吼速度－階級 1","[0,1,2,3,4,7,9,10]","","","","","","","","","","",1,62
9,180,"Chaos Damage - Rank 1","Dégâts de chaos - Rang 1","Chaosschaden - Rang 1","混沌ダメージ - ランク 1","카오스 피해 - 1단계","Dano de Caos - Rank 1","Урон хаосом - уровень 1","Daño de caos - Nivel 1","ความเสียหาย เคออส - ระดับ 1","混沌傷害－階級 1","[0,1,2,3,7,9,10,13]","","","","","","","","","","",1,117
