"rownum","RacesKey","Index","StartUNIXTime","EndUNIXTime"
0,2,0,1482552000,1482638400
1,2,1,1482638460,1482724800
2,2,2,1482724860,1482811200
3,2,3,1482811260,1482883260
4,2,4,1482928200,1482933600
5,2,5,1483705800,1483711200
6,2,6,1483792200,1483797600
7,2,7,1483878600,1483884000
8,2,8,1483965000,1483970400
9,2,9,1484051400,1484056800
10,2,10,1484137800,1484143200
11,2,11,1484224200,1484229600
12,2,12,1484310600,1484316000
13,2,13,1484397000,1484402400
14,2,14,1489147200,1489161600
15,2,15,1489233600,1489248000
16,2,16,1489320000,1489334400
17,2,17,1489838400,1489852800
18,2,18,1489924800,1489939200
19,2,19,1490443200,1490457600
20,2,20,1490529600,1490544000
21,2,21,1491048000,1491062400
22,2,22,1491134400,1491148800
23,2,23,1489492800,1489503600
24,2,24,1489545000,1489550400
25,2,25,1489559400,1489568400
26,2,26,1489555200,1489556100
27,2,27,1489554000,1489554900
28,2,28,1498885200,1501563600
29,2,29,1502884800,1502888400
30,2,30,1502971200,1502974800
31,2,31,1503057600,1503061200
32,2,32,1503144000,1503147600
33,2,33,1503230400,1503234000
34,2,34,1503662400,1503666000
35,2,35,1503748800,1503752400
36,2,36,1504267200,1504270800
37,2,37,1504353600,1504357200
38,2,38,1504872000,1504875600
39,2,39,1504958400,1504962000
40,2,40,1505476800,1505480400
41,2,41,1505563200,1505566800
42,2,42,1506081600,1506085200
43,2,43,1506168000,1506171600
44,2,44,1506686400,1506690000
45,2,45,1506772800,1506776400
46,2,46,1507291200,1507294800
47,2,47,1507377600,1507381200
48,2,48,1507896000,1507899600
49,2,49,1507982400,1507986000
50,2,50,1508500800,1508504400
51,2,51,1508587200,1508590800
52,2,52,1509105600,1509109200
53,2,53,1509192000,1509195600
54,2,54,1509710400,1509714000
55,2,55,1509796800,1509800400
56,2,56,1510315200,1510318800
57,2,57,1510401600,1510405200
58,2,58,1510920000,1510923600
59,2,59,1511006400,1511010000
60,2,60,1511524800,1511528400
61,2,61,1511611200,1511614800
62,2,62,1512129600,1512133200
63,2,63,1512216000,1512219600
64,2,64,1512734400,1512738000
65,2,65,1512820800,1512824400
66,2,66,1513339200,1513342800
