"rownum","Id","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness","i32"
0,"Fireball","[499,13201]",[611],[25],2.921,0.0474,0
1,"FireballRoyale","[499,13201]","[611,5751]","[25,35]",3.4315,0.0412,0
2,"MonsterFireball",[499],[660],[-50],2.5,0.0394,0
3,"MonsterFireballContactPos","[499,7079,4578,5825]",[660],[-50],2.5,0.0394,0
4,"BlightMonsterFireball",[499],[],[],2.5,0.045,0
5,"GemlingFireball1",[499],[],[],1.7889,0.0394,0
6,"GemlingFireball2",[499],"[173,8626,6197,1211,318,6849]","[2,100,-100,20,-35,20]",1.7889,0.0394,0
7,"GemlingFireball3",[499],[318],[-35],1.1889,0.0394,0
8,"FireballSuperNovaCitystalker","[499,1777]","[173,5751]","[8,-90]",0.6111,0.0394,0
9,"MonsterFireball3Parallel",[499],"[173,8626,6197,6849]","[2,100,-100,20]",1.1889,0.0394,0
10,"HolyFireElementalFireball",[499],[660],[-50],1.1889,0.0394,0
11,"LegionTemplarFireball",[499],[660],[-50],2.75,0.04,0
12,"HolyCitystalkerFireball",[499],[660],[-50],1.1889,0.0394,0
13,"AbberathMinionFireball","[499,7079,4578,5825]",[],[],1.7833,0.0394,0
14,"AbberathMinionFireballMap","[499,7079,4578,5825]",[],[],1.605,0.0394,0
15,"ExileShadowFireball","[1777,499,2318]","[660,173,216,214,175]","[-50,18,50,3,-80]",0.9444,0.0394,0
16,"AvariusFireball","[499,4578]",[6152],[1],4.4444,0.03,0
17,"AvariusWickermanFireball","[499,4578]",[6152],[1],2,0.03,0
18,"AvariusJudgeFireball",[499],[660],[-50],1.1889,0.0394,0
19,"BlackguardClericBossFireball",[499],[660],[-50],1.1889,0.0394,0
20,"VaalSideAreaBossHolyFireball","[499,855,1777]","[660,861,863,173,175]","[-50,20000,80,6,-30]",1.1889,0.0394,0
21,"PhoenixMinionFireball",[],"[175,660]","[-35,-50]",4.6444,0.0394,0
22,"IzaroDaemonFireball",[499],[660],[-50],1.1889,0.0394,0
23,"MonsterFireballSideArea","[855,499]","[861,863]","[20000,80]",1.1889,0.0394,0
24,"ProphecyFireballBurst",[499],"[216,214]","[100,3]",1.5222,0.0414,0
25,"EssenceFireballBurst",[499],[216],[100],1.5222,0.0414,0
26,"ProphecyMultiFireball",[499],[173],[4],1.1889,0.0394,0
27,"MonsterFireballStrMissionBoss",[499],"[175,1789]","[-60,30]",0.5889,0.0394,0
28,"MonsterFireballKaomsChest",[499],[],[],1.5222,0.0414,0
29,"MonsterMultiFireball",[499],"[660,173]","[-50,2]",0.7778,0.0394,0
30,"MonsterMultiFireballSpectre",[499],"[660,173]","[-50,2]",0.7778,0.0394,0
31,"MonsterSplitFireball","[1114,499]",[660],[-50],0.9556,0.0394,0
32,"MonsterSplitFireballSpectre","[1114,499]",[660],[-50],0.9556,0.0394,0
33,"MonsterLesserMultiFireball",[499],"[660,173]","[-50,1]",0.8889,0.0394,0
34,"MonsterLesserMultiFireballSpectre",[499],"[660,173]","[-50,1]",0.8889,0.0394,0
35,"MonsterFireballGoatmanBoss","[499,7079,4578,5825]",[1789],[30],1.0222,0.0339,0
36,"MonsterFireballVaalSummonedSkeleton",[499],[660],[-50],0.9749,0.0475,0
37,"PyroFireball",[499],[660],[-50],1.1889,0.0394,0
38,"PyroFireballInvasion",[],[660],[-50],1.1889,0.0394,0
39,"BloodlinesYellowElementalPyroFireball",[499],"[660,2119,2120,2121,2469]","[-50,8,800,30,-15]",0.4467,0.034,0
40,"PyroFireballBossSideArea",[499],"[660,216]","[-50,120]",1.0222,0.0394,0
41,"PyroChaosFireball",[499],[660],[-50],1.3556,0.0285,0
42,"WbAnimatedItemChaosFireball","[499,2470,12419]","[1486,2119,2120,2121,1211]","[35,3,700,20,-60]",1.3556,0.0285,0
43,"GladiatorBossFireball",[499],"[660,173]","[-50,2]",0.9444,0.048,0
44,"ExileFireball",[499],[660],[-50],0.9444,0.048,0
45,"GemlingFireball",[499],"[660,611,173]","[-50,100,2]",0.7778,0.04,0
46,"ProphecyDragonFireball",[499],"[660,175,173,5751]","[-50,-50,2,75]",1.7778,0.0414,0
47,"FrostfireMageDragonFireball",[499],"[660,175,173,5751]","[-50,-50,2,75]",1.7778,0.0414,0
48,"WestFireball","[499,4578,7079,5825]","[173,1211,175]","[2,150,-70]",3,0.0414,0
49,"KitavaClericFireball",[499],"[660,175,611,5751]","[-50,20,25,50]",1.7778,0.041,0
50,"MetamorphKitavaClericFireballVaal",[499],"[2119,2120,2121,1789,5751]","[32,2000,-720,40,50]",1.7778,0.041,0
51,"MonsterFireballRepeat",[499],[660],[-50],1.1889,0.0394,0
52,"ReliquaryMonsterFireball","[499,195]","[2119,2120,2121,2469,1789,209,5751]","[3,65,30,-15,80,167,-40]",3.8889,0.04,0
53,"FireballIncusionFire",[499],[660],[-40],0.9722,0.05,0
54,"FireballIncusionLightning",[499],[660],[-40],1.0938,0.05,0
55,"FireballIncursionChaos",[499],[660],[-40],2,0.025,0
56,"FireballTaowuDash","[499,4578,195]","[7803,5751]","[150,300]",6.2,0.04,0
57,"FireballTaowuCombo","[499,4578]",[],[],2.33,0.038,0
58,"IceNova",[618],"[8397,8473]","[2,-20]",1.6555,0.0436,0
59,"IceNovaTriggered",[618],"[8397,8473,17868]","[2,-20,100]",1.6555,0.0436,0
60,"IceNovaRoyale",[618],"[8397,8473]","[2,-20]",1.76,0.0364,0
61,"BloodNovaStrIntBoss",[618],"[2694,5751]","[-25,15]",1.7727,0.042,0
62,"IceNovaOnDamageTakenInvasion","[618,6534]","[1842,1843,2694]","[100,35,-25]",1.7727,0.042,0
63,"IceNovaOnHitCannibalMaleMapBoss",[618],"[2389,5751]","[100,73]",1.7727,0.042,0
64,"IceNovaOnDeathWaterElemental","[618,1827,1946,9873]","[1781,2694,5751]","[100,-25,15]",1.7727,0.042,0
65,"IceNovaOnDeathStrMission","[618,1827,1946]","[1781,2694,5751]","[100,-25,15]",2.7273,0.03,0
66,"DarkSeawitchIceNova",[618],"[2694,5751]","[-25,246]",1.7727,0.042,0
67,"ProphecyBloodNova",[618],"[2694,5751]","[-25,27]",1.95,0.042,0
68,"VaalIceNova","[618,9524]","[2123,2124]","[5,-20]",1.7987,0.0364,0
69,"TormentSpiritVaalIceNova","[618,9873]","[2123,2124,2694,5751]","[5,-20,-25,15]",1.5,0.042,0
70,"StrMissionIceNovaTotem","[618,1928,9873]","[214,216,2694,5751]","[4,100,-25,73]",1.2727,0.0455,0
71,"WbIceNova","[618,9873]","[2694,5751]","[-25,73]",1.2727,0.0455,0
72,"GhostIceNova",[618],"[216,2694,5751]","[-40,-25,56]",2.7273,0.035,0
73,"EssenceDaemonIceNovaRepeat",[618],"[2694,5751]","[-25,73]",1.2727,0.0455,0
74,"ProphecyIceNovaTotems","[618,1785,855]","[861,863,1221]","[8000,50,5]",0.9727,0.0333,0
75,"TotemMapBossIceNovaTotems","[618,1785,855]","[861,863,2224]","[8000,50,6]",0.9727,0.0333,0
76,"IceNovaTrapSideAreaBoss","[1783,618,330,7930,5850,2557]","[868,1211,1179,2694]","[6000,-40,9,-25]",1.8182,0.034,0
77,"IceNovaWaterElementalMap",[618],"[2694,8397,5751]","[-25,1,15]",1.0873,0.034,0
78,"IceNovaWaterElemental","[12545,618]","[2694,5751]","[-25,15]",0.8364,0.0304,0
79,"IceNovaWaterElementalHellscape","[12545,618]",[5751],[15],0.8364,0.0304,0
80,"IceNovaWaterElementalMetamorphosis",[618],"[2694,5751]","[-25,15]",0.8364,0.0304,0
81,"IceNovaWaterElementalInvasion",[618],"[2694,5751]","[-25,15]",0.8364,0.0304,0
82,"MonsterTotemIceNova","[9873,618]","[2694,5751]","[-25,15]",0.9727,0.0333,0
83,"PopUpTotemIceNova","[9873,618]","[2694,216,5751]","[-25,30,15]",1.4545,0.052,0
84,"WbIceNovaSupport",[618],"[2694,5751]","[-25,15]",0.9727,0.0333,0
85,"WbIceNovaSupport2","[618,1845]","[357,2694,5751]","[4000,-25,15]",0.9727,0.0333,0
86,"TotemBossTeamAAtollIceNovaChilledGround","[618,1845]","[357,2694,4805,8397,5751]","[4000,-25,100,1,62]",2.9455,0.06,0
87,"IzaroDaemonIceNova",[618],"[2694,5751]","[-25,15]",1.3636,0.035,0
88,"TempestDaemonIceNova",[618],"[2694,5751]","[-25,15]",4.5,0.06,0
89,"ShrineIceNova","[618,1845,9873]","[357,2694,5751]","[4000,-25,15]",0.9727,0.0333,0
90,"ShrineIceNovaPlayer","[618,1845,9873]","[357,2694,5751]","[4000,-25,15]",0.9727,0.0333,0
91,"EssenceDaemonIceNova","[618,1845,855,1785]","[357,2694,861,882,5751]","[4000,-25,10000,20,15]",0.9727,0.0333,0
92,"WestIceNovaDaemon","[618,1326,1928]","[357,5751]","[1500,15]",1.5,0.038,0
