"rownum","Id","Name","TradeMarketCategory","ItemClassCategory","RemovedIfLeavesArea","[rid]","IdentifyAchievements","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","PickedUpQuest","i32","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","CanTransferSkin","ItemStance","CanScourge","CanUpgradeRarity","bool","bool","MaxInventoryDimensions","Flags","Unmodifiable","CanBeFractured","EquipAchievements","UsedInMapDevice","bool","bool"
0,"LifeFlask","Life Flasks",28,0,"",[],[],"","","","",1317,"","","","","","",1,"","","","",1,"[1,2]",[4],"",1,"","",1,1
1,"ManaFlask","Mana Flasks",29,0,"",[],[],"","","","",1317,"","","","","","",1,"","","","",1,"[1,2]",[4],"",1,"","",1,1
2,"HybridFlask","Hybrid Flasks",30,0,"",[],[],"","","","",1317,"","","","","","",1,"","","","",1,"[3,2]",[4],"",1,"","",1,1
3,"Currency","Currency",38,5,"",[],[],"",1,"","",1317,"","","","","","","","","","","","","[1,1]",[7],"","","","",1,1
4,"Amulet","Amulets",21,6,"",[],[9539],"","",1,"",1317,"",1,1,1,1,1,1,"",1,1,1,1,"[1,1]",[6],"",1,"","",1,1
5,"Ring","Rings",22,7,"",[],[9539],"","",1,"",1317,"",1,1,1,1,1,1,"",1,1,1,1,"[1,1]",[6],"",1,"","",1,1
6,"Claw","Claws",4,8,"",[],[9539],"","",1,"",1317,"",1,1,1,1,1,1,0,1,1,1,1,"[2,2]","[1,2,0]","",1,"","",1,1
7,"Dagger","Daggers",5,3,"",[],[9539],"","",1,"",1317,"",1,1,1,1,1,1,1,1,1,1,1,"[1,3]","[1,2,0]","",1,"","",1,1
8,"Wand","Wands",6,9,"",[],[9539],"","",1,"",1317,"",1,1,1,1,1,1,2,1,1,1,1,"[1,3]",[0],"",1,"","",1,1
9,"One Hand Sword","One Hand Swords",7,2,"",[],[9539],"","",1,"",1317,"",1,1,1,1,1,1,3,1,1,1,1,"[2,3]","[1,2,0]","",1,"","",1,1
10,"Thrusting One Hand Sword","Thrusting One Hand Swords",8,2,"",[],[9539],"","",1,"",1317,"",1,1,1,1,1,1,4,1,1,1,1,"[1,4]","[1,2,0]","",1,"","",1,1
11,"One Hand Axe","One Hand Axes",9,10,"",[],[9539],"","",1,"",1317,"",1,1,1,1,1,1,3,1,1,1,1,"[2,3]","[1,2,0]","",1,"","",1,1
12,"One Hand Mace","One Hand Maces",10,1,"",[],[9539],"","",1,"",1317,"",1,1,1,1,1,1,3,1,1,1,1,"[2,3]","[1,2,0]","",1,"","",1,1
13,"Bow","Bows",13,11,"",[],[9539],"","",1,"",1317,"",1,1,1,1,1,1,5,1,1,1,1,"[2,4]",[0],"",1,"","",1,1
14,"Staff","Staves",14,4,"",[],[9539],"","",1,"",1317,"",1,1,1,1,1,1,6,1,1,1,1,"[2,4]","[2,0]","",1,"","",1,1
15,"Two Hand Sword","Two Hand Swords",15,12,"",[],[9539],"","",1,"",1317,"",1,1,1,1,1,1,7,1,1,1,1,"[2,4]","[2,0]","",1,"","",1,1
16,"Two Hand Axe","Two Hand Axes",16,13,"",[],[9539],"","",1,"",1317,"",1,1,1,1,1,1,8,1,1,1,1,"[2,4]","[2,0]","",1,"","",1,1
17,"Two Hand Mace","Two Hand Maces",17,14,"",[],[9539],"","",1,"",1317,"",1,1,1,1,1,1,8,1,1,1,1,"[2,4]","[2,0]","",1,"","",1,1
18,"Active Skill Gem","Skill Gems",26,15,"",[],[],"",1,"","",1317,"",1,"","","","","","","","","","","[1,1]",[],"","","","",1,1
19,"Support Skill Gem","Support Gems",27,16,"",[],[],"",1,"","",1317,"",1,"","","","","","","","","","","[1,1]",[],"","","","",1,1
