"rownum","Index","SupportGem","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
0,1,35,"Greater Multiple Projectiles","Projectiles multiples majeurs","Größere Projektilaufteilung","投射物追加(大)","상위 다중 투사체","Projéteis Múltiplos Melhorado","Много дополнительных снарядов","Proyectiles múltiples mayores","Greater Multiple Projectiles","高階多重投射"
1,2,305,"Void Manipulation","Manipulation du Néant","Manipulation der Leere","虚空制御","공허 조작","Manipulação do Vácuo","Манипуляция пустотой","Manipulación del vacío","Void Manipulation","虛空操縱"
2,3,331,"Vile Toxins","Toxines corrosives","Niederträchtiges Gift","猛毒","끔찍한 독소","Toxinas Letais","Едкие токсины","Toxinas viles","Vile Toxins","罪惡毒素"
3,4,390,"Unleash","Déchaînement","Entfesseln","解放","촉발","Libertar","Высвобождение","Descarga","Unleash","釋放"
4,5,334,"Unbound Ailments","Altérations déchaînées","Entfesselte Beeinträchtigungen","状態異常解放","벌어지는 상처","Afecções Libertas","Безграничные состояния","Estados alterados desatados","Unbound Ailments","無邊異能"
5,6,317,"Advanced Traps","Pièges perfectionnés","Fortschrittliche Fallen","トラップ改良","향상된 덫","Armadilhas Avançadas","Улучшенные ловушки","Trampas avanzadas","Advanced Traps","進階陷阱"
6,7,283,"Trap and Mine Damage","Dégâts des Mines et des Pièges","Fallen- und Minenschaden","トラップ・マインダメージ","덫 및 지뢰 피해","Dano de Armadilha e Mina","Урон ловушек и мин","Daño de trampas y minas","Trap and Mine Damage","陷阱及地雷傷害"
7,8,71,"Trap","Piège","Falle","トラップ化","덫","Armadilha","Ловушка","Trampa","Trap","陷阱"
8,9,428,"Swift Assembly","Assemblage rapide","Schneller Aufbau","高速組立","재빠른 조립","Montagem Rápida","Быстрая сборка","Armado rápido","Swift Assembly","迅速組裝"
9,10,348,"Summon Phantasm","Invocation d'Apparition","Phantasma beschwören","ファンタズム召喚","환영 소환","Convocar Fantasma","Призыв фантома","Invocar fantasma","Summon Phantasm","召喚幻影"
10,11,194,"Elemental Army","Armée élémentaire","Elementararmee","元素の軍勢","원소의 군단","Resistências Elementais de Lacaios e Totens","Стихийное войско","Ejército elemental","Elemental Army","元素軍隊"
11,12,68,"Stun","Étourdissement","Betäuben","スタン","기절","Atordoar","Оглушение","Aturdir","Stun","擊暈"
12,13,344,"Infused Channelling","Canalisation infusée","Konzentriertes Kanalisieren","チャネリング注入","깊어지는 집중 유지","Canalização Infundida","Усиленное поддержание","Canalización imbuida","Infused Channelling","注入引導"
13,14,347,"Ancestral Call","Appel ancestral","Ruf der Ahnen","アンセストラルコール","선대의 부름","Chamado Ancestral","Зов предков","Llamado ancestral","Ancestral Call","先祖怒嚎"
14,15,149,"Spell Totem","Totem incantateur","Zaubertotem","スペルトーテム化","주문 토템","Totem de Magia","Колдующий тотем","Tótem de hechizos","Spell Totem","法術圖騰"
15,16,389,"Intensify","Intensification","Intensivieren","インテンシファイ","격화","Intensificar","Интенсивность","Intensificación","Intensify","強化"
16,17,346,"Spell Cascade","Cascade de sorts","Zauberkaskade","スペルカスケード","연속 주문","Cascata Mágica","Каскад чар","Cascada de hechizos","Spell Cascade","秘能爆發"
17,18,210,"Slower Projectiles","Ralentissement des Projectiles","Langsamere Projektile","投射物低速化","투사체 감속","Projéteis Lentos","Замедленные снаряды","Proyectiles lentos","Slower Projectiles","投射物減速"
18,19,403,"Shockwave","Onde de choc","Schockwelle","ショックウェーブ","충격파","Onda de Choque","Ударная волна","Onda sísmica","Shockwave","震波"
19,20,481,"Second Wind","Second souffle","Zweite Luft","セカンドウィンド","새로운 활력","Segunda Ventania","Второе дыхание","Segundo aliento","Second Wind","恢復"
20,21,336,"Ruthless","Impitoyabilité","Unbarmherzigkeit","ルースレス","무자비","Impiedade","Беспощадность","Implacabilidad","Ruthless","殘暴"
21,22,424,"High-Impact Mine","Mine à charge creuse","Verheerende Minen","衝撃強化マイン","고충격 지뢰","Mina de Alto Impacto","Усиленная мина","Mina de alto impacto","High-Impact Mine","高能地雷"
22,23,150,"Blastchain Mine","Mine à réaction en chaîne","Minenkettenexplosion","連続爆破マイン","연쇄 폭발 지뢰","Mina da Cadeia Explosiva","Цепной подрыв","Explosión de minas en cadena","Blastchain Mine","連鎖爆破地雷"
23,24,55,"Inspiration","Inspiration","Inspiration","インスピレーション","영감","Inspiração","Вдохновение","Inspiración","Inspiration","啟發"
