"rownum","Id","[i32]","[i32]","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
0,"Shop","[128,128,128]","[255,255,255]","Shop","Boutique","Shop","ショップ","상점","Loja","Магазин","Tienda","ร้านค้า","商店"
1,"Pets","[128,128,128]","[255,255,255]","Pets","Familiers","Begleiter","ペット","애완동물","Mascotes","Питомцы","Mascotas","สัตว์เลี้ยง","寵物"
2,"People","[128,128,128]","[255,255,255]","People","Personnages","Leute","人","사람","Pessoas","Люди","Personas","ผู้คน","人類"
3,"Plants","[128,128,128]","[255,255,255]","Plants","Plantes","Pflanzen","植物","식물","Plantas","Растения","Plantas","พรรณไม้","植物"
4,"Trees","[128,128,128]","[255,255,255]","Trees","Arbres","Bäume","木","나무","Árvores","Деревья","Árboles","ต้นไม้","樹木"
5,"Nests","[128,128,128]","[255,255,255]","Nests","Nids","Nester","巣","둥지","Ninhos","Гнёзда","Nidos","รัง","巢穴"
6,"Furniture","[128,128,128]","[255,255,255]","Furniture","Mobilier","Möbel","家具","가구","Decoração","Мебель","Muebles","เฟอร์นิเจอร์","家具"
7,"Cages","[128,128,128]","[255,255,255]","Cages","Cages","Käfige","籠","창살","Jaulas","Клетки","Jaulas","กรง","牢籠"
8,"Rocks","[128,128,128]","[255,255,255]","Rocks","Rochers","Steine","岩","바위","Pedras","Камни","Rocas","หิน","岩石"
9,"Crates","[128,128,128]","[255,255,255]","Crates","Caisses","Kisten","木箱","나무상자","Baús","Ящики","Cajas","กล่อง","箱子"
10,"Barrels","[128,128,128]","[255,255,255]","Barrels","Tonneaux","Fässer","樽","통","Barrís","Бочки","Barriles","ถัง","桶子"
11,"Containers","[128,128,128]","[255,255,255]","Containers","Contenants","Container","コンテナ","용기","Containers","Контейнеры","Contenedores","ภาชนะ","容器"
12,"Ground","[128,128,128]","[255,255,255]","Ground","Sols","Boden","地面","지대","Solo","Земля","Suelos","พื้น","地面"
13,"Water","[128,128,128]","[255,255,255]","Water","Liquides","Wasser","水","물","Água","Вода","Agua","น้ำ","水"
14,"Walls","[128,128,128]","[255,255,255]","Walls","Murs","Mauern","壁","별","Paredes","Стены","Muros","กำแพง","牆壁"
15,"Effects","[128,128,128]","[255,255,255]","Effects","Effets","Effekte","エフェクト","이펙트","Efeitos","Эффекты","Efectos","เอฟเฟค","效果"
16,"Weather","[128,128,128]","[255,255,255]","Weather","Météo","Wetter","天候","날씨","Clima","Погода","Tiempo","สภาพอากาศ","天氣"
17,"Lights","[128,128,128]","[255,255,255]","Lights","Lumières","Lichter","光","불빛","Luzes","Освещение","Luces","แสง","光線"
18,"Carpets","[128,128,128]","[255,255,255]","Carpets","Tapis","Teppiche","カーペット","카펫","Carpetes","Ковры","Alfombras","พรม","地毯"
19,"Debris","[128,128,128]","[255,255,255]","Debris","Débris","Trümmer","がれき","잔해","Destroços","Мусор","Escombros","เศษซากสถานที่","廢墟"
20,"Statues","[128,128,128]","[255,255,255]","Statues","Statues","Statuen","像","석상","Estátuas","Статуи","Estatuas","รูปปั้น","雕像"
21,"Barricades","[128,128,128]","[255,255,255]","Barricades","Barricades","Barrikaden","バリケード","방벽","Barricadas","Баррикады","Barricadas","ด่านกั้น","路障"
22,"Tents","[128,128,128]","[255,255,255]","Tents","Tentes","Zelte","テント","천막","Tendas","Палатки","Tiendas","เต็นท์","帳篷"
23,"Stalls","[128,128,128]","[255,255,255]","Stalls","Étalages","Stände","屋台","매점","Barracas","Шатры","Casetas","แผงลอย","攤販"
24,"Equipment","[128,128,128]","[255,255,255]","Equipment","Équipement","Ausrüstung","装備","장비","Equipamento","Снаряжение","Equipamiento","อุปกรณ์","裝備"
25,"Machines","[128,128,128]","[255,255,255]","Machines","Machines","Maschinen","機械","장치","Máquinas","Механизмы","Máquinas","เครื่องจักร","機械"
26,"Pillars","[128,128,128]","[255,255,255]","Pillars","Piliers","Säulen","柱","기둥","Pilares","Колонны","Pilares","เสาค้ำ","石柱"
27,"Stonework","[128,128,128]","[255,255,255]","Stonework","Maçonnages","Mauerwerk","石積み","석조물","Esculturas","Кладка","Piedra","สิ่งก่อสร้างหิน","石方"
28,"Carcasses","[128,128,128]","[255,255,255]","Carcasses","Cadavres","Kadaver","死骸","사체","Carcaças","Остовы","Cadáveres","ซากศพ","屍體"
29,"Bones","[128,128,128]","[255,255,255]","Bones","Ossements","Knochen","骨","뼈","Óssos","Кости","Huesos","กระดูก","骨頭"
30,"Vehicles","[128,128,128]","[255,255,255]","Vehicles","Véhicules","Fahrzeuge","車","탈것","Vehículos","Транспорт","Vehículos","พาหนะ","載具"
31,"Banners","[128,128,128]","[255,255,255]","Banners","Étendards","Banner","旗","깃발","Estandartes","Знамёна","Estandartes","ธง","旗幟"
32,"Teleporters","[128,128,128]","[255,255,255]","Teleporters","Téléporteurs","Teleporter","テレポーター","순간이동기","Teleportadores","Телепортаторы","Transportadores","เครื่องเทเลพอร์ต","傳送裝置"
33,"Games","[128,128,128]","[255,255,255]","Games","Jeux","Spiele","ゲーム","게임","Jogos","Игры","Juegos","เกม","玩具"
