"rownum","i32","[rid]","i32","i32","i32","i32","i32","i32","i32","i32","bool","string","i32","bool","i32"
0,1,"[197,198,199]",4,0,0,0,0,1,0,7,"","",2,"",0
1,2,[214],5,0,22,0,0,1,0,7,"","",2,"",0
2,3,[213],4,0,0,0,0,1,0,7,"","",2,"",0
3,4,[216],5,0,0,0,0,1,0,7,"","",2,"",0
4,5,[217],5,0,0,0,0,1,0,7,"","",2,"",0
5,6,[218],5,0,0,0,0,1,0,7,"","",2,"",0
6,7,[219],5,0,0,0,0,1,0,7,"","",2,"",0
7,8,[220],5,0,0,0,0,1,0,7,"","",2,"",0
8,9,[223],5,0,0,0,0,1,0,2,"","",2,"",0
9,10,[228],5,0,20,0,0,1,0,7,"","",2,"",0
10,11,"[231,232,233,234]",5,0,22,0,0,1,0,7,"","boss_geyser",2,1,0
11,12,[237],5,0,22,0,0,1,0,7,"","",2,"",0
12,13,"[238,239,240,241]",5,0,8,0,0,1,0,7,"","",2,"",0
13,14,[245],5,0,0,0,0,1,0,2,"","",2,"",0
14,15,[246],5,0,0,0,0,5,3,7,"","",2,"",0
15,16,[266],4,0,0,0,-90,1,0,4,"","",2,"",0
16,17,[266],4,0,0,0,90,1,0,4,"","",2,"",0
17,18,[267],5,0,22,0,0,1,0,7,"","",2,"",0
18,19,"[268,269,270]",4,0,0,0,0,1,0,7,"","",2,"",0
19,21,[272],4,4,5,0,0,1,0,7,"","",2,"",0
20,22,[285],4,0,0,0,0,1,0,7,"","",2,"",0
21,23,[286],4,0,0,0,0,2,20,2,"","",2,"",0
22,24,[288],4,0,0,0,-90,1,0,4,"","",2,"",0
23,25,[290],4,0,0,0,0,1,0,2,"","",2,"",0
24,26,[289],4,0,0,0,-90,1,0,4,"","",2,"",0
25,27,[294],4,0,0,0,0,1,0,4,"","",2,"",0
26,28,[295],4,0,0,0,0,2,0,4,"","",2,"",0
27,29,"[326,327,328,329,330]",4,0,0,0,0,1,0,7,"","",2,"",0
28,30,[334],4,0,0,0,0,1,0,7,"","",2,"",0
29,31,[337],5,0,22,0,0,1,0,7,"","",2,"",0
30,32,[339],4,0,0,0,0,1,0,7,"","",2,"",0
31,33,[340],4,0,0,0,0,1,0,7,"","",2,"",0
32,34,[346],4,0,0,0,0,1,0,7,"","",2,"",0
33,35,[347],4,0,0,0,0,1,0,2,"","",2,"",0
34,36,[348],4,0,0,0,0,1,0,2,"","",2,"",0
35,37,[349],4,0,0,0,0,1,0,2,"","",2,"",0
36,38,[351],4,0,0,0,0,1,0,2,"","",2,"",0
37,39,[354],3,0,0,0,0,1,0,2,"","",2,"",0
38,40,[364],4,0,0,0,0,2,10,4,"","",2,"",0
39,41,[368],5,0,0,0,0,1,0,7,"","",2,"",0
40,42,[370],5,0,22,0,0,1,0,7,"","",2,"",0
41,43,[371],5,0,0,0,0,1,0,7,"","",2,"",0
42,44,[373],4,0,0,0,0,1,0,7,"","",2,"",0
43,45,[380],4,0,0,0,0,1,0,7,"","",2,"",0
44,46,[381],4,0,0,0,0,1,0,7,"","",2,"",0
45,47,[382],4,0,0,0,0,1,0,7,"","",2,"",0
46,48,[380],4,0,15,0,0,1,0,7,"","",2,"",0
47,49,[381],4,0,15,0,0,1,0,7,"","",2,"",0
48,50,[382],4,0,15,0,0,1,0,7,"","",2,"",0
49,51,[398],4,0,0,0,0,1,0,7,"","flank_markers",2,1,0
50,52,[398],4,0,0,0,0,1,0,4,"","prowl_vines",2,1,0
51,53,[398],4,0,0,0,0,1,0,4,"","prowl_vines",2,1,0
52,54,[399],5,0,0,0,0,1,0,4,"","vine_trap",2,"",0
53,55,[398],4,0,0,0,0,1,0,4,"","last_prowl_vine",2,"",0
54,56,[402],4,0,0,0,0,1,0,7,"","",2,"",0
55,57,[408],4,0,0,0,0,1,0,7,"","",2,"",0
56,58,[409],4,0,0,0,0,1,0,7,"","",2,"",0
57,59,[410],4,0,0,0,0,1,0,7,"","",2,"",0
58,60,[411],4,0,0,0,0,1,0,7,"","",2,"",0
59,61,[425],3,0,0,0,0,1,0,2,"","ice_fissures",2,1,0
