"rownum","BaseItemType","Scaling","Name"
0,9642,0.85,"Bazira"
1,9643,0.85,"Tsvet Matvei"
2,9644,0.85,"Bazira"
3,9645,0.85,"Count Geonor"
4,9646,0.85,"The Crimson Scribe"
5,9647,0.85,"The Midnight Tinkerer"
6,9648,0.85,"Aline Koltz"
7,9649,0.85,"Tsvet Matvei"
8,9650,0.85,"Administrator Qotra"
9,9651,0.85,"Count Geonor"
10,9652,0.85,"Nishem"
11,9653,0.85,"Aline Koltz"
12,9654,0.85,"Count Geonor"
13,9655,0.85,"Marcine Clavus"
14,9656,0.85,"Marcine Clavus"
15,9657,0.85,"Marcine Clavus"
16,9658,0.85,"Marcine Clavus"
17,9659,0.85,"Marcine Clavus"
18,9660,1.2,"Selwyn Eddard"
19,9661,1.2,"Kondor Larcius"
20,9662,1.2,"Grond Ironeye"
21,9663,1.2,"Bazira"
22,9664,1.2,"Bazira"
23,9665,1.2,"Kondor Larcius"
24,9666,1.2,"The Crimson Scribe"
25,9667,1.2,"Administrator Qotra"
26,9668,1.2,"Administrator Qotra"
27,9669,1.2,"The Crimson Scribe"
28,9670,1.2,"Remus Hestor"
29,9671,1.2,"Nishem"
30,9672,1.2,"The Crimson Scribe"
31,9673,1.2,"Anton Laffrey"
32,9674,1.5,"Tsvet Matvei"
33,9675,1.5,"Kondor Larcius"
34,9676,1.5,"The Midnight Tinkerer"
35,9677,1.5,"Bazira"
36,9678,1.5,"Kondor Larcius"
37,9679,1.5,"The Crimson Scribe"
38,9680,3,"Administrator Qotra"
39,9681,3,"Cardinal Uthelius"
40,9682,3,"Castor Pollinius III"
41,9683,0.3,""
42,9684,0.3,""
43,9685,0.3,""
44,9686,0.3,""
45,9687,0.3,""
46,9688,0.3,""
47,9689,0,"Karst"
48,9690,0,"Karst"
49,9691,0,"Karst"
50,9692,0,"Tibbs"
51,9693,0,"Tibbs"
52,9694,0,"Huck"
53,9695,0,"Huck"
54,9696,0,"Vinderi"
55,9697,0,"Vinderi"
56,9698,0,"Gianna"
57,9699,0,"Gianna"
58,9700,0,"Tullina"
59,9701,0,"Tullina"
60,9702,0,"Niles"
61,9703,0,"Niles"
62,9704,0,"Nenet"
63,9705,0,"Nenet"
64,9706,0,"Isla"
65,9707,0,"Isla"
66,9708,0,"Isla"
67,9709,0,"Adiyah"
68,9710,0,"Adiyah"
69,9711,0,"Adiyah"
70,9712,0,"Whakano"
71,9713,0,"Whakano"
72,9714,0,"Whakano"
73,9715,0,"Faustus"
74,9717,0,"Faustus"
75,9718,0,"Faustus"
76,9719,0,"Kurai"
77,9720,0,"Kurai"
78,9721,0,"Kurai"
79,9722,0,"Kurai"
