"rownum","LegionFactionsKey","LegionRanksKey","i32","i32","i32","i32","MinLevel","i32"
0,0,0,0,2,20,70,1,0
1,0,1,0,0,35,100,1,0
2,1,0,0,2,20,70,1,0
3,1,1,0,0,35,100,1,0
4,2,0,0,2,20,70,1,0
5,2,1,0,0,35,100,1,0
6,3,0,0,2,20,70,1,0
7,3,1,0,0,35,100,1,0
8,4,0,0,2,20,70,1,0
9,4,1,0,0,35,100,1,0
10,0,4,0,2,20,70,6,0
11,0,5,0,0,35,100,6,0
12,1,4,0,2,20,70,6,0
13,1,5,0,0,35,100,6,0
14,2,4,0,2,20,70,6,0
15,2,5,0,0,35,100,6,0
16,3,4,0,2,20,70,6,0
17,3,5,0,0,35,100,6,0
18,4,4,0,2,20,70,6,0
19,4,5,0,0,35,100,6,0
20,0,8,0,2,20,70,10,0
21,0,9,0,0,35,100,10,0
22,1,8,0,2,20,70,10,0
23,1,9,0,0,35,100,10,0
24,2,8,0,2,20,70,10,0
25,2,9,0,0,35,100,10,0
26,3,8,0,2,20,70,10,0
27,3,9,0,0,35,100,10,0
28,4,8,0,2,20,70,10,0
29,4,9,0,0,35,100,10,0
30,0,12,0,2,20,70,15,0
31,0,13,0,0,35,100,15,0
32,1,12,0,2,20,70,15,0
33,1,13,0,0,35,100,15,0
34,2,12,0,2,20,70,15,0
35,2,13,0,0,35,100,15,0
36,3,12,0,2,20,70,15,0
37,3,13,0,0,35,100,15,0
38,4,12,0,2,20,70,15,0
39,4,13,0,0,35,100,15,0
40,0,16,0,2,20,70,20,0
41,0,17,0,0,35,100,20,0
42,1,16,0,2,20,70,20,0
43,1,17,0,0,35,100,20,0
44,2,16,0,2,20,70,20,0
45,2,17,0,0,35,100,20,0
46,3,16,0,2,20,70,20,0
47,3,17,0,0,35,100,20,0
48,4,16,0,2,20,70,20,0
49,4,17,0,0,35,100,20,0
50,0,20,0,2,20,70,30,0
51,0,21,0,0,35,100,30,0
52,1,20,0,2,20,70,30,0
53,1,21,0,0,35,100,30,0
54,2,20,0,2,20,70,30,0
55,2,21,0,0,35,100,30,0
56,3,20,0,2,20,70,30,0
57,3,21,0,0,35,100,30,0
58,4,20,0,2,20,70,30,0
59,4,21,0,0,35,100,30,0
60,0,24,0,2,20,70,41,0
61,0,25,0,0,35,100,41,5
62,1,24,0,2,20,70,41,0
63,1,25,0,0,35,100,41,5
64,2,24,0,2,20,70,41,0
65,2,25,0,0,35,100,41,5
66,3,24,0,2,20,70,41,0
67,3,25,0,0,35,100,41,5
68,4,24,0,2,20,70,41,0
69,4,25,0,0,35,100,41,5
70,0,28,0,2,20,70,46,0
71,0,29,0,0,35,100,46,5
72,1,28,0,2,20,70,46,0
73,1,29,0,0,35,100,46,5
74,2,28,0,2,20,70,46,0
75,2,29,0,0,35,100,46,5
76,3,28,0,2,20,70,46,0
77,3,29,0,0,35,100,46,5
78,4,28,0,2,20,70,46,0
79,4,29,0,0,35,100,46,5
80,0,32,0,2,20,70,60,0
81,0,33,0,0,35,100,60,0
82,1,32,0,2,20,70,60,0
83,1,33,0,0,35,100,60,0
84,2,32,0,2,20,70,60,0
85,2,33,0,0,35,100,60,0
86,3,32,0,2,20,70,60,0
87,3,33,0,0,35,100,60,0
88,4,32,0,2,20,70,60,0
89,4,33,0,0,35,100,60,0
90,0,36,0,2,20,70,65,0
91,0,37,0,0,35,100,65,0
92,1,36,0,2,20,70,65,0
93,1,37,0,0,35,100,65,0
94,2,36,0,2,20,70,65,0
95,2,37,0,0,35,100,65,0
96,3,36,0,2,20,70,65,0
97,3,37,0,0,35,100,65,0
98,4,36,0,2,20,70,65,0
99,4,37,0,0,35,100,65,0
100,0,40,0,2,20,70,68,0
101,0,41,0,0,35,100,68,13
102,1,40,0,2,20,70,68,0
103,1,41,0,0,35,100,68,13
104,2,40,0,2,20,70,68,0
105,2,41,0,0,35,100,68,13
106,3,40,0,2,20,70,68,0
107,3,41,0,0,35,100,68,13
108,4,40,0,2,20,70,68,0
109,4,41,0,0,35,100,68,13
110,0,44,0,2,20,70,73,0
111,0,45,0,0,35,100,73,16
112,1,44,0,2,20,70,73,0
113,1,45,0,0,35,100,73,16
114,2,44,0,2,20,70,73,0
115,2,45,0,0,35,100,73,16
116,3,44,0,2,20,70,73,0
117,3,45,0,0,35,100,73,16
118,4,44,0,2,20,70,73,0
119,4,45,0,0,35,100,73,16
120,0,48,0,2,20,70,78,0
121,0,49,0,0,35,100,78,16
122,1,48,0,2,20,70,78,0
123,1,49,0,0,35,100,78,16
124,2,48,0,2,20,70,78,0
125,2,49,0,0,35,100,78,16
126,3,48,0,2,20,70,78,0
127,3,49,0,0,35,100,78,16
128,4,48,0,2,20,70,78,0
129,4,49,0,0,35,100,78,20
130,0,52,0,2,20,70,82,0
131,0,53,0,0,35,100,82,20
132,1,52,0,2,20,70,82,0
133,1,53,0,0,35,100,82,20
134,2,52,0,2,20,70,82,0
135,2,53,0,0,35,100,82,20
136,3,52,0,2,20,70,82,0
137,3,53,0,0,35,100,82,20
138,4,52,0,2,20,70,82,0
139,4,53,0,0,35,100,82,20
