"rownum","string","[i32]","string","[rid]","[string]","rid","[rid]","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,"MicrotransactionBreachHandOnKill","[6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632,655373]","Delay( 1.0,\r\n{\r\n  PlayEffect( Metadata/Effects/Microtransactions/Misc/rare_unique_kill/breach/breachhole.ao, scale:0.65 );\r\n} );",[],[],4,[],0,0,0,0,0,1778384896,2,0,0
1,"MicrotransactionSkySwordOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632,655373,852091,2097162,5242912,6357100,4522105,6684774,6488165,2621556,5046304,7602277,6553697,7602273,3080289,6684741,6619238,7602275,3080307,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,3080307,6881357,6488179,7471151,7471201,6226021,7209077,7405673,6619253,7012447,7077993,3080300,7471202,6357093,6815843,6422575,6619250,6488161,6815848,7077999,3014757,7274593,2097196,6488179,7077985,3801189,3014704,3473462,2687008,852027,8192010,2687008,59,5046272,6488169,7274610,7471220,7209057,6357107,7602275,7274601,5439598,7929963,7798867,7471215,5177444,4915310,7077993,108,4456448,7077989,7929953,3145768,3342382,2097196,5243003,7667809,6619251,7209025,7143529,7602273,7274601,2621550,3866665,2687101,2097211,6619204,6357100,2621561,3014706,2883635,8060960,6619218,7667827,6619245,7209025,7143529,7602273,7274601,2621550,3866665,2687101,59,38338560,0,0,0,79560704,0,0,0,5046272,6488169,7274610,7471220,7209057,6357107,7602275,7274601,4325486,7471209,7536740,7209039,6357074,6619250,6881355,7077996,0,586,0,0,0,1215,0,0,0,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,7274573,7602284,7209061,6881356,7667825,6684777,5177465,4915310,7077993,108,5439488,7602277,7667779,7471218,7209061,4259956,6881390,6357101,6881396,7209071,7340115,6619237,2621540,3014704,3276848,3866665,0,592,0,0,0,6995,0,0,0,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,7077954,7274607,4259940,6553710,7274567,6619250,7209039,6881355,7077996,0,595,0,0,0,6994,0,0,0,6357074,6946921,5439605,7274595,7471221,6619239,6881356,6815847,7209076,7209065,5177447,4915310,7077993,108,454688768,0,0,0,454688768,0,0,0,454688768,0,0,0,454688768,0,0,0,454688768,0,0,0,5046272,6488169,7274610,7471220,7209057,6357107,7602275,7274601,4391022,7471215,7929956,6619235,4325488,7798895,7209039,6881355,7077996,0,603,0,0,0,604,0,0,0,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,7602259,7602273,6619253,7209039,6881355,7077996,0,6996,0,0,0,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,7209025,6815843,7471215,7209039,6881355,7077996,0,615,0,0,0,7169,0,0,0,7471206,7143521,7667813,7340144,7471205,0,1632,0,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,6815827,7471201,4259947,7602292,6488161,5177451,4915310,7077993,108,4456448,7077989,7929953,2097192,3014705,3342385,852012,8060938,655373,2097184,2097184,6553665,4522084,6684774,6488165,5242996,6488161,2621547,5046304,7602277,6553697,7602273,3080289,6684741,6619238,7602275,3080307,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,3080307,6881357,6488179,7471151,7471201,6226021,7209077,7405673,6619253,7012447,7077993,3080300,6815859,7471201,3080299,7340133,3080299,6815843,7143535,6619248,6226020,7274596,7209079,6619182,7012464,2097196,3014705,2097205,3866665,655373,2097277,3866665,0,7170,0,0,0,1632,0,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,6619220,7602286,6488161,6619244,7274563,7536750,7143541,5177445,4915310,7077993,108,4456448,7077989,7929953,2097192,3014705,2883641,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,7602223,7209061,6357108,7077987,3080293,7340133,3080299,6815843,7143535,6619248,6226020,7274596,7209079,6619182,7012464,2097196,3014705,2097205,3866665,655373,2097277,3866665,0,7171,0,0,0,7172,0,0,0,7173,0,0,0,7174,0,0,0,7175,0,0,0,7274610,7602287,0,2460,0,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,7471172,6750305,7209071,6881350,6619250,7209039,6881355,7077996,0,6619204,6357100,2621561,3276832,3211310,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,7274543,6226030,6881387,7077996,4456495,6357106,7274599,6226030,6881350,6619250,6619183,7012464,6553647,7536745,7209065,6619252,7471207,7602273,6226021,7274596,7209079,6619182,7012464,2097196,3014705,2097205,3866665,655373,2097277]","",[585],"[""""]","",[],0,0,0,0,0,1375731712,3,0,0
2,"MicrotransactionBirdsOnRareKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[586],"[""""]",1,[],0,0,0,0,0,-1275068416,3,0,0
3,"MicrotransactionMoltenLiquifyOnKill","[6619219,4391028,7471221,6619250,7602286,7209025,7143529,7602273,7274601,5439598,6619248,6553701,3145768,3145774,2687026,59,38797312,0,0,0,458424320,0,0,0,5046272,6488169,7274610,7471220,7209057,6357107,7602275,7274601,4325486,7274604,6553711,7209025,4653156,7471215,5177445,4915310,7077993,108,38993920,0,0,0,458358784,0,0,0,5373952,6881377,7667818,6488147,7667823,6750322,4980837,6750313,7602280,6881390,6750318,7209039,6881355,7077996,0,6938,0,0,0,6938,0,0,0,6938,0,0]","",[592],[],5,[6995],0,0,0,0,0,1610612736,4,0,0
4,"MicrotransactionBloodAndGoreOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[595],[],6,[6994],0,0,0,0,0,-939524096,4,0,0
5,"RaijuScourgeLightningOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[],[],"","[6938,6938,6938,6938,6938]",16777216,117440512,0,0,0,1375731712,5,0,0
6,"MicrotransactionCordycepBowOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","","[603,604]",[],"",[],0,0,33554432,0,0,-1207959552,5,0,0
7,"MicrotransactionStatueOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[],[],"",[6996],0,0,0,0,0,67108864,6,0,0
8,"MicrotransactionAnchorOnKill","[0,6619204,6357100,2621561,3211296,3604526,2883637,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,6422575,6619250,6488161,3080296,7340133,7536747,6488111,7471215,7536752,6226021,7471204,6750305,6619239,6226020,7274596,7209079,6619182,7012464,2687008,852027,8192010,2687008,59,4456448,7077989,7929953,2097192,3014705,2883632]","",[615],[],"",[7169],0,0,0,16777216,0,2013265920,6,687865856,4099932
9,"MicrotransactionSharkAttackOnKill","[6619204,6357100,2621561,3211296,3211310,2883635,655373,852091,2097162,2097184,4259872,6553700,6684741,6619238,7602275,6357072,7012451,2097192,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,5046319,7536745,3080291,6357106,6619250,7667807,6881390,7667825,6226021,6881387,7077996,7536687,6357096,7012466,6619183,7012464,6488111,7274600,7340141,6553701,6553695,7798895,3014766,7340133,2883691,3211296,3473454,2687008,852027,8192010,2687008,59,469893120,0,0,0,106954752,0,5046272,6488169,7274610]","",[],[],"",[7170],0,0,0,16777216,0,-469762048,7,0,4161536
