"rownum","Id","Description","ArtFile","AchievementItemsKey"
0,"Currency","Contains 2 to 3 Synthesised Chests with Currency Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIcon",""
1,"Currency2","Contains 3 to 4 Synthesised Chests with Currency Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIcon",""
2,"Currency3","Contains 4 to 5 Synthesised Chests with Currency Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIcon",""
3,"CurrencyHigh3","Contains 2 to 3 Synthesised Chests with valuable Currency Items\r\nContains 2 Synthesised Chests with Currency Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIconTier2",""
4,"Currency4","Contains 5 to 6 Synthesised Chests with Currency Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIcon",""
5,"CurrencyHigh4","Contains 3 to 4 Synthesised Chests with valuable Currency Items\r\nContains 2 Synthesised Chests with Currency Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIconTier2",""
6,"CurrencyEpic4","Contains a Synthesised Chest with very valuable Currency Items\r\nContains 4 to 5 Synthesised Chests with Currency Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIconTier3",""
7,"Currency5","Contains 6 to 7 Synthesised Chests with Currency Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIcon",""
8,"CurrencyHigh5","Contains 4 to 5 Synthesised Chests with valuable Currency Items\r\nContains 2 Synthesised Chests with Currency Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIconTier2",""
9,"CurrencyEpic5","Contains a Synthesised Chest with very valuable Currency Items\r\nContains 5 to 6 Synthesised Chests with Currency Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIconTier3",""
10,"Uniques","Contains a Synthesised Chest with a Unique Item\r\nContains 1 to 2 Synthesised Chests with Fractured Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/UniqueItemRewardIcon",""
11,"Uniques2","Contains a Synthesised Chest with a Unique Item\r\nContains 2 to 3 Synthesised Chests with Fractured Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/UniqueItemRewardIcon",""
12,"Uniques3","Contains 2 Synthesised Chests with a Unique Item\r\nContains 2 to 3 Synthesised Chests with Fractured Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/UniqueItemRewardIcon",""
13,"Uniques4","Contains 2 Synthesised Chests with a Unique Item\r\nContains 3 to 4 Synthesised Chests with Fractured Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/UniqueItemRewardIcon",""
14,"Uniques5","Contains 3 Synthesised Chests with a Unique Item\r\nContains 3 to 4 Synthesised Chests with Fractured Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/UniqueItemRewardIcon",""
15,"UniquesHigh5","Contains 1 Synthesised Chest with a valuable Unique Item\r\nContains 3 to 4 Synthesised Chests with a Unique Item","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/UniqueItemRewardIconTier2",""
16,"FracturedItems3","Contains 2 to 3 Synthesised Chests with valuable Fractured Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FracturedItemRewardIconTier3",""
17,"Gems","Contains 1 to 2 Synthesised Chests with Gem Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SkillGemItemRewardIcon",""
18,"Gems2","Contains 2 to 3 Synthesised Chests with Gem Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SkillGemItemRewardIcon",""
19,"Gems3","Contains 3 to 4 Synthesised Chests with Gem Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SkillGemItemRewardIcon",""
20,"GemsHigh3","Contains 2 to 3 Synthesised Chests with valuable Gem Items\r\nContains 1 to 2 Synthesised Chests with Gem Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SkillGemItemRewardIconTier2",""
21,"Maps","Contains 1 to 2 Synthesised Chests with Map Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/MapItemRewardIcon",""
22,"Maps2","Contains 2 to 3 Synthesised Chests with Map Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/MapItemRewardIcon",""
23,"Maps3","Contains 3 to 4 Synthesised Chests with Map Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/MapItemRewardIcon",""
24,"Trinkets","Contains 1 to 2 Synthesised Chests with Jewellery Items\r\nContains 1 Synthesised Chest with Fractured Jewellery Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
25,"Trinkets2","Contains 2 to 3 Synthesised Chests with Jewellery Items\r\nContains 1 Synthesised Chest with Fractured Jewellery Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
