"rownum","Id","MonsterVarietiesKey","i32","rid","i32","bool"
0,"SkeletonMeleeFireTormentNecromancer",2286,141,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4367,141,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",4930,141,1031,2,1
4,"EssenceBloodworm",4233,141,"",1,""
5,"Essence Elemental Swarm 1st stage",389,141,108,4,1
6,"Essence Elemental Swarm 2nd stage",390,141,108,2,1
7,"Essence Elemental Swarm 3rd stage",391,141,108,2,1
8,"Essence Rock Golem",4487,141,"",1,1
9,"Essence Explosive Insect",1537,141,"",1,1
10,"Volatile Flameblood",4957,141,"",1,1
11,"Obsidian Golem",4168,141,"",1,1
12,"TormentedBetrayerBeacon",7337,141,"",1,""
13,"BlightDaemonFire",7651,141,108,1,""
14,"BlightDaemonCold",7653,141,110,1,""
15,"BlightDaemonLightning",7655,141,441,1,""
16,"BlightDaemonPhysical",7657,141,516,1,""
17,"BlightDaemonChaos",7659,141,1046,1,""
