"rownum","Projectile","Variant","i32","rid"
0,"default_ranged",0,3,""
1,"default_ranged",1,3,""
2,"default_ranged",2,3,""
3,"default_ranged",3,3,""
4,"default_ranged",4,3,""
5,"default_ranged",5,3,""
6,"default_ranged",6,3,""
7,"default_ranged",7,3,""
8,"default_ranged",8,3,""
9,"default_ranged",9,3,""
10,"default_ranged",10,3,""
11,"default_ranged",11,3,""
12,"default_ranged",12,3,""
13,"default_ranged",13,3,""
14,"default_ranged",14,3,""
15,"default_ranged",15,3,""
16,"default_ranged",16,3,""
17,"default_ranged",17,3,""
18,"default_ranged",18,3,""
19,"default_ranged",19,3,""
20,"default_ranged",20,3,""
21,"default_ranged",21,3,""
22,"default_ranged",22,3,""
23,"default_ranged",23,3,""
24,"default_ranged",24,3,""
25,"default_ranged",25,3,""
26,"default_ranged",26,3,""
27,"default_ranged",27,3,""
28,"default_ranged",28,3,""
29,"default_ranged",29,3,""
30,"default_ranged",30,3,""
31,"default_ranged",31,3,""
32,"default_ranged",32,3,""
33,"default_ranged",33,3,""
34,"default_ranged",34,3,""
35,"default_ranged",35,3,""
36,"cremation_projectile",0,3,""
37,"cremation_projectile",1,3,""
38,"cremation_projectile",2,3,""
39,"cremation_projectile",3,3,""
40,"cremation_projectile",4,3,""
41,"cremation_projectile",5,3,""
42,"cremation_projectile",6,3,""
43,"cremation_projectile",7,3,""
44,"cremation_projectile",8,3,""
45,"soulfeast_primary",0,3,""
46,"soulfeast_secondary",0,3,""
47,"soulfeast_primary_short",0,3,""
48,"soulfeast_secondary_short",0,3,""
49,"soulfeast_primary",1,3,""
50,"soulfeast_secondary",1,3,""
51,"soulfeast_primary_short",1,3,""
52,"soulfeast_secondary_short",1,3,""
53,"igniting_flask",0,3,""
54,"spark",0,3,""
55,"spark",1,3,""
56,"spark",2,3,""
57,"spark",3,3,""
58,"spark",4,3,""
59,"spark",5,3,""
60,"spark",6,3,""
61,"spark",7,3,""
62,"spark",8,3,""
63,"spark",9,3,""
64,"spark",10,3,""
65,"spark",11,3,""
66,"spark",12,3,""
67,"spark",13,3,""
68,"spark",14,3,""
69,"spark",15,3,""
70,"spark",16,3,""
71,"spark",17,3,""
72,"spark",18,3,""
73,"spark",19,3,""
74,"spark",20,3,""
75,"spark_monster",1,3,""
76,"spark_monster",2,3,""
77,"spark_monster",3,3,""
78,"spark_monster",4,3,""
79,"spark_tornado",0,3,""
80,"spark_tornado",2,3,""
81,"spark_tornado",17,3,""
82,"spark_tornado",18,3,""
83,"spark_tornado",19,3,""
84,"lightning_strike_projectile",0,3,""
85,"lightning_strike_projectile_lite",0,3,""
86,"lightning_strike_projectile",1,3,""
87,"lightning_strike_projectile_lite",1,3,""
88,"lightning_strike_projectile",2,3,""
89,"lightning_strike_projectile_lite",2,3,""
90,"lightning_strike_projectile",3,3,""
91,"lightning_strike_projectile_lite",3,3,""
92,"lightning_strike_projectile",4,3,""
93,"lightning_strike_projectile_lite",4,3,""
94,"lightning_strike_projectile",5,3,""
95,"lightning_strike_projectile_lite",5,3,""
96,"burning_arrow",0,3,""
97,"burning_arrow_vaal",0,3,""
98,"burning_arrow",1,3,""
99,"burning_arrow_vaal",1,3,""
100,"eye_of_winter_ball",0,3,""
101,"eye_of_winter_ball",1,3,""
102,"eye_of_winter_ball",2,3,""
103,"eye_of_winter_shard",0,3,""
104,"eye_of_winter_shard",1,3,""
105,"eye_of_winter_shard",2,3,""
106,"spectral_helix",0,3,""
107,"spectral_helix",1,3,""
108,"mortar_barrage_mine",0,3,""
109,"mortar_barrage_mine",1,3,""
110,"mortar_barrage_mine",2,3,""
111,"cold_projectile_mine",0,3,""
112,"cold_projectile_mine",1,3,""
113,"cold_projectile_mine",2,3,""
114,"poisonous_concoction",0,3,""
115,"poisonous_concoction",1,3,""
116,"poisonous_concoction",2,3,""
117,"barrage_bow",0,3,""
118,"barrage_bow",1,3,""
119,"barrage_bow",2,3,""
120,"barrage_bow",3,3,""
121,"barrage_bow",4,3,""
122,"barrage_wand",0,3,""
123,"barrage_wand",1,3,""
124,"barrage_wand",2,3,""
125,"barrage_wand",3,3,""
126,"virulent_arrow_main",0,3,""
127,"virulent_arrow_main",1,3,""
128,"virulent_arrow_main",2,3,""
129,"virulent_arrow_main",3,3,""
130,"virulent_arrow_lesser",0,3,""
131,"virulent_arrow_lesser",1,3,""
132,"virulent_arrow_lesser",2,3,""
133,"virulent_arrow_lesser",3,3,""
134,"virulent_arrow_neither",0,3,""
135,"virulent_arrow_neither",1,3,""
136,"virulent_arrow_neither",2,3,""
137,"virulent_arrow_neither",3,3,""
138,"lightning_arrow",0,3,""
139,"lightning_arrow",1,3,""
140,"lightning_arrow",2,3,""
141,"lightning_arrow",3,3,""
142,"tornado_shot_bow_primary",0,3,""
143,"tornado_shot_bow_primary",1,3,""
144,"tornado_shot_bow_primary",2,3,""
145,"tornado_shot_bow_primary",3,3,""
146,"tornado_shot_bow_primary",4,3,""
147,"tornado_shot_bow_secondary",0,3,""
148,"tornado_shot_bow_secondary",1,3,""
149,"tornado_shot_bow_secondary",2,3,""
150,"tornado_shot_bow_secondary",3,3,""
151,"tornado_shot_bow_secondary",4,3,""
152,"tornado_shot_wand_primary",0,3,""
153,"tornado_shot_wand_primary",1,3,""
154,"tornado_shot_wand_primary",2,3,""
155,"tornado_shot_wand_primary",3,3,""
156,"tornado_shot_wand_primary",4,3,""
157,"tornado_shot_wand_secondary",0,3,""
158,"tornado_shot_wand_secondary",1,3,""
159,"tornado_shot_wand_secondary",2,3,""
160,"tornado_shot_wand_secondary",3,3,""
161,"fireball",0,3,""
162,"fireball",1,3,""
163,"fireball",2,3,""
164,"fireball",3,3,""
165,"fireball",4,3,""
166,"fireball",5,3,""
167,"fireball",6,3,""
168,"fireball",7,3,""
169,"fireball",8,3,""
170,"fireball",9,3,""
171,"fireball",10,3,""
172,"fireball",11,3,""
173,"fireball",12,3,""
174,"fireball",13,3,""
175,"fireball",14,3,""
176,"fireball",15,3,""
177,"fireball",16,3,""
178,"fireball",17,3,""
179,"fireball",18,3,""
180,"fireball",19,3,""
181,"fireball",20,3,""
182,"fireball",21,3,""
183,"fireball",22,3,""
184,"fireball",23,3,""
185,"fireball",24,3,""
186,"fireball",25,3,""
187,"fireball",26,3,""
188,"fireball",27,3,""
189,"ice_shot",0,3,""
190,"ice_shot",1,3,""
191,"ice_shot",2,3,""
192,"ice_shot",3,3,""
193,"ice_shot",4,3,""
194,"explosive_arrow",0,3,""
195,"explosive_arrow",1,3,""
196,"explosive_arrow",2,3,""
197,"explosive_arrow",3,3,""
198,"explosive_arrow",4,3,""
199,"ice_spear",0,3,""
200,"ice_spear",1,3,""
201,"ice_spear",2,3,""
202,"ice_spear",3,3,""
203,"ice_spear",4,3,""
204,"ice_spear",5,3,""
205,"ice_spear",6,3,""
206,"ice_spear",7,3,""
207,"ice_spear",8,3,""
208,"ball_lightning",0,3,""
209,"ball_lightning",1,3,""
210,"ball_lightning",2,3,""
211,"ball_lightning",3,3,""
212,"ball_lightning",4,3,""
213,"ball_lightning",5,3,""
214,"ball_lightning",6,3,""
215,"ball_lightning",7,3,""
216,"ball_lightning",8,3,""
217,"ball_lightning",9,3,""
218,"ball_lightning",10,3,""
219,"monster_soulrend",0,3,""
220,"monster_soulrend",1,3,""
221,"monster_soulrend",2,3,""
222,"cobra_lash_projectile_default",0,3,""
223,"cobra_lash_projectile_default",1,3,""
224,"cobra_lash_projectile_claw",0,3,""
225,"cobra_lash_projectile_claw",1,3,""
226,"venom_gyre_projectile_default",0,3,""
227,"venom_gyre_projectile_default",1,3,""
228,"venom_gyre_projectile_released",0,3,""
229,"volcanic_slam",0,3,""
230,"volcanic_slam_lite",0,3,""
231,"venom_gyre_projectile_released",1,3,""
232,"caustic_arrow",0,3,""
233,"caustic_arrow",1,3,""
234,"caustic_arrow",2,3,""
235,"caustic_arrow",3,3,""
236,"caustic_arrow",4,3,""
237,"caustic_arrow",5,3,""
238,"kinetic_blast",0,3,""
239,"kinetic_blast",1,3,""
240,"kinetic_blast",2,3,""
241,"caustic_arrow_vaal",0,3,""
242,"caustic_arrow_vaal",1,3,""
243,"caustic_arrow_vaal",2,3,""
244,"caustic_arrow_vaal",3,3,""
245,"caustic_arrow_vaal",4,3,""
246,"caustic_arrow_vaal",5,3,""
247,"vaal_lightning_arrow",0,3,""
248,"vaal_lightning_arrow",1,3,""
249,"vaal_lightning_arrow",3,3,""
250,"split_arrow",0,3,""
251,"split_arrow",1,3,""
252,"split_arrow",2,3,""
253,"split_arrow",3,3,""
254,"vaal_split_arrow",0,3,""
255,"arctic_breath",0,3,""
256,"arctic_breath",1,3,""
257,"arctic_breath",2,3,""
258,"arctic_breath_skull",0,3,""
259,"arctic_breath_skull",1,3,""
260,"arctic_breath_skull",2,3,""
261,"arctic_breath_skull",3,3,""
262,"arctic_breath_skull",4,3,""
263,"arctic_breath_lesser",0,3,""
264,"arctic_breath_grenade",0,3,""
