"rownum","i32","i32","i32","rid"
0,1,1,0,4826
1,1,2,0,4827
2,1,3,0,4828
3,1,4,0,4829
4,2,1,0,4830
5,2,2,0,4831
6,2,3,0,4832
7,2,4,0,4833
8,3,1,0,4836
9,3,2,0,4834
10,3,3,0,4835
11,4,1,0,4837
12,1,1,1,4860
13,1,2,1,4861
14,1,3,1,4862
15,1,4,1,4863
16,2,1,1,4864
17,2,2,1,4865
18,2,3,1,4866
19,2,4,1,4867
20,3,1,1,4869
21,3,2,1,4868
22,4,1,1,4870
23,1,1,2,4838
24,1,2,2,4839
25,1,3,2,4840
26,1,4,2,4841
27,2,1,2,4842
28,2,2,2,4843
29,2,3,2,4844
30,2,4,2,4845
31,3,2,2,4846
32,3,1,2,4847
33,4,1,2,4848
34,1,1,3,4849
35,1,2,3,4850
36,1,3,3,4851
37,1,4,3,4852
38,2,1,3,4853
39,2,2,3,4854
40,2,3,3,4855
41,2,4,3,4856
42,3,2,3,4857
43,3,1,3,4858
44,4,1,3,4859
