"rownum","string","i32"
0,"steelskin_hit",0
1,"steelskin_hit",1
2,"steelskin_hit",2
3,"steelskin_fadeout",0
4,"steelskin_fadeout",1
5,"steelskin_fadeout",2
6,"divine_cry_weapon_left",0
7,"divine_cry_weapon_left",2
8,"divine_cry_weapon_left",3
9,"divine_cry_weapon_right",0
10,"divine_cry_weapon_right",2
11,"divine_cry_weapon_right",3
12,"chain_strike_dash",0
13,"chain_strike_dash",1
14,"chain_strike_hit",0
15,"chain_strike_hit",1
16,"arcane_cloak_block",0
17,"arcane_cloak_block",1
18,"arcane_cloak_fade_out",0
19,"arcane_cloak_fade_out",1
20,"igniting_flask_in_hand",0
21,"igniting_flask_in_hand_scion_pls",0
22,"weapon_trap_weapon",0
23,"ambush_teleport_in",0
24,"ambush_teleport_out",0
25,"rage_slash_weapon",0
26,"rage_slash_weapon",1
27,"soulfeast_hand_surge",0
28,"soulfeast_hand_surge",1
29,"lightning_strike_proj_hit",0
30,"lightning_strike_proj_hit",1
31,"lightning_strike_proj_hit",2
32,"lightning_strike_proj_hit",3
33,"lightning_strike_proj_hit",4
34,"lightning_strike_proj_hit",5
35,"lightning_strike_vaal_blade",0
36,"lightning_strike_vaal_blade",1
37,"lightning_strike_vaal_blade",2
38,"lightning_strike_vaal_blade",3
39,"lightning_strike_vaal_blade",4
40,"lightning_strike_vaal_blade",5
41,"burning_arrow_stuck_fade",0
42,"burning_arrow_stuck_fade",1
43,"dash_afterimage",0
44,"dash_char",0
45,"dash_afterimage",1
46,"dash_char",1
47,"dash_afterimage",2
48,"dash_char",2
49,"dash_afterimage",3
50,"dash_char",3
51,"dash_afterimage",4
52,"dash_char",4
53,"dash_afterimage",5
54,"dash_char",5
55,"dash_char",6
56,"dash_char_end",6
57,"spectral_helix_weapon_effect",0
58,"leap_slam",10
59,"leap_slam",12
60,"leap_slam",14
61,"leap_slam",16
62,"leap_slam",19
63,"leap_slam",21
64,"leap_slam_warp_out",22
65,"leap_slam_warp_in",22
66,"arc_hit",8
67,"arc_hit",10
68,"arc_hit",12
69,"arc_lucky_begin",8
70,"chronomancer_after_image",0
