"rownum","Id","rid","rid","bool","bool","bool","bool","i32","bool"
0,0,"",267,1,1,"",1,0,1
1,1,69,"","",1,"",1,0,1
2,2,153,154,"",1,"",1,0,1
3,3,268,269,"",1,"",1,0,1
4,4,"","","",1,"",1,0,1
5,5,268,"","",1,"",1,0,1
6,6,268,"",1,1,"",1,0,1
7,7,1402,"","","","",1,0,1
8,8,2060,"","","",1,1,0,1
9,9,2357,"","","",1,1,0,1
10,10,2516,"","","",1,1,0,1
11,11,2493,"","","","",1,0,1
12,12,2863,"","","","",1,0,1
13,13,268,"","",1,"",1,0,1
14,14,3191,"","",1,"",1,0,1
15,15,3192,"","",1,"",1,0,1
16,16,3193,"","",1,"",1,0,1
17,17,3244,"","","","",1,0,1
18,18,3384,"","","","",1,-100,1
19,19,492,267,1,"","",1,0,1
20,20,1798,"","","","",1,0,1
21,21,3589,"","","","",1,0,1
22,22,3675,"","","","",1,0,1
23,23,3676,"","","","",1,0,1
24,24,3677,"","","","",1,0,1
25,25,3834,"","","",1,1,0,1
26,26,4182,"","","","",1,0,1
27,27,4299,"","","","",1,0,1
28,28,4720,"","","","",1,0,1
29,29,4875,"",1,"",1,1,0,1
30,30,4898,"","",1,"",1,0,1
31,31,5156,"","","",1,1,0,1
32,32,5155,"","","","",1,0,1
33,33,5159,"","","",1,1,0,1
34,34,5160,"","","",1,1,0,1
35,35,5158,"","","",1,1,0,1
36,36,5205,"",1,1,1,1,0,1
37,37,5206,"",1,1,1,1,0,1
38,38,5605,"","",1,1,1,0,1
39,39,5701,"","","","",1,0,1
40,40,6181,"","","",1,1,0,1
41,41,6221,"","","",1,1,0,1
42,42,6277,"","","",1,1,0,1
43,43,6140,"","","","",1,0,1
44,44,6787,"","","","",1,0,1
45,45,6791,"","","","",1,0,1
46,46,6897,"","","",1,1,0,1
