"rownum","Id","SoundFile","BankFile","HASH16","IsAvailableInHideout","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","MusicCategories","bool","i32"
0,"Default","","",52546,1,"Default Hideout Music","Musique par défaut","Standard-Versteckmusik","隠れ家の曲 (デフォルト)","기본 은신처 음악","Música Padrão do Refúgio","Музыка убежища по умолчанию","Música de guarida por defecto","เพลงปกติของที่ซ่อน","藏身處預設音樂","","","","","","","","","","","[14,15]","",0
1,"Silence","","",122,1,"Silence","Silence","Stille","無音","침묵","Silêncio","Тишина","Silencio","เงียบ","寧靜","","","","","","","","","","",[14],"",0
2,"Random","","",45095,1,"Random","Aléatoire","Zufall","ランダム","무작위","Aleatório","Случайная","Aleatorio","สุ่ม","隨機","","","","","","","","","","",[14],"",0
3,"MainMenu","Audio/Music/Main Menu/Main Menu v3 Final_x4.ogg","Music1.bank",48845,1,"Main Theme","Thème principal","Hauptthema","メインテーマ","메인 주제곡","Tema Principal","Главная тема","Tema principal","เพลงหลัก","主題曲","","","","","","","","","","",[14],1,0
4,"Act1_TwilightStrand","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",21484,1,"Twilight Strand","Rivage du crépuscule","Zwielichtküste","黄昏の岸辺","황혼의 해안","Costa do Crepúsculo","Сумрачное взморье","Litoral crepuscular","ชายฝั่งสนธยา","絕望岩灘","","","","","","","","","","",[2],1,0
5,"Act1_Encampment","Audio/Music/Act1_Encampment/Act1_Encampment.ogg","Music1.bank",58824,1,"Lioneye's Watch (A1)","Guet d'Œil de Lion (A1)","Löwenauges Wacht (A1)","ライオンアイの見張り場 (A1)","라이온아이 초소 (A1)","Vigílha de Lioneye (A1)","Застава Львиного глаза (1 Акт)","Vigilancia de Lioneye (A1)","หอสังเกตการณ์ไลออนอาย (บทที่ 1)","獅眼守望 (A1)","","","","","","","","","","","[2,1]",1,0
6,"Act1_SandBeach","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",5991,1,"Coast","Côte","Küste","海岸","해안가","Costa","Побережье","Costa","ชายหาดริมฝั่ง","暮光海灘","","","","","","","","","","",[2],"",0
7,"Act1_TidalIsland","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",17334,1,"Tidal Island","Presqu'île","Gezeiteninsel","陸繋島","물결 섬","Ilha da Maré","Прибрежный остров","Isla de la marea","เกาะชายทะเล","海潮孤島","","","","","","","","","","",[2],"",0
8,"Act1_MudFlats","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",9697,1,"Mud Flats","Vasière","Morastebenen","ぬかるみの干潟","갯벌","Lamaçal","Илистые низины","Marismas embarradas","ที่ราบดินโคลน","炙熱鹽沼","","","","","","","","","","",[2],"",0
9,"Act1_FetidPool","Audio/Music/Act3_Sewers/Act3_Sewers.ogg","Music6.bank",29492,1,"Fetid Pool","Étang fétide","Fäulnistümpel","悪臭を放つ池","악취 나는 웅덩이","Piscina Fétida","Смрадная заводь","Charca fétida","หนองน้ำเน่าเหม็น","惡水池","","","","","","","","","","",[2],"",0
10,"Act1_Cave","Audio/Music/Act1_Cave/Act1_Cave.ogg","Music1.bank",24663,1,"Submerged Passage","Souterrain submergé","Unterwasserpassage","海底通路","물에 잠긴 길","Passagem Submersa","Сырой проход","Pasaje sumergido","ทางเดินจมน้ำ​","海潮地穴","","","","","","","","","","",[2],1,0
11,"Act1_FloodedDepths","Audio/Music/Act1_Cave/Act1_Cave.ogg","Music1.bank",17824,1,"Flooded Depths","Tréfonds inondés","Überschwemmte Tiefen","冠水した淵","물에 잠긴 심연","Profundezas Inundadas","Залитый провал","Profundidades Inundadas","เบื้องลึกท่วมน้ำ","水聲之淵","","","","","","","","","","",[2],"",0
12,"Act1_Cliff","Audio/Music/Act1_Cliff/Act1_Cliff.ogg","Music2.bank",19519,1,"Ledge","Corniche","Felsvorsprung","岩棚","바위 턱","Precipício","Утёс","Saliente","เชิงผา","沉寂海崖","","","","","","","","","","",[2],1,0
13,"Act1_Climb","Audio/Music/Act1_Cliff/Act1_Cliff.ogg","Music2.bank",44102,1,"Climb","Montée","Anstieg","険しい山道","고개","Escalada","Склон","Ascenso","ทางขึ้นผา","碎岩山坡","","","","","","","","","","",[2],"",0
