"rownum","Id","Name","Description","Icon","NextUpgradeOptions","i32","Tier","Radius","i32","SpendResourceAchievement","StatsKey","StatsKeys","StatsKeys2","bool"
0,"EmptyNode","Tower Foundation","A powered base for one of Cassia's towers.","Art/2DArt/UIImages/InGame/Placeholder/temp_league_prototype_placeholder","[1,6,11,16,21,26]",1487001455,"",0,-1,"","",[],[],""
1,"ChillingTower1","Chilling Tower Mk I","Damage: Low\r\nChills and Damages nearby enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold",[2],-1090896293,"I",35,3,"",10419,"[10418,10420,10421,10422,12167,17542]","[24,3558,199,10422,12172,17541]",""
2,"ChillingTower2","Chilling Tower Mk II","Increased Damage\r\nIncreased effect of Chill\r\nAffects more Targets","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold",[3],1371628040,"II",35,3,"",10419,"[10418,10420,10421,10422,12167,17542]","[24,3558,199,10422,12172,17541]",""
3,"ChillingTower3","Chilling Tower Mk III","Increased Damage\r\nIncreased effect of Chill\r\nAffects more targets","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold","[4,5]",-48389433,"III",35,3,"",10419,"[10418,10420,10421,10422,12167,17542]","[24,3558,199,10422,12172,17541]",""
4,"FreezingTower","Freezebolt Tower","Damage: Very High\r\nShoots a Piercing projectile which Freezes enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFreezing",[],-632665268,"IV",75,4,"",10424,"[10423,10425,10426,12156,12167,17542]","[24,10425,173,8663,12172,17541]",""
5,"IcePrisonTower","Glacial Cage Tower","Deals no Damage\r\nImprisons Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconIcePrison",[],1141601187,"IV",60,5,"",10428,"[10427,10429,10430,12157,12167,17542]","[215,10429,3336,434,12172,17541]",""
6,"ShockingTower1","Shock Nova Tower Mk I","Damage: Low\r\nCreates Shocked Ground\r\nCasts Shock Nova\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning",[7],1459477666,"I",20,6,"",10409,"[10410,10431,10432,10433,10434,12167,17542]","[24,10431,3559,10502,2272,12172,17541]",1
7,"ShockingTower2","Shock Nova Tower Mk II","Increased Damage\r\nIncreased chance to Shock\r\nIncreased Area of Effect","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning",[8],1368253867,"II",25,6,"",10409,"[10410,10431,10432,10433,10434,12167,17542]","[24,10431,3559,10502,2272,12172,17541]",1
8,"ShockingTower3","Shock Nova Tower Mk III","Increased Damage\r\nIncreased chance to Shock\r\nIncreased Area of Effect","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning","[9,10]",94056515,"III",30,6,"",10409,"[10410,10431,10432,10433,10434,12167,17542]","[24,10431,3559,10502,2272,12172,17541]",1
9,"LightningStormTower","Lightning Storm Tower","Damage: High\r\nLightning rapidly strikes around the Tower\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightningStorm",[],1277124932,"IV",45,7,"",10436,"[10435,10495,10438,12158,12167,17542]","[24,10437,212,12158,12172,17541]",1
10,"ArcingTower","Arc Tower","Damage: Medium\r\nCasts Arc\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconArcing",[],-1027797953,"IV",45,8,"",10440,"[10439,10441,10442,12159,12167,17542]","[24,2272,172,8664,12172,17541]",""
11,"BuffTower1","Empowering Tower Mk I","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff",[12],-1750551302,"I",35,15,"",10444,"[10443,10445,10446,10447,12167,17542]","[4525,216,10446,10447,12172,17541]",1
12,"BuffTower2","Empowering Tower Mk II","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff",[13],-2021019078,"II",45,15,"",10444,"[10443,10445,10446,10447,12167,17542]","[4525,216,10446,10447,12172,17541]",1
13,"BuffTower3","Empowering Tower Mk III","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff","[14,15]",1692746775,"III",55,15,"",10444,"[10443,10445,10446,10447,12167,17542]","[4525,216,10446,10447,12172,17541]",1
14,"BuffPlayersTower","Imbuing Tower","Improves the effectiveness of Players in range.\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuffPlayer",[],-720723365,"IV",55,16,"",10449,"[10448,10450,10451,12160,12167,17540]","[4525,10450,10451,12160,12172,17541]",1
15,"WeakenEnemiesTower","Smothering Tower","Weakens Enemies in range\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconWeakining",[],1166693452,"IV",55,17,"",10453,"[10452,10454,10455,12161,12167,17542]","[4525,10454,10455,12161,12172,17541]",1
16,"StunningTower1","Seismic Tower Mk I","Damage: Low\r\nRepeats 3 times\r\nAlways Stuns\r\nDamages and Stuns nearby Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical",[17],-239063143,"I",45,9,"",10457,"[10456,10458,10459,10460,12167,17542]","[24,341,7739,10501,12172,17541]",""
17,"StunningTower2","Seismic Tower Mk II","Repeats 5 times","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical",[18],242248516,"II",45,9,"",10457,"[10456,10458,10459,10460,12167,17542]","[24,341,7739,10501,12172,17541]",""
