"rownum","MetamorphosisRewardTypesKey","i32","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32"
0,0,0,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
1,0,1,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
2,0,2,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
3,0,3,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
4,0,4,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
5,0,5,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
6,0,6,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
7,0,7,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
8,0,8,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
9,0,9,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
10,0,10,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
11,0,11,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
12,0,12,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
13,0,13,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
14,0,14,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
15,0,15,"Drops additional Currency Items","Cède des Objets monétaires supplémentaires","Lässt zusätzliche Währungsgegenstände fallen","追加のカレンシーアイテムをドロップ","화폐 아이템을 추가로 떨어뜨림","Derruba Itens Monetários adicionais","Бросает дополнительную валюту","Arroja objetos monetarios adicionales","ดรอป ไอเทมเงินตรา เพิ่มเติม","掉落額外通貨道具",46310
16,1,0,"Drops a Unique Item","Cède un Objet unique","Lässt einen einzigartigen Gegenstand fallen","ユニークアイテムをドロップ","고유 아이템을 떨어뜨림","Derruba um Item Único","Бросает уникальный предмет","Arroja un objeto único","ดรอป ไอเทมยูนิค 1 ชิ้น","掉落一個傳奇道具",30518
17,1,1,"Drops additional Unique Items","Cède des Objets uniques supplémentaires","Lässt zusätzliche einzigartige Gegenstände fallen","追加のユニークアイテムをドロップ","고유 아이템을 추가로 떨어뜨림","Derruba Itens Únicos","Бросает дополнительные уникальные предметы","Arroja objetos únicos adicionales","ดรอป ไอเทมยูนิค เพิ่มเติม","掉落額外傳奇道具",26727
18,1,2,"Drops a Unique Item","Cède un Objet unique","Lässt einen einzigartigen Gegenstand fallen","ユニークアイテムをドロップ","고유 아이템을 떨어뜨림","Derruba um Item Único","Бросает уникальный предмет","Arroja un objeto único","ดรอป ไอเทมยูนิค 1 ชิ้น","掉落一個傳奇道具",30518
