"rownum","QualityModifier","Description","BaseItemTypesKey","rid"
0,20520,"Quality (Elemental Damage Modifiers)",283,0
1,20521,"Quality (Caster Modifiers)",284,1
2,20522,"Quality (Attack Modifiers)",285,2
3,20523,"Quality (Defence Modifiers)",286,3
4,20524,"Quality (Life and Mana Modifiers)",287,4
5,20525,"Quality (Resistance Modifiers)",288,5
6,20526,"Quality (Attribute Modifiers)",289,6
7,20527,"Quality (Physical and Chaos Damage Modifiers)",290,7
8,20528,"Quality (Speed Modifiers)",291,8
9,20529,"Quality (Critical Modifiers)",292,9
