"rownum","Id","Id2","[i32]","i32","i32","LabyrinthSecretEffectsKeys0","LabyrinthSecretEffectsKeys1","LabyrinthSecretEffectsKeys2","i32","LabyrinthSecretEffectsKeys3","bool","bool","i32","bool","bool","bool","Name","AchievementItemsKey","LabyrinthTierMinimum","LabyrinthTierMaximum","bool"
0,"SecretPassage","secret_passage",[0],100,1,[],[],[],1,[],"",1,1,"","","","","",3,4,""
1,"Argus","secret_minotaur",[],100,7,[1],[],[],1,[],"","",1,"","","","","",3,4,""
2,"Gauntlet","secret_gauntlet",[],100,7,[],[],[],1,[],"","",2,"","","","","",1,4,1
3,"Hidden","secret_hidden",[],100,7,[],[],[],1,[],"","",4,"",1,"","","",1,4,""
4,"Puzzle","secret_puzzle",[],100,7,[],[],[],1,[],"","",1,"","","","","",1,4,1
5,"Payload","secret_payload",[],100,7,[],[],[],1,[],"","",1,"","","","","",1,4,1
6,"BossFriend1","secret_earlyboss",[7],0,3,[0],[],[],1,[],"","",1,"","","","Boss Friend1","",1,4,""
7,"BossFriend2","",[],0,7,[0],[],[],1,[],"","",1,"","","","Boss Friend2","",1,4,""
8,"Lieutenants1","boss_lieutenants",[9],100,3,[2],[6],[4],3,[],1,"",1,1,"","","Lieutenants1","",1,4,""
9,"Lieutenants2","",[],0,7,[3],[7],[5],3,[],1,"",1,"","",1,"Lieutenants2","",1,4,""
10,"GargoylesNormal1","boss_gargoyles",[11],100,3,[88],[89],[90],3,[],1,"",1,1,"","","Gargoyles1","",1,1,""
11,"GargoylesNormal2","",[],0,7,[91],[92],[93],3,[],1,"",1,"","",1,"Gargoyles2","",1,1,""
12,"GargoylesCruel1","boss_gargoyles",[13],100,3,[94],[95],[96],3,[],1,"",1,1,"","","Gargoyles1","",2,2,""
13,"GargoylesCruel2","",[],0,7,[97],[98],[99],3,[],1,"",1,"","",1,"Gargoyles2","",2,2,""
14,"GargoylesMerciless1","boss_gargoyles",[15],100,3,[100],[101],[102],3,[],1,"",1,1,"","","Gargoyles1","",3,3,""
15,"GargoylesMerciless2","",[],0,7,[103],[104],[105],3,[],1,"",1,"","",1,"Gargoyles2","",3,3,""
16,"GargoylesEndgame1","boss_gargoyles",[17],100,3,[106],[107],[108],3,[],1,"",1,1,"","","Gargoyles1","",4,4,""
17,"GargoylesEndgame2","",[],0,7,[109],[110],[111],3,[],1,"",1,"","",1,"Gargoyles2","",4,4,""
18,"PowerSymbols1","boss_power",[19],0,3,[8],[11],[9],4,[10],1,"",1,"","","","Power Symbols1","",1,4,""
19,"PowerSymbols2","",[],0,7,[12],[15],[13],4,[14],1,"",1,"","","","Power Symbols2","",1,4,""
20,"ToggleStatuesNormal1","boss_statues",[21],100,3,[16],[17],[18],3,[],1,"",1,"","","","Toggle Statues1","",1,1,""
21,"ToggleStatuesNormal2","",[],0,7,[19],[20],[21],3,[],1,"",1,"","","","Toggle Statues2","",1,1,""
22,"ToggleStatuesCruel1","boss_statues",[23],100,3,[22],[23],[24],3,[],1,"",1,"","","","Toggle Statues1","",2,2,""
23,"ToggleStatuesCruel2","",[],0,7,[25],[26],[27],3,[],1,"",1,"","","","Toggle Statues2","",2,2,""
24,"ToggleStatuesMerciless1","boss_statues",[25],100,3,[28],[29],[30],3,[],1,"",1,"","","","Toggle Statues1","",3,3,""
25,"ToggleStatuesMerciless2","",[],0,7,[31],[32],[33],3,[],1,"",1,"","","","Toggle Statues2","",3,3,""
26,"ToggleStatuesEndgame1","boss_statues",[27],100,3,[34],[35],[36],3,[],1,"",1,"","","","Toggle Statues1","",4,4,""
27,"ToggleStatuesEndgame2","",[],0,7,[37],[38],[39],3,[],1,"",1,"","","","Toggle Statues2","",4,4,""
28,"PowerPylonsCruel1","boss_pylons",[29],100,3,[40],[41],[42],3,[],1,"",1,"","","","Power Pylons1","",2,2,""
29,"PowerPylonsCruel2","",[],0,7,[43],[44],[45],3,[],1,"",1,"","","","Power Pylons2","",2,2,""
30,"PowerPylonsMerciless1","boss_pylons",[31],100,3,[46],[47],[48],3,[],1,"",1,"","","","Power Pylons1","",3,3,""
31,"PowerPylonsMerciless2","",[],0,7,[49],[50],[51],3,[],1,"",1,"","","","Power Pylons2","",3,3,""
32,"PowerPylonsEndgame1","boss_pylons",[33],100,3,[52],[53],[54],3,[],1,"",1,"","","","Power Pylons1","",4,4,""
33,"PowerPylonsEndgame2","",[],0,7,[55],[56],[57],3,[],1,"",1,"","","","Power Pylons2","",4,4,""
34,"ElementalNormal1","boss_elemental",[35],0,3,[58],[59],[60],3,[],1,"",1,1,"","","Elemental1","",1,1,""
35,"ElementalNormal2","",[],0,7,[61],[62],[63],3,[],1,"",1,"","",1,"Elemental2","",1,1,""
36,"ElementalCruel1","boss_elemental",[37],100,3,[64],[65],[66],3,[],1,"",1,1,"","","Elemental1","",2,2,""
37,"ElementalCruel2","",[],0,7,[67],[68],[69],3,[],1,"",1,"","",1,"Elemental2","",2,2,""
38,"ElementalMerciless1","boss_elemental",[39],100,3,[70],[71],[72],3,[],1,"",1,1,"","","Elemental1","",3,3,""
39,"ElementalMerciless2","",[],0,7,[73],[74],[75],3,[],1,"",1,"","",1,"Elemental2","",3,3,""
40,"ElementalEndgame1","boss_elemental",[41],100,3,[76],[77],[78],3,[],1,"",1,1,"","","Elemental1","",4,4,""
