"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
0,"Attributes","Attributes","Attributs","Attribute","能力値","능력치","Atributos","Характеристики","Atributos","ค่าคุณสมบัติ","能力"
1,"Damage","Damage","Dégâts","Schaden","ダメージ","피해","Dano","Урон","Daño","ความเสียหาย","傷害"
2,"Ailments","Ailments","Altérations","Beeinträchtigungen","状態異常","상태 이상","Afecções","Состояния","Estados alterados","สถานะเจ็บป่วย","異常狀態"
3,"Skill Speed","Skill Speed","Vitesse d'Aptitude","Fertigkeitengeschwindigkeit","スキルスピード","스킬 속도","Velocidade de Habilidade","Скорость умения","Velocidad de habilidad","ความเร็วสกิล","技能速度"
4,"Critical Strikes","Critical Strike","Coup critique","Kritische Treffer","クリティカルストライク","치명타","Golpe Crítico","Критический удар","Golpe crítico","คริติคอล","暴擊"
5,"Accuracy","Accuracy","Précision","Treffgenauigkeit","命中力","정확도","Precisão","Меткость","Precisión","ความแม่นยำ","命中"
6,"Other Offensive Stats","Other Offensive Stats","Autres stats offensives","Andere offensive Werte","他の攻撃ステータス","기타 공격용 능력치","Outros Atributos Ofensivos","Прочие атакующие показатели","Otras estadísticas ofensivas","Stats จู่โจมอื่นๆ","其他攻擊力"
7,"Life","Life","Vie","Leben","ライフ","생명력","Vida","Здоровье","Vida","พลังชีวิต","生命"
8,"Mana","Mana","Mana","Mana","マナ","마나","Mana","Мана","Maná","มานา","魔力"
9,"Defences","Defences","Défenses","Verteidigung","防御力","방어력","Defesas","Защита","Defensas","ค่าป้องกัน","防禦"
10,"Resistances","Resistances","Résistances","Widerstände","耐性","저항","Resistências","Сопротивления","Resistencias","ค่าต้านทาน","抗性"
11,"Other Survivability Stats","Other Survivability Stats","Autres stats défensives","Andere Überlebenswerte","他の生存ステータス","기타 생존용 능력치","Outros Atributos de Sobrevivência","Прочие показатели выживаемости","Otras estadísticas de supervivencia","Stats ป้องกันอื่นๆ","其他生存值"
12,"Minions","Minions","Créatures","Kreaturen","ミニオン","소환수","Lacaios","Приспешники","Esbirros","มิเนียน","召喚物"
13,"Totems","Totems","Totems","Totems","トーテム","토템","Totens","Тотемы","Tótems","โทเทม","圖騰"
14,"Traps","Traps","Pièges","Fallen","トラップ","덫","Armadilhas","Ловушки","Trampas","กับดัก","陷阱"
15,"Mines","Mines","Mines","Minen","マイン","광산","Minas","Мины","Minas","ทุ่นระเบิด","地雷"
16,"Charges","Charges","Charges","Ladungen","チャージ","충전","Cargas","Заряды","Cargas","ชาร์จ","能量球"
17,"Flasks","Flasks","Flacons","Fläschchen","フラスコ","플라스크","Frascos","Флаконы","Frascos","ขวดยา","藥劑"
18,"Misc","Misc","Divers","Anderes","その他","기타","Outros","Разное","Misc.","อื่นๆ","其他"
19,"Ascendancy","Ascendancy","Ascendance","Aszendenz","アセンダンシー","전직","Ascensão","Восхождение","Ascendencia","คลาสเสริม","昇華"
