"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","[rid]","bool","[rid]","BinaryStats","[rid]","[rid]","bool","bool","bool","bool","bool","rid","[i32]","string","[rid]"
0,"ignited","You're on fire","","","Ignited",[8068],"",13,"","","",1,28,2,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[8068],[14541],"","","","","","",[],"",[]
1,"chilled","You are slowed","","","Chilled",[8404],1,13,"","","",1,1,3,"","",2,"",1,1,"",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[8404],[14542],"","",1,1,"","",[],"",[]
2,"frozen","Frozen solid","","","Frozen",[12423],1,13,"","","",1,28,4,"","",2,"",1,1,"",0,"","FreezeBuff","","","","",4,"","",0,[],"","",[],"",[],[],[12423],"[14543,1997]","","","",1,"","",[],"",[]
3,"shocked","You take up to 50% increased Damage","","","Shocked",[16496],"",13,"","","",1,2,5,"","",2,"",1,1,"",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[16496],[14544],"","",1,1,"","",[],"",[]
4,"sprinting","Increased movement velocity","",1,"Faster Run",[177],1,2,"","","","",28,7,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[],"",[]
5,"flask_effect_life","",1,"","Healing",[7689],1,5,"","","","",28,0,1,"",4,"",1,1,1,0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[7689],[],"","","","","","",[],"",[]
6,"grace_period","You can't be damaged","",1,"Grace Period","[140,860,1303,8155,2970,6820,6819]",1,2,"","","","",28,8,1,"",17,1,1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[140,860,1303,8155,2970,6820,6819]",[],"","","","","","",[],"",[]
7,"god_mode","You cannot be damaged","",1,"Invulnerability",[140],1,3,"","","","",28,9,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[140],[],"","","","","","",[],"",[]
8,"experience","Increased experience for 30 seconds","",1,"Increased Experience",[157],1,2,"","","","",28,10,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[157],[],"","","","","","",[],"",[]
9,"flask_effect_mana","",1,"","Regenerating Mana",[7690],1,5,"","","","",15,0,1,"",4,"",1,1,1,0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[7690],[],"","","","","","",[],"",[]
10,"poison","You take chaos damage","","","Poisoned",[8069],1,1,1,"","",1,28,11,"",1,2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],[8069],[14545],"",1,"","","","",[],"",[]
11,"blood_rage","Taking Physical Damage over time based on Life and Energy Shield, while increasing Attack Speed and Life Leech. Killing an enemy refreshes the buff duration and can grant a Frenzy Charge.","","","Blood Rage","[70,3089,2562,3055,1351,12784,3109]",1,2,"","","",1,28,13,1,"",1,"",1,1,"",0,"","BloodRageBuff","","","","",4,"","",0,[],"","",[],"",[454],[],"[70,3089,2562,3055,1351,12784,3109,454]",[],"","","","","","",[],"",[]
12,"righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[879,25,878,1901]",1,2,"","","",1,28,15,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[879,25,878,1901]",[],"","","","","","",[],"",[]
13,"righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1975],"",3,"","","","",28,19,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","",4,1,"",0,[],"","",[],"",[],[],[1975],[],"","","","","","",[],"",[]
14,"demon_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Unrighteous Fire","[879,25,878,1901]",1,2,"","","",1,28,26,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[879,25,878,1901]",[],"","","","","","",[],"",[]
15,"demon_righteous_fire_aura","You are taking burning damage from being near an enemy using Unrighteous Fire","","","Unrighteous Fire",[1975],"",3,"","","","",28,27,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[1975],[],"","","","","","",[],"",[]
16,"avatar_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[879,25,2529]",1,2,"","","",1,28,16,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[879,25,2529]",[],"","","","","","",[],"",[]
17,"avatar_righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1975],"",3,"","","","",28,21,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1975],[],"","","","","","",[],"",[]
18,"invisible_fire_aura","",1,"","","[4931,4931,4931]",1,3,"","","","",28,0,1,"",2,"",1,1,"",0,"","InvisibleFireAura","","","","",4,"","",0,[],"","",[],"",[],[],"[4931,4931,4931]",[],"","","","","","",[],"",[]
19,"invisible_fire_debuff","You are taking Burning Damage from a Creeping Agony","","","Creeping Agony",[1975],"",3,"","","","",28,32,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[1975],[],"","","","","","",[],"",[]
20,"invisible_holy_fire_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1975],"",3,"","","","",28,35,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[1975],[],"","","","","","",[],"",[]
21,"invisible_holy_fire_elder_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1975],"",3,"","","","",28,35,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[1975],[],"","","","","","",[],"",[]
22,"invisible_kitava_fire_debuff","You are taking Physical Damage over time from a Heretical Flare","","","Heretical Flare",[354],"",3,"","","","",28,37,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[354],[],"","","","","","",[],"",[]
23,"ion_beam_debuff","You are taking Lightning Damage from a Galvanic Flare","","","Galvanic Flare",[1979],"",3,"","","","",28,29,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[1979],[],"","","","","","",[],"",[]
