"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","IsDropDisabled"
0,7858,1164,120,79,"","g","Vaults of Atziri",""
1,8899,1142,171,149,"","Ç","Maelstrom of Chaos",""
2,8918,1199,175,153,"","Å","The Coward's Trial",""
3,8961,1216,177,159,"","Ô","Acton's Nightmare",""
4,8994,1184,207,191,"","ß","Poorjoy's Asylum",""
5,9011,1171,230,209,"","À","Mao Kun",""
6,9015,1221,234,213,"","#","Oba's Cursed Trove",""
7,9075,1154,237,216,"","$","Olmec's Sanctum",""
8,9076,1173,238,217,1,"","Untainted Paradise",""
9,9229,1223,324,303,"","¿","Death and Taxes",""
10,9396,1114,386,394,"","È","Whakawairua Tuahu",""
11,10137,1202,409,417,1,"Ù","Hall of Grandmasters",""
12,10138,1168,610,577,1,"²","The Vinktar Square",""
13,11455,1156,666,806,"","æ","Caer Blaidd, Wolfpack's Den",""
14,11524,1116,723,893,1,"™","The Perandus Manor",1
15,11841,1187,807,1049,"","Õ","The Putrid Cloister",""
16,11842,1144,809,1051,"","Ð","Hallowed Ground",""
17,12077,1253,959,1506,1,"","The Beachhead",""
18,12078,1254,959,1506,1,"","The Beachhead",""
19,12079,1255,959,1506,1,"","The Beachhead",""
20,12081,1176,961,1527,"","^","The Twilight Temple",""
21,12082,1126,965,1528,1,"‹","Doryani's Machinarium",""
22,12083,1152,969,1529,"","›","Pillars of Arun",""
23,12638,454,1189,2110,1,"","Altered Distant Memory",""
24,12639,455,1190,2111,1,"","Augmented Distant Memory",""
25,12640,456,1191,2112,1,"","Twisted Distant Memory",""
26,12641,457,1192,2113,1,"","Rewritten Distant Memory",""
27,12642,453,1193,2114,1,"","Cortex",""
28,12080,1256,1280,1506,1,"","Infused Beachhead",""
29,12643,453,1194,2114,1,"","Cortex",""
30,12084,1152,970,1529,1,"","Pillars of Arun",""
31,8995,1184,208,191,1,"","Poorjoy's Asylum",""
32,13312,1748,1408,1784,1,"","The Tower of Ordeals",""
