"rownum","Level","ExperienceBonus"
0,1,-60
1,2,-59
2,3,-58
3,4,-57
4,5,-56
5,6,-55
6,7,-54
7,8,-53
8,9,-52
9,10,-51
10,11,-50
11,12,-49
12,13,-48
13,14,-47
14,15,-46
15,16,-45
16,17,-44
17,18,-43
18,19,-42
19,20,-41
20,21,-40
21,22,-39
22,23,-38
23,24,-37
24,25,-36
25,26,-35
26,27,-34
27,28,-33
28,29,-32
29,30,-31
30,31,-30
31,32,-29
32,33,-28
33,34,-27
34,35,-26
35,36,-25
36,37,-24
37,38,-23
38,39,-22
39,40,-21
40,41,-20
41,42,-19
42,43,-18
43,44,-17
44,45,-16
45,46,-15
46,47,-14
47,48,-13
48,49,-12
49,50,-11
50,51,-10
51,52,-9
52,53,-8
53,54,-7
54,55,-6
55,56,-5
56,57,-4
57,58,-3
58,59,-2
59,60,-1
60,61,0
