"rownum","string","i32","i32","rid"
0,"storm_rain_ground_object",3,0,""
1,"earthshatter_spike",3,0,""
2,"earthshatter_spike",3,1,""
3,"earthshatter_spike",3,2,""
4,"earthshatter_spike_ancestral",3,0,11885
5,"earthshatter_spike_ancestral",3,1,11885
6,"earthshatter_spike_ancestral",3,2,11885
7,"flame_wall",3,0,""
8,"flame_wall",3,1,""
9,"flame_wall",3,2,""
10,"flame_wall",3,3,""
11,"toxic_rain_spore",3,0,""
12,"toxic_rain_spore",3,1,""
13,"toxic_rain_spore",3,2,""
14,"toxic_rain_spore",3,3,""
15,"toxic_rain_spore",3,4,""
16,"toxic_rain_spore",3,5,""
17,"toxic_rain_spore",3,6,""
18,"toxic_rain_spore",3,7,""
19,"hydrosphere_sphere",3,0,""
20,"hydrosphere_sphere",3,1,""
21,"ring_of_ice_statue",3,0,""
