"rownum","Id","Icon","IsGeneric","Weight"
0,"Cold","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold","",100
1,"LightningSkeletons","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning","",100
2,"Physical","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical","",100
3,"MinionSpiders","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion","",100
4,"FireDogs","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire","",100
5,"GenericZombies","",1,100
6,"GenericRhoas","",1,100
7,"GenericDemons","",1,100
8,"GenericBandits","",1,100
9,"GenericTemplars","",1,100
10,"GenericGoatman","",1,100
11,"GenericSkeletons","",1,100
12,"GenericMonkeys","",1,100
13,"GenericUndying","",1,100
14,"GenericSeawitches","",1,100
15,"GenericBlackguard","",1,100
16,"GenericSnakes","",1,100
17,"GenericKitavaDemons","",1,100
18,"GenericCannibals","",1,100
19,"GenericGladiators","",1,100
20,"GenericCrabs","",1,100
