"rownum","i32","i32"
0,1,140
1,2,140
2,3,140
3,4,140
4,5,140
5,6,140
6,7,140
7,8,140
8,9,140
9,10,140
10,11,140
11,12,140
12,13,140
13,14,140
14,15,140
15,16,140
16,17,140
17,18,140
18,19,140
19,20,140
20,21,140
21,22,140
22,23,140
23,24,140
24,25,140
25,26,140
26,27,140
27,28,140
28,29,140
29,30,140
30,31,140
31,32,140
32,33,140
33,34,140
34,35,140
35,36,140
36,37,140
37,38,140
38,39,140
39,40,140
40,41,140
41,42,140
42,43,140
43,44,140
44,45,140
45,46,140
46,47,140
47,48,140
48,49,140
49,50,140
50,51,140
51,52,140
52,53,140
53,54,140
54,55,140
55,56,140
56,57,140
57,58,140
58,59,140
59,60,140
60,61,140
61,62,140
62,63,140
63,64,140
64,65,140
65,66,140
66,67,140
67,68,140
68,69,149
69,70,158
70,71,167
71,72,176
72,73,185
73,74,194
74,75,203
75,76,212
76,77,221
77,78,230
78,79,239
79,80,248
80,81,257
81,82,266
82,83,275
83,84,275
84,85,275
85,86,275
86,87,275
87,88,275
88,89,275
89,90,275
90,91,275
91,92,275
92,93,275
93,94,275
94,95,275
95,96,275
96,97,275
97,98,275
98,99,275
99,100,275
