"rownum","ActiveSkill","i32","MiscAnimated","MeleeTrailsKey1","MeleeTrailsKey2","MeleeTrailsKey3","MeleeTrailsKey4","MeleeTrailsKey5","MeleeTrailsKey6","MeleeTrailsKey7","bool","SurgeEffect_EPKFile","string","string"
0,65,0,"","","","","","","","",1,"","",""
1,65,1,"",10,11,12,13,16,14,15,"","","",""
2,65,2,2342,"","","","","","","",1,"","",""
3,65,3,"","","",12,13,"","","",1,"","",""
4,65,4,"",42,43,"","","","","","","","",""
5,65,5,"",44,45,"","","","","",1,"","",""
6,65,6,"",108,108,109,109,110,110,111,1,"","",""
7,65,7,"",112,112,112,112,112,112,112,1,"","",""
8,65,8,"",114,113,114,113,"","","",1,"","",""
9,65,9,"","","",123,123,124,"","",1,"","",""
10,65,10,"","","",125,125,"","","",1,"","",""
11,65,11,"","","","","",126,"","",1,"","",""
12,65,12,"","","","","",127,"","",1,"","",""
13,65,13,"","","",128,"","","","",1,"","",""
14,65,14,"","","","","","",66,"",1,"","",""
15,29,0,"",30,29,32,31,35,33,34,1,"","",""
16,29,1,"",142,141,144,143,147,145,146,1,"","",""
17,19,0,"",24,"",25,"",28,26,27,1,"","",""
18,19,1,"",0,"",1,"",4,2,3,1,"","",""
19,20,0,"",24,"",25,"",28,26,27,1,"","",""
20,20,1,"",0,"",1,"",4,2,3,1,"","",""
21,121,0,"",36,36,37,38,41,39,40,1,"","",""
22,38,0,"",10,11,12,13,16,14,15,"","","",""
23,38,1,"",10,11,12,13,16,14,15,"","","",""
24,38,2,"",10,11,12,13,16,14,15,"","","",""
25,38,3,"",10,11,12,13,16,14,15,"","","",""
26,38,4,"",10,11,12,13,16,14,15,"","","",""
27,39,0,"",10,11,12,13,16,14,15,1,"","",""
28,82,0,"",49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
29,83,0,"",77,76,71,70,75,72,73,"","","",""
30,89,0,"",103,103,104,104,105,105,105,"","","",""
31,462,0,"",63,62,65,64,69,66,67,"","Metadata/Effects/Spells/fortify/surge/fortify_surge.epk","",""
32,466,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","",""
33,486,0,"",10,11,12,13,16,14,15,"","","",""
34,232,0,"",10,11,12,13,16,14,15,"","","",""
35,232,1,"",10,11,12,13,16,14,15,"","","",""
36,325,0,365,49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
37,325,1,"",10,11,12,13,16,14,15,"","","",""
38,325,2,"",10,11,12,13,16,14,15,"","","",""
39,325,3,1873,10,11,12,13,16,14,15,"","","",""
40,325,4,"",10,11,12,13,16,14,15,1,"","",""
41,325,5,4264,10,11,12,13,16,14,15,1,"Metadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk","",""
42,325,6,"",10,11,12,13,16,14,15,"","","",""
43,325,7,"",10,11,12,13,16,14,15,"","","",""
44,1102,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","",""
45,1102,1,"",6,5,8,7,9,9,9,1,"","",""
46,1102,3,"",169,170,171,172,173,173,173,1,"","",""
47,233,0,"",10,11,12,13,16,14,15,"","","",""
48,123,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/holy_phys_weapon_surge.epk","",""
49,123,1,"",129,129,130,130,133,131,132,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/holy_celestial_weapon_surge.epk","",""
50,149,0,"",10,11,12,13,16,14,15,"","","",""
51,1218,0,"",46,47,46,47,46,46,47,1,"","",""
52,443,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","",""
53,443,1,"",122,121,116,115,120,117,118,"","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_surge_automaton.epk","",""
54,1001,0,"",56,55,58,57,59,60,61,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
55,1101,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/holy_fire_weapon_surge.epk","",""
56,1101,2,"",139,138,137,136,140,134,135,"","","",""
57,1229,0,"","","","","","","","",1,"","",""
58,1234,0,"",10,11,12,13,16,14,15,"","","",""
59,1234,1,"",10,11,12,13,16,14,15,"","","",""
60,1234,2,"",10,11,12,13,16,14,15,"","","",""
61,1234,3,"",10,11,12,13,16,14,15,"","","",""
62,1234,4,"",10,11,12,13,16,14,15,"","","",""
63,71,0,"",94,93,96,95,"","","","","","",""
64,71,1,"",166,165,168,167,"","","",1,"","",""
65,1235,0,"",10,11,12,13,16,14,15,"","","",""
66,26,0,"",97,"",98,"","","","",1,"","",""
67,26,1,"",97,"",98,"","","","",1,"","",""
68,26,2,"",155,"",156,"","","","",1,"Metadata/Effects/Microtransactions/Spells/nightfall_dualstrike/weapon_surge.epk","",""
69,16,0,"","","","","","","","",1,"","",""
70,16,25,"",99,99,100,100,101,102,102,1,"","",""
71,1243,0,"",106,106,107,107,107,107,107,"","","",""
72,1244,0,"","","","","","","","","","","",""
73,473,0,"","","","","","","","","","","",""
74,18,0,"","","","","","","","","","","",""
75,136,0,"","","","","","","","",1,"Metadata/Effects/Spells/lightning_strike_02/weaponsurge.epk","",""
76,136,1,"","","","","","","","",1,"Metadata/Effects/Spells/lightning_strike_02/weaponsurge.epk","",""
77,136,2,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/MyrmidonLightningStrike/weaponsurge.epk","",""
78,136,3,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/VulcanLightningStrike/weaponsurge.epk","",""
79,136,4,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/lightning_strike_02/void_emperor/epk/weaponsurge.epk","",""
80,136,5,"","","","","","","","",1,"Metadata/Effects/Microtransactions/Spells/lightning_strike_02/Sawblade/epk/vaal_weaponsurge.epk","",""
81,1007,1,"","","","","",127,"","",1,"","",""
82,1364,0,"",160,160,157,157,158,158,159,1,"Metadata/Effects/Spells/trauma_strike/weapon_buildup.epk","",""
83,1364,1,"",129,129,130,130,133,131,132,1,"Metadata/Effects/Microtransactions/Spells/trauma_strike/celestial/weapon_buildup.epk","",""
84,82,1,"",148,149,150,151,152,153,154,"","Metadata/Effects/Microtransactions/Spells/StygianInfernalBlow/fire_surge.epk","",""
85,1403,0,"","","","","","","","","","","",""
86,1404,0,"",49,48,51,50,52,53,54,1,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
87,326,0,365,49,48,51,50,52,53,54,1,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
88,326,3,1873,10,11,12,13,16,14,15,"","","",""
89,326,5,4264,10,11,12,13,16,14,15,1,"Metadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk","",""
90,1405,0,"",49,48,51,50,52,53,54,1,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
91,1245,0,"","","","","","","","","","","",""
92,1103,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","",""
93,1418,0,"","","","","","","","","","","",""
