"rownum","Id","bool","bool","Message","string","i32","bool","bool"
0,"FriendRequest",1,1,"Friend Request","",1,"",""
1,"FriendNowOnline","",1,"Friend Now Online","",1,"",""
2,"FriendNowOffline","",1,"Friend Now Offline","",1,"",""
3,"FriendAreaChanged","","","Friend Area Changed","",1,"",""
4,"FriendLevelChanged","","","Friend Level Changed","",1,"",""
5,"FriendStatusMessageChanged",1,1,"Friend Status Changed","",1,"",""
6,"PartyInvite",1,1,"Party Invite","",1,"",""
7,"PartyJoined","",1,"Party Joined","",257,"",""
8,"PartyLeft","",1,"Party Left","",257,"",""
9,"PartyMemberInvited","",1,"Party Member Invited","",1,"",""
10,"PartyMemberJoined","",1,"Party Member Joined","",257,"",""
11,"PartyMemberLeft","",1,"Party Member Left","",257,"",""
12,"PartyMemberPromotedToLeader","",1,"Party Member Promoted","",1,"",""
13,"PartyMemberNowOnline","",1,"Party Member Now Online","",1,"",""
14,"PartyMemberNowOffline","",1,"Party Member Now Offline","",1,"",""
15,"GuildInvite",1,1,"Guild Invite","",257,"",""
16,"GuildJoined","",1,"Guild Joined","",257,"",""
17,"GuildLeft","",1,"Guild Left","",257,"",""
18,"GuildRankChanged","",1,"Guild Rank Changed","",257,"",""
19,"GuildMemberInvited",1,1,"Guild Member Invited","",257,"",""
20,"GuildMemberJoined",1,1,"Guild Member Joined","",257,"",""
21,"GuildMemberLeft",1,1,"Guild Member Left","",257,"",""
22,"GuildMemberRankChanged",1,1,"Guild Member Rank Changed","",257,"",""
23,"GiftReceived",1,1,"Gift Received","",1,"",""
24,"TradeRequest",1,1,"Trade Request","",257,"",""
25,"PlayerJoinedMyHideout","",1,"Player Joined Your Hideout","",257,"",""
26,"JoinHideoutInvitation",1,1,"Join Hideout Invitation","",257,"",""
27,"AchievementComplete","",1,"Achievement Complete","",257,"",""
28,"AchievementItemComplete","",1,"Achievement Item Complete","Displays notification when part of an achievement is completed",257,"",""
29,"AchievementItemFailed","",1,"Tracked Achievement Item Failed","",257,"",""
30,"PVPDuelChallenge",1,1,"PvP Duel Challenge","",1,"",""
31,"PVPEvent",1,1,"PvP Event","",1,"",""
32,"LeagueEvent",1,1,"League Event","",257,"",""
33,"MarketNotifications",1,1,"Market Notifications","Displays notification when you receive offers, when they are accepted or when they are rejected.",257,"",""
34,"BestiaryRecipeNotification",1,1,"Bestiary Recipe","",257,"",""
35,"RewardNotifications",1,1,"Reward Notifications","Displays challenge reward notifications.",257,"",""
36,"LeagueInGame",1,"","Harvest In-game Notifications","Displays Harvest related in-game notifications",1,"",""
37,"ConsoleServerMessages","",1,"Server Messages","Show server messages as popups as well as in the chatbox",131329,"",""
38,"ConsolePlayerLevelUp","",1,"Level Up","",131329,"",""
39,"ConsoleGemLevelUp","",1,"Skill Gem Level Up","",131329,"",""
40,"ConsoleGemReadyToLevelUp","",1,"Skill Gem Ready to Level Up","",131329,"",""
