"rownum","IntId","StringId","[i32]","[f32]","[rid]","i32","i32","bool"
0,0,"Default","[25,30,35,40]","[0,0.2,0.2,0.2]","[2016,2017,2018,2019]",3,0,""
1,1,"Powerball1","[20,26,32]","[0,0.5,0.5]","[2864,2865,2866]",4,0,""
2,2,"Powerball2","[20,26,32,38]","[0,0.33,0.33,0.33]","[2864,2865,2866,2867]",4,0,""
3,3,"Powerball3","[20,26,32,38,44]","[0,0.25,0.25,0.25,0.25]","[2864,2865,2866,2867,2868]",4,0,""
4,4,"Powerball4","[20,26,32,38,44,50]","[0,0.2,0.2,0.2,0.2,0.2]","[2864,2865,2866,2867,2868,2869]",4,0,""
5,5,"Powerball5","[20,26,32,38,44,50,56]","[0,0.17,0.17,0.17,0.17,0.16,0.16]","[2864,2865,2866,2867,2868,2869,2870]",4,0,""
6,6,"Powerball6","[20,26,32,38,44,50,56,62]","[0,0.14,0.14,0.14,0.14,0.14,0.15,0.15]","[2864,2865,2866,2867,2868,2869,2870,2871]",4,0,""
7,7,"Powerball7","[20,26,32,38,44,50,56,62,68]","[0,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13]","[2864,2865,2866,2867,2868,2869,2870,2871,2872]",4,0,""
8,8,"Powerball8","[20,26,32,38,44,50,56,62,68,74]","[0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11]","[2864,2865,2866,2867,2868,2869,2870,2871,2872,2873]",4,0,""
9,9,"ViperNaputzi","[40,33,26,19,0]","[0,0.6,0.6,3]","[3130,3131,3132,3133]",4,0,1
10,10,"MetamorphShockNova","[10,15,20,25,30,35,40]","[0,0.2,0.2,0.2,0.2,0.2]","[3174,3174,3174,3174,3174,3174]",2,0,1
11,11,"AfflictionExplosion1","[9,18,28]","[0,0.25,0.25]","[3766,3767,3768]",4,0,""
12,12,"AfflictionExplosion2","[9,18,28,37]","[0,0.25,0.25,0.25]","[3766,3767,3768,3769]",4,0,""
13,13,"AfflictionExplosion3","[9,18,28,37,46]","[0,0.25,0.25,0.25,0.25]","[3766,3767,3768,3769,3770]",4,0,""
14,14,"AfflictionExplosion4","[9,18,28,37,46,55]","[0,0.25,0.25,0.25,0.25,0.25]","[3766,3767,3768,3769,3770,3771]",4,0,""
15,15,"AfflictionExplosion5","[9,18,28,37,46,55,64]","[0,0.25,0.25,0.25,0.25,0.25,0.25]","[3766,3767,3768,3769,3770,3771,3772]",4,0,""
16,16,"AfflictionExplosion6","[9,18,28,37,46,55,64,74]","[0,0.25,0.25,0.25,0.25,0.25,0.25,0.25]","[3766,3767,3768,3769,3770,3771,3772,3773]",4,0,""
17,17,"AfflictionExplosion7","[9,18,28,37,46,55,64,74,83]","[0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]","[3766,3767,3768,3769,3770,3771,3772,3773,3774]",4,0,""
18,18,"AfflictionExplosion8","[9,18,28,37,46,55,64,74,83,92]","[0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]","[3766,3767,3768,3769,3770,3771,3772,3773,3774,3775]",4,0,""
