"rownum","BaseItemTypesKey","AddedModsKeys","NegativeWeight_TagsKeys","NegativeWeight_Values","ForcedAddModsKeys","ForbiddenDelveCraftingTagsKeys","AllowedDelveCraftingTagsKeys","CanMirrorItem","CorruptedEssenceChance","CanImproveQuality","CanRollEnchant","HasLuckyRolls","SellPrice_ModsKeys","CanRollWhiteSockets","Weight_TagsKeys","Weight_Values","DelveCraftingModifierDescriptionsKeys","BlockedDelveCraftingModifierDescriptionsKeys","bool","bool","[i32]","[i32]"
0,242,[],[310],[0],[],[],[],"",0,"","","",[],"",[309],[1000],"[11,29]","[12,57]","","",[200],[0]
1,243,[],[309],[0],[],[],[],"",0,"","","",[],"",[310],[1000],"[12,28]","[11,51]","","",[200],[0]
2,244,[],[313],[0],[],[],[],"",0,"","","",[],"",[311],[1000],"[13,27]","[10,45]","","",[200],[0]
3,245,[],[312],[0],[],[],[],"",0,"","","",[],"",[313],[1000],"[10,31]","[14,58]","","",[200],[0]
4,246,[],[311],[0],[],[],[],"",0,"","","",[],"",[312],[1000],"[14,30]","[13,48]","","",[200],[0]
5,247,[],[317],[0],[],[],[],"",0,"","","",[],"",[316],[1000],"[17,33]","[18,53]","","",[200],[0]
6,248,[],[316],[0],[],[],[],"",0,"","","",[],"",[317],[1000],"[18,32]","[17,49]","","",[200],[0]
7,249,[],[318],[0],[],[],[],"",0,"","","",[],"","[315,314]","[1000,1000]","[16,34]","[15,52]","","","[200,200]",[0]
8,250,[],"[315,314]","[0,0]",[],[],[],"",0,"","","",[],"",[318],[600],"[15,35]","[16,63]","","",[150],"[0,0]"
9,251,[],[319],[15],[],[],[],"",0,"","","",[],"",[34],[1000],"[19,26]",[25],"","",[200],[15]
10,252,[],[34],[15],[],[],[],"",0,"","","",[],"",[319],[1000],"[20,25]",[26],"","",[200],[15]
11,253,[],[324],[0],[],[],[],"",0,"","","",[],"",[323],[1000],"[21,37]","[22,43]","","",[200],[0]
12,254,[],[323],[0],[],[],[],"",0,"","","",[],"",[324],[1000],"[22,36]","[21,47]","","",[200],[0]
13,255,[],[],[],[],[],[],"",0,"","","",[],"","[320,321,640]","[1000,1000,1000]",[23],[],"","","[200,200,200]",[]
14,256,[],[],[],[],[],"[0,2,5,6,4,3,7]","",0,1,"","",[],"",[],[],[9],[],"","",[],[]
15,257,[],[634],[0],[],[],[],"",0,"","","",[],"",[625],[1000],"[39,42]","[41,61]","","",[200],[0]
16,258,[],[625],[0],[],[],[],"",0,"","","",[],"",[634],[1000],"[41,40]","[39,56]","","",[200],[0]
17,259,"[16234,16235,16236]",[],[],[],[],[],"",0,"","","",[],"",[27],[1000],[24],[],"","",[200],[]
18,260,[],[],[],[],"[13,14,15]",[],"",0,"","","",[],"",[],[],[38],[],1,"",[],[]
19,261,[],[],[],[16237],[],"[0,4,6,5,2]","",0,"","","",[],"",[],[],[5],[],"","",[],[]
20,262,[],[],[],[],[],[],1,0,"","","",[],"",[],[],[4],[],"","",[],[]
21,263,[],[],[],[],[],"[0,2,5,6,4,3,8,9,10,11]","",100,"","","",[],"",[],[],[3],[],"","",[],[]
22,264,"[16234,16235,16236,16238,16239,16240,16242,16243,16244,16241,16237]",[],[],[],[],[],"",10,"","","",[],"",[],[],[2],[],"",1,[],[]
23,265,[],[],[],[],[],[],"",0,"","",1,[],"",[],[],[1],[],"","",[],[]
24,266,[],[],[],[],[],[],"",0,"","","","[15881,15882,15883,15884,15885,15886,15887,15888,15889]","",[],[],[0],[],"","",[],[]
25,9842,[],[633],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,64]","[44,73]","","",[1000],[0]
26,9843,[],[313],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,27]","[45,10]","","",[1000],[0]
27,9844,[],[320],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,65]","[46,74]","","",[1000],[0]
28,9845,[],[323],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,36]","[47,21]","","",[1000],[0]
29,9846,[],[311],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,30]","[48,13]","","",[1000],[0]
30,9847,[],[316],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,32]","[49,17]","","",[1000],[0]
31,9848,[],[27],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,66]","[50,75]","","",[1000],[0]
32,9849,[],[309],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,28]","[51,11]","","",[1000],[0]
33,9850,[],[318],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,34]","[52,15]","","",[1000],[0]
34,9851,[],[317],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,33]","[53,18]","","",[1000],[0]
35,9852,[],[632],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,67]","[54,76]","","",[1000],[0]
36,9853,[],[640],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,68]","[55,77]","","",[1000],[0]
37,9854,[],[625],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,40]","[56,39]","","",[1000],[0]
38,9855,[],[310],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,29]","[57,12]","","",[1000],[0]
39,9856,[],[312],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,31]","[58,14]","","",[1000],[0]
40,9857,[],[34],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,69]","[59,19,25]","","",[1000],[0]
41,9858,[],[321],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,70]","[60,78]","","",[1000],[0]
42,9859,[],[634],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,42]","[61,41]","","",[1000],[0]
43,9860,[],[319],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,71]","[62,20,26]","","",[1000],[0]
44,9861,[],[636],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,72]","[63,79,16]","","",[1000],[0]
45,9862,[],[324],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,37]","[43,22]","","",[1000],[0]
46,9863,[],[313],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,27]","[45,10]","","",[1000],[0]
47,9864,[],[320],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,65]","[46,74]","","",[1000],[0]
48,9865,[],[323],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,36]","[47,21]","","",[1000],[0]
49,9866,[],[311],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,30]","[48,13]","","",[1000],[0]
50,9867,[],[316],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,32]","[49,17]","","",[1000],[0]
51,9868,[],[27],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,66]","[50,75]","","",[1000],[0]
52,9869,[],[309],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,28]","[51,11]","","",[1000],[0]
53,9870,[],[318],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,34]","[52,15]","","",[1000],[0]
54,9871,[],[317],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,33]","[53,18]","","",[1000],[0]
55,9872,[],[632],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,67]","[54,76]","","",[1000],[0]
56,9873,[],[640],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,68]","[55,77]","","",[1000],[0]
57,9874,[],[625],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,40]","[56,39]","","",[1000],[0]
58,9875,[],[310],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,29]","[57,12]","","",[1000],[0]
59,9876,[],[312],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,31]","[58,14]","","",[1000],[0]
60,9877,[],[34],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,69]","[59,19,25]","","",[1000],[0]
61,9878,[],[321],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,70]","[60,78]","","",[1000],[0]
62,9879,[],[634],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,42]","[61,41]","","",[1000],[0]
63,9880,[],[319],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,71]","[62,20,26]","","",[1000],[0]
64,9881,[],[636],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,72]","[63,79,16]","","",[1000],[0]
65,9882,[],[324],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,37]","[43,22]","","",[1000],[0]
66,9883,[],[633],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,64]","[44,73]","","",[1000],[0]
67,9884,[],[320],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,65]","[46,74]","","",[1000],[0]
68,9885,[],[323],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,36]","[47,21]","","",[1000],[0]
69,9886,[],[311],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,30]","[48,13]","","",[1000],[0]
70,9887,[],[316],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,32]","[49,17]","","",[1000],[0]
71,9888,[],[27],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,66]","[50,75]","","",[1000],[0]
72,9889,[],[309],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,28]","[51,11]","","",[1000],[0]
73,9890,[],[318],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,34]","[52,15]","","",[1000],[0]
74,9891,[],[317],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,33]","[53,18]","","",[1000],[0]
75,9892,[],[632],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,67]","[54,76]","","",[1000],[0]
76,9893,[],[640],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,68]","[55,77]","","",[1000],[0]
77,9894,[],[625],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,40]","[56,39]","","",[1000],[0]
78,9895,[],[310],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,29]","[57,12]","","",[1000],[0]
79,9896,[],[312],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,31]","[58,14]","","",[1000],[0]
80,9897,[],[34],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,69]","[59,19,25]","","",[1000],[0]
81,9898,[],[321],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,70]","[60,78]","","",[1000],[0]
82,9899,[],[634],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,42]","[61,41]","","",[1000],[0]
83,9900,[],[319],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,71]","[62,20,26]","","",[1000],[0]
84,9901,[],[636],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,72]","[63,79,16]","","",[1000],[0]
85,9902,[],[324],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,37]","[43,22]","","",[1000],[0]
86,9903,[],[633],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,64]","[44,73]","","",[1000],[0]
87,9904,[],[313],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,27]","[45,10]","","",[1000],[0]
88,9905,[],[323],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,36]","[47,21]","","",[1000],[0]
89,9906,[],[311],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,30]","[48,13]","","",[1000],[0]
90,9907,[],[316],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,32]","[49,17]","","",[1000],[0]
91,9908,[],[27],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,66]","[50,75]","","",[1000],[0]
92,9909,[],[309],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,28]","[51,11]","","",[1000],[0]
93,9910,[],[318],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,34]","[52,15]","","",[1000],[0]
94,9911,[],[317],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,33]","[53,18]","","",[1000],[0]
95,9912,[],[632],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,67]","[54,76]","","",[1000],[0]
96,9913,[],[640],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,68]","[55,77]","","",[1000],[0]
97,9914,[],[625],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,40]","[56,39]","","",[1000],[0]
98,9915,[],[310],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,29]","[57,12]","","",[1000],[0]
99,9916,[],[312],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,31]","[58,14]","","",[1000],[0]
100,9917,[],[34],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,69]","[59,19,25]","","",[1000],[0]
