"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool","bool","i32","i32","i32","i32","bool","bool","i32","bool","bool","i32"
0,6585,1944,1946,1,1,60,1,20,120,"",1,0,1,"",0
1,6584,2181,2181,1,1,60,1,20,120,1,1,0,1,"",0
2,6902,2611,2611,1,1,60,1,20,120,"","",0,1,"",0
3,6903,2611,2611,1,1,60,1,20,120,"",1,0,1,"",0
4,6904,2611,2611,1,1,60,1,20,120,"",1,0,1,"",0
5,4984,1076,1076,1,1,60,1,20,120,"","",0,1,"",0
6,7668,3455,3455,1,1,60,0,20,120,"","",0,1,"",0
7,7876,3724,3724,1,1,60,1,20,120,"",1,0,1,"",0
8,7877,3724,3724,1,1,60,1,20,120,"",1,0,1,"",0
9,7880,3724,3724,1,1,105,1,40,120,1,1,0,1,"",0
10,7881,3724,3724,1,1,80,1,20,120,1,1,0,1,"",0
11,8243,4390,4390,1,"",30,1,15,120,"",1,30,"","",0
12,8244,4390,4390,1,"",30,1,15,120,"",1,30,"","",0
13,8245,4390,4390,1,"",30,1,15,120,"",1,30,"","",0
14,8247,4390,4390,1,"",30,1,15,120,"",1,30,"","",0
15,8248,4390,4390,1,"",30,1,15,120,"",1,30,"","",0
16,8249,4390,4390,1,"",30,1,15,120,"",1,30,"","",0
17,8250,4390,4390,1,"",30,1,15,120,"",1,30,"","",0
18,8251,4390,4390,1,"",30,1,15,120,"",1,30,"","",0
19,8252,4390,4390,1,"",30,1,15,120,"",1,30,"","",0
20,8254,4390,4390,1,"",30,1,15,120,"",1,30,"","",0
21,8256,4390,4390,1,"",30,1,15,120,"",1,30,"","",0
22,8257,4390,4390,1,"",30,1,15,120,"",1,30,"","",0
23,8729,4390,4390,1,1,0,1,5,60,"","",0,"","",0
24,9017,4390,4390,1,"",105,1,20,75,"",1,0,"",1,0
25,9018,4390,4390,1,"",105,1,24,75,"",1,0,"",1,0
26,9019,4390,4390,1,"",105,1,15,75,"",1,0,"",1,0
27,7669,3455,3455,1,1,60,0,20,120,1,1,0,1,"",0
28,8246,4390,4390,1,1,60,1,20,120,"",1,0,"","",0
