"rownum","Id","EssenceType","IsCorruptedEssence","WordsKey"
0,"Hatred",1,"",2671
1,"Woe",1,"",2672
2,"Greed",1,"",2673
3,"Contempt",1,"",2674
4,"Sorrow",2,"",2675
5,"Anger",2,"",2676
6,"Torment",2,"",2677
7,"Fear",2,"",2678
8,"Suffering",3,"",2679
9,"Rage",3,"",2681
10,"Wrath",3,"",2680
11,"Doubt",3,"",2682
12,"Anguish",4,"",2683
13,"Loathing",4,"",2684
14,"Spite",4,"",2686
15,"Zeal",4,"",2685
16,"Misery",5,"",2687
17,"Dread",5,"",2688
18,"Scorn",5,"",2689
19,"Envy",5,"",2690
20,"Hysteria",6,1,2691
21,"Insanity",6,1,2692
22,"Horror",6,1,2693
23,"Delirium",6,1,2694
24,"NotEssence",0,"",2695
