"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool","IsVirtual","MainHandAlias_StatsKey","OffHandAlias_StatsKey","bool","HASH32","BelongsActiveSkillsKey","Category","bool","bool","IsScalable","ContextFlags","[rid]"
0,"level",1,"","",3,"Level","Niveau","Stufe","レベル","레벨","Nível","Уровень","Nivel","เลเวล","等級",1,"","","",1,1043633784,[],18,1,"",1,[],[]
1,"item_drop_slots",1,"","",3,"Item Drop Slots","Emplacements d'objets cédés","Gegenstand-Plätze","アイテムドロップスロット","아이템 장착 홈","Espaços de Itens Derrubados","Количество выпадающих вещей","Espacios para objetos","ช่องทิ้งไอเทม","物品掉落槽","","","","","",-1300918419,[],"","","",1,[],[]
2,"main_hand_weapon_type",1,"","",3,"Main Hand Weapon Type","Type d'arme en main principale","Haupthand: Waffentyp","メインハンド武器タイプ","주 무기 유형","Arma Tipo Mão Principal","Тип оружия в правой руке","Tipo de arma de la mano principal","ชนิดอาวุธมือหลัก","主手武器種類",1,"","","",1,356082681,[],"",1,"",1,[],[]
3,"off_hand_weapon_type",1,"","",3,"Off Hand Weapon Type","Type d'arme en main secondaire","Nebenhand: Waffentyp","オフハンド武器タイプ","보조 무기 유형","Arma Tipo Mão Secundária","Тип оружия в левой руке","Tipo de arma de la mano secundaria","ชนิดอาวุธมือรอง","副手武器種類",1,"","","",1,501678916,[],"",1,"",1,[],[]
4,"current_endurance_charges",1,"","",3,"Endurance Charges","Charges d'endurance","Widerstands-Ladungen","エンデュランスチャージ","인내 충전","Cargas de Tolerância","Заряды выносливости","Cargas de aguante","Endurance Charge","耐力球",1,"","","",1,-2122390594,[],"","","",1,[],[]
5,"current_frenzy_charges",1,"","",3,"Frenzy Charges","Charges de frénésie","Raserei-Ladungen","フレンジーチャージ","격분 충전","Cargas de Frenesi","Заряды ярости","Cargas de frenesí","Frenzy Charge","狂怒球",1,"","","",1,623963944,[],"","","",1,[],[]
6,"current_power_charges",1,"","",3,"Power Charges","Charges de pouvoir","Energie-Ladungen","パワーチャージ","권능 충전","Cargas de Poder","Заряды энергии","Cargas de poder","Power Charge","暴擊球",1,"","","",1,489142904,[],"","","",1,[],[]
7,"cannot_have_life_leeched_from",1,"","",4,"Cannot be Life-Leeched","Immunité au Drain de Vie","Monster können kein Leben rauben","ライフをリーチされることがない","생명력 흡수 불가","Não pode ter sua Vida Drenada","Иммунитет к похищению здоровья","No se puede absorber su vida","ไม่ถูก ดูดพลังชีวิต","生命不會被偷取","","","","","",-547445160,[],18,"","","",[],[]
8,"cannot_have_mana_leeched_from",1,"","",4,"Cannot be Mana-Leeched","Immunité au Drain de Mana","Monster können kein Mana rauben","マナをリーチされることがない","마나 흡수 불가","Não pode ter sua Mana Drenada","Иммунитет к похищению маны","No se puede absorber su maná","ไม่ถูก ดูดมานา","魔力不會被偷取","","","","","",-544265574,[],"","","","",[],[]
9,"monster_slain_experience_+%",1,"","",1,"Experience From Slain Monsters","Expérience des Monstres tués","Erfahrung durch getötete Monster","モンスターを倒すことによる経験値","몬스터 처치 시 획득 경험치","Experiência Por Matar Monstros","Опыт","Experiencia de los monstruos derrotados","ค่าประสบการณ์จากมอนสเตอร์ที่ถูกสังหาร","殺死怪物所得的經驗","","","","","",-412187701,[],"","","",1,[],[]
