"rownum","Id","Text","Tier","Command","Parameters","[rid]","HASH16","Description","IsEnchant","LifeforceType","LifeforceCost","SacredCost","bool","Achievements","i32"
0,"ReforgeFire","<white>{Reforge} a Rare item with random modifiers, including a <craftingfire>{Fire} modifier",0,"reroll_with_mod","fire ON rare",[],41957,"Reforge a Rare item with random modifiers, including a Fire modifier","",1,50,0,"",[9370],1
1,"ReforgeCold","<white>{Reforge} a Rare item with random modifiers, including a <craftingcold>{Cold} modifier",0,"reroll_with_mod","cold ON rare",[],37294,"Reforge a Rare item with random modifiers, including a Cold modifier","",2,50,0,"",[9370],1
2,"ReforgeLightning","<white>{Reforge} a Rare item with random modifiers, including a <craftinglightning>{Lightning} modifier",0,"reroll_with_mod","lightning ON rare",[],14935,"Reforge a Rare item with random modifiers, including a Lightning modifier","",3,50,0,"",[9370],1
3,"ReforgePhysical","<white>{Reforge} a Rare item with random modifiers, including a <craftingphysical>{Physical} modifier",0,"reroll_with_mod","physical ON rare",[],28183,"Reforge a Rare item with random modifiers, including a Physical modifier","",2,50,0,"",[9370],1
4,"ReforgeLife","<white>{Reforge} a Rare item with random modifiers, including a <craftinglife>{Life} modifier",0,"reroll_with_mod","life ON rare",[],20366,"Reforge a Rare item with random modifiers, including a Life modifier","",1,75,0,"",[9370],1
5,"ReforgeDefences","<white>{Reforge} a Rare item with random modifiers, including a <craftingdefences>{Defence} modifier",0,"reroll_with_mod","defences ON rare",[],23252,"Reforge a Rare item with random modifiers, including a Defence modifier","",3,75,0,"",[9370],1
6,"ReforgeChaos","<white>{Reforge} a Rare item with random modifiers, including a <craftingchaos>{Chaos} modifier",0,"reroll_with_mod","chaos ON rare",[],65438,"Reforge a Rare item with random modifiers, including a Chaos modifier","",2,100,0,"",[9370],1
7,"ReforgeAttack","<white>{Reforge} a Rare item with random modifiers, including an <craftingattack>{Attack} modifier",0,"reroll_with_mod","attack ON rare",[],32708,"Reforge a Rare item with random modifiers, including an Attack modifier","",1,75,0,"",[9370],1
8,"ReforgeSpell","<white>{Reforge} a Rare item with random modifiers, including a <craftingcaster>{Caster} modifier",0,"reroll_with_mod","caster ON rare",[],23060,"Reforge a Rare item with random modifiers, including a Caster modifier","",3,75,0,"",[9370],1
9,"ReforgeSpeed","<white>{Reforge} a Rare item with random modifiers, including a <craftingspeed>{Speed} modifier",0,"reroll_with_mod","speed ON rare",[],21212,"Reforge a Rare item with random modifiers, including a Speed modifier","",2,150,0,"",[9370],1
10,"ReforgeCritical","<white>{Reforge} a Rare item with random modifiers, including a <craftingcrit>{Critical} modifier",0,"reroll_with_mod","critical ON rare",[],23575,"Reforge a Rare item with random modifiers, including a Critical modifier","",3,150,0,"",[9370],1
11,"ReforgeMoreLikely","<white>{Reforge} a <white>{Rare} item, being <white>{more likely} to receive the same modifier types",0,"reroll_with_current_tags_affinity_multiplier","900",[],33812,"Reforge a Rare item, being more likely to receive the same modifier types","",1,200,0,"",[9370],1
12,"ReforgeLessLikely","<white>{Reforge} a <white>{Rare} item, being <white>{less likely} to receive the same modifier types",0,"reroll_with_current_tags_affinity_multiplier","-90",[],35833,"Reforge a Rare item, being less likely to receive the same modifier types","",1,200,0,"",[9370],1
13,"RerollCorruptedMap","<white>{Sacrifice} a Rare <white>{Corrupted Map}. Create a new Corrupted Map of the same tier and rarity.",0,"sacrifice_corrupted_map_for_new_corrupted_map","",[],24110,"Sacrifice a Rare Corrupted Map. Create a new Corrupted Map of the same tier and rarity.","",1,200,0,"",[9370],0
14,"RerollFossils","<white>{Change} a stack of <white>{Fossils} into a different type of Fossil. The new Fossil type may have a smaller stack size. Cost is proportional to stack size.",0,"exchange_item_in_set_for_other_item_in_set","delvefossils",[],13053,"Change a stack of Fossils into a different type of Fossil. The new Fossil type may have a smaller stack size. Cost is proportional to stack size.","",1,30,0,1,[9370],0
15,"RerollOils","<white>{Change} a stack of <white>{Oils} into a different colour of Oil. Cost is proportional to stack size.",0,"exchange_item_in_set_for_other_item_in_set","mushrune",[],28656,"Change a stack of Oils into a different colour of Oil. Cost is proportional to stack size.","",2,30,0,1,[9370],0
16,"RerollCatalysts","<white>{Change} a stack of <white>{Catalysts} into a different type of Catalyst. Cost is proportional to stack size.",0,"exchange_item_in_set_for_other_item_in_set","metamorphcatalystsspecial",[],2794,"Change a stack of Catalysts into a different type of Catalyst. Cost is proportional to stack size.","",2,30,0,1,[9370],0
17,"RerollEssences","<white>{Change} a stack of <white>{Essences} into a different type of the same tier. Cost is proportional to stack size.",0,"exchange_essences_for_other_essence_of_same_tier","",[],15838,"Change a stack of Essences into a different type of the same tier. Cost is proportional to stack size.","",3,30,0,1,[9370],0
18,"RerollTimelessSplinters","<white>{Change} a stack of <white>{Timeless Splinters} or a <white>{Timeless Emblem} into Splinters or an Emblem of another type. Cost is proportional to stack size.",0,"exchange_item_in_set_for_other_item_in_set","HarvestTimelessSplinterExchange HarvestTimelessEmblemExchange",[],32762,"Change a stack of Timeless Splinters or a Timeless Emblem into Splinters or an Emblem of another type. Cost is proportional to stack size.","",3,4,0,1,[9370],0
19,"RerollBreachSplinters","<white>{Change} a stack of <white>{Breach Splinters} or a normal or Flawless <white>{Breachstone} into Splinters or a Breachstone of another type. Cost is proportional to stack size.",0,"exchange_item_in_set_for_other_item_in_set","HarvestBreachSplinterExchange HarvestBreachStoneExchange\r\nHarvestBreachStoneExchange5",[],49597,"Change a stack of Breach Splinters or a normal or Flawless Breachstone into Splinters or a Breachstone of another type. Cost is proportional to stack size.","",1,4,0,1,[9370],0
20,"RerollScarabs","<white>{Change} a stack of <white>{Scarabs} to a different type of the same rarity. Cost is proportional to stack size.",0,"change_scarab_into_other_of_same_tier","",[],42412,"Change a stack of Scarabs to a different type of the same rarity. Cost is proportional to stack size.","",1,30,0,1,[9370],0
21,"RerollDeliriumOrbs","<white>{Change} a stack of <white>{Delirium Orbs} into a different type of Delirium Orb. Cost is proportional to stack size.",0,"exchange_item_in_set_for_other_item_in_set","afflictionorbs",[],32501,"Change a stack of Delirium Orbs into a different type of Delirium Orb. Cost is proportional to stack size.","",3,30,0,1,[9370],1
22,"RerollDivinationCards","<white>{Change} a <white>{Divination Card} into another random Divination Card",0,"reroll_into_new_div_card","",[],33858,"Change a Divination Card into another random Divination Card","",2,75,0,"",[9370],1
23,"ChangeColdToFireResist","<white>{Change} a modifier that grants <craftingcold>{Cold} Resistance into a similar-tier modifier that grants <craftingfire>{Fire} Resistance",1,"convert_mod","ColdResistance ColdResistanceAilments ColdResistanceForJewel ColdResistanceLeech MaximumColdResist ColdResistancePhysTakenAsCold ColdResistancePrefix AfflictionJewelSmallPassivesGrantColdRes CONVERT cold fire",[],37601,"Change a modifier that grants Cold Resistance into a similar-tier modifier that grants Fire Resistance","",1,500,0,"",[9370],1
24,"ChangeLightningToFireResist","<white>{Change} a modifier that grants <craftinglightning>{Lightning} Resistance into a similar-tier modifier that grants <craftingfire>{Fire} Resistance",1,"convert_mod","LightningResistance LightningResistanceAilments LightningResistanceForJewel LightningResistanceLeech MaximumLightningResistance LightningResistancePhysTakenAsLightning LightningResistancePrefix AfflictionJewelSmallPassivesGrantLightningRes CONVERT lightning fire",[],54654,"Change a modifier that grants Lightning Resistance into a similar-tier modifier that grants Fire Resistance","",1,500,0,"",[9370],1
25,"ChangeFireToColdResist","<white>{Change} a modifier that grants <craftingfire>{Fire} Resistance into a similar-tier modifier that grants <craftingcold>{Cold} Resistance",1,"convert_mod","FireResistance FireResistanceAilments FireResistanceForJewel FireResistanceLeech MaximumFireResist FireResistancePhysTakenAsFire FireResistancePrefix AfflictionJewelSmallPassivesGrantFireRes CONVERT fire cold",[],15550,"Change a modifier that grants Fire Resistance into a similar-tier modifier that grants Cold Resistance","",2,500,0,"",[9370],1
26,"ChangeLightningToColdResist","<white>{Change} a modifier that grants <craftinglightning>{Lightning} Resistance into a similar-tier modifier that grants <craftingcold>{Cold} Resistance",1,"convert_mod","LightningResistance LightningResistanceAilments LightningResistanceForJewel LightningResistanceLeech MaximumLightningResistance LightningResistancePhysTakenAsLightning LightningResistancePrefix AfflictionJewelSmallPassivesGrantLightningRes CONVERT lightning cold",[],27983,"Change a modifier that grants Lightning Resistance into a similar-tier modifier that grants Cold Resistance","",2,500,0,"",[9370],1
27,"ChangeFireToLightningResist","<white>{Change} a modifier that grants <craftingfire>{Fire} Resistance into a similar-tier modifier that grants <craftinglightning>{Lightning} Resistance",1,"convert_mod","FireResistance FireResistanceAilments FireResistanceForJewel FireResistanceLeech MaximumFireResist FireResistancePhysTakenAsFire FireResistancePrefix AfflictionJewelSmallPassivesGrantFireRes CONVERT fire lightning",[],5400,"Change a modifier that grants Fire Resistance into a similar-tier modifier that grants Lightning Resistance","",3,500,0,"",[9370],1
28,"ChangeColdToLightningResist","<white>{Change} a modifier that grants <craftingcold>{Cold} Resistance into a similar-tier modifier that grants <craftinglightning>{Lightning} Resistance",1,"convert_mod","ColdResistance ColdResistanceAilments ColdResistanceForJewel ColdResistanceLeech MaximumColdResist ColdResistancePhysTakenAsCold ColdResistancePrefix AfflictionJewelSmallPassivesGrantColdRes CONVERT cold lightning",[],25638,"Change a modifier that grants Cold Resistance into a similar-tier modifier that grants Lightning Resistance","",3,500,0,"",[9370],1
29,"FlaskDurationEnchant","<white>{Enchant} a <white>{Flask} with a modifier that grants <enchanted>{increased Duration}. The magnitude of this effect decreases with each use",2,"add_enchant_to_flask","HarvestFlaskEnchantmentDurationLoweredOnUse1_",[],65284,"Enchant a Flask with a modifier that grants increased Duration. The magnitude of this effect decreases with each use",1,1,800,0,"",[9370],1
30,"FlaskChargeEnchant","<white>{Enchant} a <white>{Flask} with a modifier that grants <enchanted>{increased Maximum Charges}. The magnitude of this effect decreases with each use",2,"add_enchant_to_flask","HarvestFlaskEnchantmentMaximumChargesLoweredOnUse3_",[],60313,"Enchant a Flask with a modifier that grants increased Maximum Charges. The magnitude of this effect decreases with each use",1,1,800,0,"",[9370],1
31,"FlaskEffectEnchant","<white>{Enchant} a <white>{Flask} with a modifier that grants <enchanted>{increased Effect}. The magnitude of this effect decreases with each use",2,"add_enchant_to_flask","HarvestFlaskEnchantmentEffectLoweredOnUse2",[],10125,"Enchant a Flask with a modifier that grants increased Effect. The magnitude of this effect decreases with each use",1,2,800,0,"",[9370],1
32,"FlaskReducedEnchant","<white>{Enchant} a <white>{Flask} with a modifier that grants <enchanted>{reduced Charges used}. The magnitude of this effect decreases with each use",2,"add_enchant_to_flask","HarvestFlaskEnchantmentChargesUsedLoweredOnUse4",[],60673,"Enchant a Flask with a modifier that grants reduced Charges used. The magnitude of this effect decreases with each use",1,3,800,0,"",[9370],1
33,"RerollShaperFragment","<white>{Change} a stack of <white>{Shaper Fragments} into other random Shaper Fragments. Cost is proportional to stack size.",1,"exchange_item_in_set_for_other_item_in_set","HarvestShaperFragmentExchange",[],55320,"Change a Shaper Fragment into another random Shaper Fragment. Cost is proportional to stack size.","",1,500,0,1,[9370],0
