"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","NodeIcon","Stats","StatValues","HASH16","PassiveBG","Effect","Type","Limit","RequiresAdjacent","MaxAdjacent","AllocatedPassiveSkill"
0,"Ngamahu1","Tattoo of the Ngamahu Firewalker","Tatouage du Marchefeu de Ngamahu","Tätowierung des Ngamahu-Feuerläufers","ナマフの火歩きのタトゥー","나마후 화염보행자의 문신","Tatuagem do Andarilho Flamejante de Ngamahu","Татуировка Огненного ходока Нгамаху","Tatuaje del caminante de fuego Ngamahu","ลายสัก ผู้ก้าวเพลิงนามาฮู","努葛瑪呼火行者的紋身","Art/2DArt/SkillIcons/passives/FireResistNode.dds",[144],[8],23594,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
1,"Ngamahu2","Tattoo of the Ngamahu Shaman","Tatouage du Chaman de Ngamahu","Tätowierung des Ngamahu-Schamanen","ナマフのシャーマンのタトゥー","나마후 주술사의 문신","Tatuagem do Xamã de Ngamahu","Татуировка Шамана Нгамаху","Tatuaje de chamán de Ngamahu","ลายสัก คนทรงนามาฮู","努葛瑪呼薩滿的紋身","Art/2DArt/SkillIcons/passives/FireResistNode.dds",[207],[15],40078,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
2,"Ngamahu3","Tattoo of the Ngamahu Warrior","Tatouage du Guerrier de Ngamahu","Tätowierung des Ngamahu-Kriegers","ナマフの戦士のタトゥー","나마후 전사의 문신","Tatuagem do Guerreiro de Ngamahu","Татуировка Воина Нгамаху","Tatuaje de guerrero de Ngamahu","ลายสัก นักรบนามาฮู","努葛瑪呼戰士的紋身","Art/2DArt/SkillIcons/passives/firedamage.dds","[43,44]","[3,5]",23459,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
3,"Ngamahu4","Tattoo of the Ngamahu Warmonger","Tatouage du Belliciste de Ngamahu","Tätowierung des Ngamahu-Kriegstreibers","ナマフのウォーモンガーのタトゥー","나마후 전쟁광의 문신","Tatuagem do Guerrilheiro de Ngamahu","Татуировка Зачинщика войны Нгамаху","Tatuaje de belicista de Ngamahu","ลายสัก ผู้ก่อศึกนามาฮู","努葛瑪呼戰鬥王的紋身","Art/2DArt/SkillIcons/passives/firedamage.dds",[18969],[2],2750,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
4,"Ngamahu5","Tattoo of the Ngamahu Woodcarver","Tatouage du Sculpteur sur bois de Ngamahu","Tätowierung des Ngamahu-Holzschnitzers","ナマフの木彫り師のタトゥー","나마후 목각사의 문신","Tatuagem do Talhador de Ngamahu","Татуировка Резчика по дереву Нгамаху","Tatuaje de tallador de madera de Ngamahu","ลายสัก นักสลักไม้นามาฮู","努葛瑪呼木工的紋身","Art/2DArt/SkillIcons/passives/totemandbrandlife.dds",[166],[6],25283,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
5,"Ngamahu6","Loyalty Tattoo of Kaom","Tatouage de Loyauté de Kaom","Stammestätowierung von Kaom","カオムの忠誠のタトゥー","카옴의 충성 문신","Tatuagem de Lealdade a Kaom","Татуировка верности Каому","Tatuaje de lealtad a Kaom","ลายสักภักดี คอมม์","岡姆的忠誠紋身","Art/2DArt/SkillIcons/NgamahuTribeSkill.dds","[18823,18855]","[1,1]",53029,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG",49788,1,0,0,0,""
6,"Ngamahu7","Tattoo of the Ngamahu Makanga","Tatouage du Makanga de Ngamahu","Tätowierung des Ngamahu-Makangas","ナマフのマカンガのタトゥー","나마후 마캉가의 문신","Tatuagem da Makanga de Ngamahu","Татуировка Маканги Нгамаху","Tatuaje de makanga de Ngamahu","ลายสัก มาคันงานามาฮู","努葛瑪呼鑄造的紋身","Art/2DArt/SkillIcons/passives/FireResistNode.dds",[942],[1],48045,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,1,""
7,"Kitava1","Tattoo of the Kitava Blood Drinker","Tatouage du Buveur de sang de Kitava","Tätowierung des Kitava-Bluttrinkers","キタヴァの血飲みのタトゥー","키타바 피 흡수자의 문신","Tatuagem Hematofágica de Kitava","Татуировка Кровопийцы Китавы","Tatuaje de bebedor de sangre de Kitava","ลายสัก ผู้ดื่มเลือดคิทาวา","奇塔弗飲血者的紋身","Art/2DArt/SkillIcons/passives/lifegainpertarget.dds",[2691],[50],9722,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
8,"Kitava2","Tattoo of the Kitava Rebel","Tatouage du Rebelle de Kitava","Tätowierung des Kitava-Rebels","キタヴァの反逆者のタトゥー","키타바 반란자의 문신","Tatuagem do Rebelde de Kitava","Татуировка Смутьяна Китавы","Tatuaje de rebelde de Kitava","ลายสัก กบฎคิทาวา","奇塔弗叛亂的紋身","Art/2DArt/SkillIcons/passives/Blood2.dds",[4429],[15],39618,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
9,"Kitava3","Tattoo of the Kitava Warrior","Tatouage du Guerrier de Kitava","Tätowierung des Kitava-Kriegers","キタヴァの戦士のタトゥー","키타바 전사의 문신","Tatuagem do Guerreiro de Kitava","Татуировка Воина Китавы","Tatuaje de guerrero de Kitava","ลายสัก นักรบคิทาวา","奇塔弗戰士的紋身","Art/2DArt/SkillIcons/passives/damage.dds","[28,29]","[2,3]",48056,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
10,"Kitava4","Tattoo of the Kitava Heart Eater","Tatouage du Mange-cœur de Kitava","Tätowierung des Kitava-Herzenfressers","キタヴァの心臓喰らいのタトゥー","키타바 심장 포식자의 문신","Tatuagem do Devorador de Corações de Kitava","Татуировка Пожирателя сердец Китавы","Tatuaje de comecorazones de Kitava","ลายสัก ผู้กินหัวใจคิทาวา","奇塔弗嗜心者的紋身","Art/2DArt/SkillIcons/passives/lifegainpertarget.dds",[18968],[4],21336,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
11,"Kitava5","Tattoo of the Kitava Shaman","Tatouage du Chaman de Kitava","Tätowierung des Kitava-Schamanen","キタヴァのシャーマンのタトゥー","키타바 주술사의 문신","Tatuagem do Xamã de Kitava","Татуировка Шамана Китавы","Tatuaje de chamán de Kitava","ลายสัก คนทรงคิทาวา","奇塔弗薩滿的紋身","Art/2DArt/SkillIcons/passives/SkillscostingLifenode.dds",[14721],[4],47008,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
12,"Kitava6","Loyalty Tattoo of Utula","Tatouage de Loyauté d'Utula","Stammestätowierung von Utula","ウトゥーラの忠誠のタトゥー","우툴라의 충성 문신","Tatuagem de Lealdade a Utula","Татуировка верности Утуле","Tatuaje de lealtad a Utula","ลายสักภักดี อูทูล่า","烏圖拉的忠誠紋身","Art/2DArt/SkillIcons/KitavaTribeSkill.dds","[18824,18856]","[1,1]",26885,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG",49790,1,0,0,0,""
13,"Kitava7","Tattoo of the Kitava Makanga","Tatouage du Makanga de Kitava","Tätowierung des Kitava-Makangas","キタヴァのマカンガのタトゥー","키타바 마캉가의 문신","Tatuagem da Makanga de Kitava","Татуировка Маканги Китавы","Tatuaje de makanga de Kitava","ลายสัก มาคันงาคิทาวา","奇塔弗鑄造的紋身","Art/2DArt/SkillIcons/passives/lifegainpertarget.dds",[9261],[80],59957,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",7,0,""
14,"Tukohama1","Tattoo of the Tukohama Shaman","Tatouage du Chaman de Tukohama","Tätowierung des Tukohama-Schamanen","トゥコハマのシャーマンのタトゥー","투코하마 주술사의 문신","Tatuagem do Xamã de Tukohama","Татуировка Шамана Тукохамы","Tatuaje de chamán de Tukohama","ลายสัก คนทรงทูโคฮาม่า","圖克哈瑪薩滿的紋身","Art/2DArt/SkillIcons/passives/lifepercentage.dds",[125],[900],18680,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TukohamaTribePassiveBG","",4,"",0,0,""
15,"Tukohama2","Tattoo of the Tukohama Warrior","Tatouage du Guerrier de Tukohama","Tätowierung des Tukohama-Kriegers","トゥコハマの戦士のタトゥー","투코하마 전사의 문신","Tatuagem do Guerreiro de Tukohama","Татуировка Воина Тукохамы","Tatuaje de guerrero de Tukohama","ลายสัก นักรบทูโคฮาม่า","圖克哈瑪戰士的紋身","Art/2DArt/SkillIcons/passives/FortifyNode.dds",[5252],[5],30868,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TukohamaTribePassiveBG","",4,"",0,0,""
16,"Tukohama3","Tattoo of the Tukohama Brawler","Tatouage du Bagarreur de Tukohama","Tätowierung des Tukohama-Schlägers","トゥコハマの喧嘩屋のタトゥー","투코하마 싸움꾼의 문신","Tatuagem do Brigão de Tukohama","Татуировка Поединщика Тукохамы","Tatuaje de luchador de Tukohama","ลายสัก นักสู้ทูโคฮาม่า","圖克哈瑪鬥士的紋身","Art/2DArt/SkillIcons/passives/knockback.dds",[479],[10],56069,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TukohamaTribePassiveBG","",4,"",0,0,""
17,"Tukohama4","Tattoo of the Tukohama Warmonger","Tatouage du Belliciste de Tukohama","Tätowierung des Tukohama-Kriegstreibers","トゥコハマのウォーモンガーのタトゥー","투코하마 전쟁광의 문신","Tatuagem do Guerrilheiro de Tukohama","Татуировка Зачинщика войны Тукохамы","Tatuaje de belicista de Tukohama","ลายสัก ผู้ก่อศึกทูโคฮาม่า","圖克哈瑪戰鬥王的紋身","Art/2DArt/SkillIcons/passives/StancesNode.dds",[1230],[1],47726,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TukohamaTribePassiveBG","",4,"",0,0,""
18,"Tukohama5","Tattoo of the Tukohama Warcaller","Tatouage du Sonneur de guerre de Tukohama","Tätowierung des Tukohama-Kriegsrufers","トゥコハマのウォーコーラーのタトゥー","투코하마 전쟁 소집자의 문신","Tatuagem do Combatente de Tukohama","Татуировка Глашатая войны Тукохамы","Tatuaje de heraldo de guerra de Tukohama","ลายสัก ผู้เรียกศึกทูโคฮาม่า","圖克哈瑪戰爭喚者的紋身","Art/2DArt/SkillIcons/passives/WarCryCooldown.dds",[3575],[10],44449,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TukohamaTribePassiveBG","",4,"",0,0,""
19,"Tukohama6","Loyalty Tattoo of Akoya","Tatouage de Loyauté d'Akoya","Stammestätowierung von Akoya","アコヤの忠誠のタトゥー","아코야의 충성 문신","Tatuagem de Lealdade a Akoya","Татуировка верности Акойе","Tatuaje de lealtad a Akoya","ลายสักภักดี อะโคยา","艾古亞的忠誠紋身","Art/2DArt/SkillIcons/TukohamaTribeSkill.dds","[18825,18857]","[1,1]",14067,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TukohamaTribePassiveBG",49792,1,0,0,0,""
20,"Tukohama7","Tattoo of the Tukohama Makanga","Tatouage du Makanga de Tukohama","Tätowierung des Tukohama-Makangas","トゥコハマのマカンガのタトゥー","투코하마 마캉가의 문신","Tatuagem da Makanga de Tukohama","Татуировка Маканги Тукохамы","Tatuaje de makanga de Tukohama","ลายสัก มาคันงาทูโคฮาม่า","圖克哈瑪鑄造的紋身","Art/2DArt/SkillIcons/passives/lifepercentage.dds",[2399],[16],25256,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TukohamaTribePassiveBG","",4,"",7,0,""
