"rownum","Item","rid","rid","i32","rid","bool","bool","rid","i32","rid","Script","rid"
0,9709,2284,"",225,"","","","",1317,"","",""
1,9710,1870,"",351,"","","","",1317,"","",""
2,9711,1869,"",352,"","","","",1317,"","",""
3,9718,2301,"",979,"","",1,888,1317,"","",""
4,9719,2302,"",980,"","",1,888,1317,"","",""
5,9720,2303,"",981,"","",1,888,1317,"","",""
6,9721,2304,"",982,"","",1,888,1317,"","",""
7,5984,2583,"",1156,"","","",903,1317,"","",""
8,5985,2584,"",1157,"","","",904,1317,"","",""
9,5986,2594,"",1160,"","","",905,1317,"","",""
10,10254,953,"",207,"","",1,890,1317,"","",""
11,10256,954,"",212,"","",1,6145,1317,"","",""
12,10258,955,"",323,"","",1,891,1317,"","",""
13,10260,956,"",328,"","",1,6146,1317,"","",""
14,5888,2007,"",662,"","","",886,662,900,"skill_book",""
15,5889,2008,"",663,"","","",886,663,900,"skill_book",""
16,5890,2009,"",664,"","","",886,664,900,"skill_book",""
17,5891,2010,"",665,"","","",886,665,900,"skill_book",""
18,5892,2012,"",675,"","","",886,675,900,"skill_book",""
19,5893,2013,"",676,"","","",886,676,900,"skill_book",""
20,5987,1518,1516,1317,1516,"","",906,1317,"","sentinel_controller",""
21,10392,2160,"",416,"","","",908,1317,"","",""
