"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Metadata","rid","NPCMasterKey","ShortName (English)","ShortName (French)","ShortName (German)","ShortName (Japanese)","ShortName (Korean)","ShortName (Portuguese)","ShortName (Russian)","ShortName (Spanish)","ShortName (Thai)","ShortName (Traditional Chinese)","i32","NPCAudios1","NPCAudios2","i32","row","Portrait","DialogueStyle","bool","rid","Gender","bool"
0,"Metadata/NPC/Act1/Tarkleigh","Tarkleigh","Tarkleigh","Tarkleigh","タークリー","타클레이","Tarkleigh","Таркли","Tarkleigh","ทาร์กเลย์","塔格拉","Metadata/NPC/NPC","","","","","","","","","","","","",1,[0],[1],18329,"","","",1,0,"M",""
1,"Metadata/NPC/Act1/Nessa","Nessa","Nessa","Nessa","ネッサ","네사","Nessa","Несса","Nessa","เนสซ่า","奈莎","Metadata/NPC/NPC","","","","","","","","","","","","",1,[2],[3],16035,"","","",1,11,"F",""
2,"Metadata/NPC/Act1/Bestel","Bestel","Bestel","Bestel","ベストル","베스텔","Bestel","Бестель","Bestel","เบสเทล","畢斯特","Metadata/NPC/NPC","","","","","","","","","","","","",1,[4],[],56488,"","","",1,33,"M",""
3,"Metadata/NPC/Act1/Doorman","Doorman","Portier","Pförtner","ドアマン","문지기","Porteiro","Изгнанник","Portero","คนเฝ้าประตู","守門人","Metadata/NPC/NPC","","","","","","","","","","","","",1,[],[],31831,"","","",1,"","M",""
4,"Metadata/NPC/Act1/Fairgraves","Captain Fairgraves","Capitaine Fairgraves","Kapitän Fairgraves","フェアグレーヴズ船長","페어그레이브즈 선장","Capitão Fairgraves","Капитан Фейргрейвс","Capitán Fairgraves","กัปตันแฟร์เกรฟส์","費爾船長","Metadata/NPC/NPC","","","Fairgraves","Fairgraves","Fairgraves","フェアグレーヴズ","페어그레이브즈","Fairgraves","Фейргрейвс","Fairgraves","แฟร์เกรฟส์","費爾船長",1,[],[5],39720,"","","",1,"","M",""
5,"Metadata/Monsters/Skeletons/SkeletonBossFairgraves","Captain Fairgraves","Capitaine Fairgraves","Kapitän Fairgraves","フェアグレーヴズ船長","페어그레이브즈 선장","Capitão Fairgraves","Капитан Фейргрейвс","Capitán Fairgraves","กัปตันแฟร์เกรฟส์","費爾船長","Metadata/Monsters/Skeletons/SkeletonBossEmerge","","","Fairgraves","Fairgraves","Fairgraves","フェアグレーヴズ","페어그레이브즈","Fairgraves","Фейргрейвс","Fairgraves","แฟร์เกรฟส์","費爾船長",0,[],[],47303,"","","",1,"","M",""
6,"Metadata/NPC/Act1/WoundedExile","Dying Exile","Exilé mourant","Sterbender Verbannter","死に際のエグザイル","죽어가는 유배자","Exilado Moribundo","Умирающий изгнанник","Exiliado agonizante","เอ็กไซล์ใกล้ตาย","垂死的流亡者","Metadata/NPC/NPC","","","","","","","","","","","","",1,[],[],48620,"","","",1,"","M",""
7,"Metadata/NPC/Act1/Brutus","Brutus, the Warden","Brutus, le Geôlier","Brutus der Wächter","獄長ブルータス","간수 브루투스","Brutus, o Carcereiro","Изувер, старший смотритель","Brutus, el Guardián","บรูตัส เจ้าพัศดี","典獄長布魯特斯","Metadata/NPC/NPC","","","Brutus","Brutus","Brutus","ブルータス","브루투스","Brutus","Изувер","Brutus","บรูตัส","典獄長布魯特斯",1,[],[],45035,"","","",1,"","M",""
8,"Metadata/NPC/Act1/Merveil","Merveil","Merveil","Merveil","マーヴェイル","머베일","Merveil","Мервейл","Merveil","เมอร์เวล","莫薇兒","Metadata/NPC/NPC","","","","","","","","","","","","",1,[],[],20647,"","","",1,"","F",""
9,"Metadata/NPC/Act2/Eramir","Eramir","Éramir","Eramir","エラミール","에라미어","Eramir","Эрамир","Eramir","เอระเมียร์","艾米爾","Metadata/NPC/NPC","","","","","","","","","","","","",2,[6],[7],5275,"","","",1,"","M",""
10,"Metadata/NPC/Act2/Yeena","Yeena","Yeena","Yeena","イーナ","이이나","Yeena","Йина","Yeena","ยีนา","伊娜","Metadata/NPC/NPC","","","","","","","","","","","","",2,[8],[9],66,"","","",1,12,"F",""
11,"Metadata/NPC/Act2/Greust","Greust","Greust","Greust","グルースト","그루스트","Greust","Груст","Greust","กรูสท์","古斯特","Metadata/NPC/NPC","","","","","","","","","","","","",2,[10],[11],60311,"","","",1,1,"M",""
12,"Metadata/NPC/Act2/Silk","Silk","Fil-de-soie","Silk","シルク","실크","Silk","Шёлк","Silk","ซิลค์","斯克","Metadata/NPC/NPC","","","","","","","","","","","","",2,[12],[],60264,"","","",1,34,"M",""
13,"Metadata/Monsters/BanditLeaderInt/BanditLeaderAlira","Alira","Alira","Alira","アリーラ","알리라","Alira","Алира","Alira","อลิร่า","阿莉亞","Metadata/NPC/NPC","","","","","","","","","","","","",2,[],[],52862,"","","",1,"","F",""
14,"Metadata/Monsters/BanditLeaderDexInt/BanditLeaderKraityn","Kraityn","Kraityn","Kraityn","クレイティン","크레이틴","Kraityn","Крайтин","Kraityn","เครทิน","克雷頓","Metadata/NPC/NPC","","","","","","","","","","","","",2,[],[],22072,"","","",1,"","M",""
15,"Metadata/Monsters/BanditLeaderStrDex/BanditLeaderOak","Oak","Orme","Oak","オーク","오크","Oak","Дуб","Oak","โอ๊ค","歐克","Metadata/NPC/NPC","","","","","","","","","","","","",2,[],[],6319,"","","",1,"","M",""
16,"Metadata/NPC/Act3/Hargan","Hargan","Hargan","Hargan","ハーガン","하간","Hargan","Харган","Hargan","ฮาร์แกน","賀根","Metadata/NPC/NPC","","","","","","","","","","","","",3,[14],[15],54708,"","","",1,2,"M",""
