"rownum","Id","QuestKey","QuestFlag","i32","RewardWindowTake","bool","bool","RewardWindowTitle","i32","rid"
0,"a1q1",0,2,1317,"","","","",0,""
1,"a1q5",1,41,1317,"","","","",0,""
2,"a1q5b",1,1877,1317,"","","","",1,""
3,"a1q4",2,36,1317,"","","","",0,""
4,"a1q4b",2,2148,1317,"","","","",1,""
5,"a1q8",3,"",1317,"","",1,"",0,""
6,"a1q7",4,"",1317,"","",1,"",0,""
7,"a1q2",5,6,1317,"","","","",0,""
8,"a1q2b",5,797,1317,"","","","",0,""
9,"a1q6",6,"",1317,"","",1,"",0,""
10,"a1q3",7,72,1317,"","","","",0,""
11,"a1q9",8,"",1317,"","",1,"",0,""
12,"a2q5",10,"",1317,"","",1,"",0,""
13,"a2q6",11,108,1317,"","","","",0,""
14,"a2q10",12,248,1317,"","","","",0,""
15,"a2q4",13,106,1317,"","","","",0,""
16,"a2q9b_tencent",14,2549,1317,"",1,"","",1,""
17,"a2q7",15,"",1317,"","",1,"",0,""
18,"a3q1",21,173,1317,"","","","",0,""
19,"a3q2",22,"",1317,"","",1,"",0,""
20,"a3q11",23,"",1317,"","",1,"",0,""
21,"a3q4",25,189,1317,"","","","",0,""
22,"a3q5",26,"",1317,"","",1,"",0,""
23,"a3q8",27,212,1317,"","","","",0,""
24,"a3q12",28,493,1317,"","","","",0,""
25,"a3q13",29,197,1317,"","","","",0,""
26,"a3q9",30,"",1317,"","",1,"",0,""
27,"d2c1",32,521,1317,"","","","",0,""
28,"d2c2",33,522,1317,"","","","",0,""
29,"a4q1",34,688,1317,"","","","",0,""
30,"a4q2",35,665,1317,"","","","",0,""
31,"a4q6",39,"",1317,"","",1,"",0,""
32,"a4q6b_tencent",39,2555,1317,"",1,"","",1,""
33,"bandit_respec",50,"",1317,3694,"",1,3699,0,""
34,"a5q1b",63,1054,1317,"","","","",0,""
35,"a5q2",64,1062,1317,"","","","",0,""
36,"a5q3",65,"",1317,"","",1,"",0,""
37,"a5q4",66,1074,1317,"","","","",0,""
38,"a5q5",67,1080,1317,"","","","",0,""
39,"a5q7",69,"",1317,"","",1,"",0,""
40,"a6q2",71,1170,1317,"","","","",0,""
41,"a6q3",72,"",1317,"","",1,"",0,""
42,"a6q4",73,"",1317,"","",1,"",0,""
43,"a6q5",74,1253,1317,"","","","",0,""
44,"a6q6",75,"",1317,"","",1,"",0,""
45,"a6q7",76,"",1317,"","",1,"",0,""
46,"a7q1",77,"",1317,"","",1,"",0,""
47,"a7q2",78,1278,1317,"","","","",0,""
48,"a7q3",79,"",1317,"","",1,"",0,""
49,"a7q5",81,1308,1317,"","","","",0,""
50,"a7q6",82,"",1317,"","",1,"",0,""
51,"a7q8",84,1376,1317,"","","","",0,""
52,"a7q8_offer",84,"",1317,3694,"",1,3699,0,""
53,"a7q9",85,"",1317,"","",1,"",0,""
54,"a8q1",86,1421,1317,"","","","",0,""
55,"a8q4",89,"",1317,"","",1,"",0,""
56,"a8q5",90,1441,1317,"","","","",0,""
57,"a8q6",91,"",1317,"","",1,"",0,""
58,"a8q7",92,"",1317,"","",1,"",0,""
59,"a9q2",94,"",1317,"","",1,"",0,""
60,"a9q3",95,1627,1317,"","","","",0,""
61,"a9q4",96,"",1317,"","",1,"",0,""
62,"a9q5",97,"",1317,"","",1,"",0,""
63,"a9q5_offer",97,"",1317,3694,"",1,3699,0,""
64,"a10q1",98,1645,1317,"","","","",0,""
65,"a10q2",99,1652,1317,"","","","",0,""
66,"a10q3",100,"",1317,"","",1,"",0,""
67,"a10q4",101,"",1317,"","",1,"",0,""
68,"a10q5",102,1680,1317,"","","","",0,""
69,"a10q6",103,"",1317,"","",1,"",0,""
70,"atlas",175,"",216,"","","","",0,""
71,"heist_tutorial",127,"",1317,3694,"",1,3699,0,""
72,"heist_quest_karst2",129,"",1317,3694,"",1,3699,0,""
73,"heist_quest_karst3",130,"",1317,3694,"",1,3699,0,""
74,"heist_quest_tibbs2",132,"",1317,3694,"",1,3699,0,""
75,"heist_quest_tullina2",140,"",1317,3694,"",1,3699,0,""
76,"heist_quest_faustus2",155,"",1317,3694,"",1,3699,0,""
77,"heist_quest_kurai4",160,"",871,"","","","",0,""
78,"heist_quest_karst1",128,"",942,"","","","",0,""
79,"heist_quest_karst2_2",129,"",943,"","","","",0,""
80,"heist_quest_karst3_2",130,"",944,"","","","",0,""
81,"heist_quest_tibbs1",131,"",945,"","","","",0,""
82,"heist_quest_tibbs2_2",132,"",946,"","","","",0,""
83,"heist_quest_huck1",133,"",947,"","","","",0,""
84,"heist_quest_huck2",134,"",948,"","","","",0,""
85,"heist_quest_vinderi1",135,"",949,"","","","",0,""
86,"heist_quest_vinderi2",136,"",950,"","","","",0,""
87,"heist_quest_gianna1",137,"",951,"","","","",0,""
88,"heist_quest_gianna2",138,"",952,"","","","",0,""
89,"heist_quest_tullina1",139,"",953,"","","","",0,""
90,"heist_quest_tullina2_2",140,"",954,"","","","",0,""
91,"heist_quest_niles1",141,"",955,"","","","",0,""
92,"heist_quest_niles2",142,"",956,"","","","",0,""
93,"heist_quest_nenet1",143,"",957,"","","","",0,""
94,"heist_quest_nenet2",144,"",958,"","","","",0,""
95,"heist_quest_isla1",145,"",959,"","","","",0,""
96,"heist_quest_isla2",146,"",960,"","","","",0,""
97,"heist_quest_isla3",147,"",961,"","","","",0,""
98,"heist_quest_adiyah1",148,"",962,"","","","",0,""
99,"heist_quest_adiyah2",149,"",963,"","","","",0,""
100,"heist_quest_adiyah3",150,"",964,"","","","",0,""
