"rownum","rid","rid","rid","rid","rid","i32","i32","i32","i32"
0,8554,"",43,"",73,-1,0,0,0
1,6053,"",22,"",13,-1,0,5000,0
2,6054,"",22,"",13,-1,0,5000,0
3,7817,"",45,"","",0,0,1500,2500
4,7819,"",45,"","",0,0,1500,2500
5,7842,"",10,"","",0,0,1450,2500
6,7844,"",10,"","",0,0,1450,2500
7,7865,"",32,"","",0,0,2250,2500
8,7867,"",32,"","",0,0,2250,2500
9,7894,"",22,"","",0,0,1750,2500
10,7896,"",22,"","",0,0,1750,2500
11,9072,"","","","",0,0,0,3000
12,9066,"",24,"","",0,0,2000,1500
13,9063,"",33,"","",0,0,2720,1700
14,9067,"",22,"",34,-1,0,2850,2000
15,8555,"",73,"","",0,0,-1,0
16,8755,"","","",22,5000,0,0,0
17,6380,"","","",64,-1,0,0,400
18,144,"","","","",0,0,0,480
19,1364,"","","","",0,0,0,3000
20,1610,"","","","",0,0,0,2000
21,5494,"",32,"",51,0,0,1750,14000
