"rownum","Id","Tag (English)","Tag (French)","Tag (German)","Tag (Japanese)","Tag (Korean)","Tag (Portuguese)","Tag (Russian)","Tag (Spanish)","Tag (Thai)","Tag (Traditional Chinese)","Stat1","Stat2","Stat3","Stat4"
0,"fire","Fire","Feu","Feuer","火","화염","Fogo","Огонь","Fuego","ไฟ","火焰",516,9021,10232,10688
1,"cold","Cold","Froid","Kälte","冷気","냉기","Gelo","Холод","Hielo","น้ำแข็ง","冰冷",517,9022,10233,10689
2,"lightning","Lightning","Foudre","Blitz","雷","번개","Raio","Молния","Rayo","สายฟ้า","閃電",518,9023,10234,10690
3,"chaos","Chaos","Chaos","Chaos","混沌","카오스","Caos","Хаос","Caos","เคออส","混沌",519,9024,10235,10691
4,"spell","Spell","Sort","Zauber","スペル","주문","Magia","Чары","Hechizo","เวท","法術",521,"","",""
5,"projectile","Projectile","Projectile","Projektil","投射物","투사체","Projétil","Снаряд","Proyectil","กระสุน","投射物",520,9032,"",""
6,"bow","Bow","Arc","Bogen","弓","활","Arco","Лук","Arco","ธนู","弓箭",523,9026,"",""
7,"melee","Melee","Mêlée","Nahkampf","近接","근접","Corpo a Corpo","Ближний бой","Cuerpo a cuerpo","ประชิด","近戰",522,9025,"",""
8,"minion","Minion","Créature","Kreatur","ミニオン","소환수","Lacaio","Приспешник","Esbirro","มิเนียน","召喚物",524,9020,"",""
9,"strength","","","","","","","","","","",755,9028,"",10693
10,"dexterity","","","","","","","","","","",756,9029,"",10694
11,"intelligence","","","","","","","","","","",757,9030,"",10695
12,"aura","Aura","Aura","Aura","オーラ","오라","Aura","Аура","Aura","ออร่า","光環",1060,9027,"",""
13,"attack","Attack","Attaque","Angriff","アタック","공격","Ataque","Атака","Ataque","โจมตี","攻擊","","","",""
14,"area","AoE","Zone","Wirkungsbereich","範囲効果","효과 범위","Área","Область","AdE","พื้นที่","範圍效果",7900,9031,"",""
15,"duration","Duration","Durée","Dauer","持続時間","지속시간","Duração","Длится","Duración","กาลเวลา","持續時間",7899,"","",""
16,"support","Support","Soutien","Unterstützung","サポート","보조","Suporte","Поддержка","Asistencia","เสริม","輔助",2217,2430,"",""
17,"curse","Curse","Malédiction","Fluch","呪い","저주","Maldição","Проклятие","Maldición","คำสาป","詛咒",2022,"","",17352
18,"chaining","Chaining","Ricochet","Verkettung","連鎖","연쇄의","Ricochete","Цепь","Encadenamiento","ชิ่ง","連鎖","","","",""
19,"totem","Totem","Totem","Totem","トーテム","토템","Totem","Тотем","Tótem","โทเทม","圖騰","","","",10697
20,"trap","Trap","Piège","Falle","トラップ","덫","Armadilha","Ловушка","Trampa","กับดัก","陷阱",7991,"","",""
21,"mine","Mine","Mine","Mine","マイン","지뢰","Mina","Мина","Mina","ทุ่นระเบิด","地雷","","","",""
22,"movement","Movement","Déplacement","Bewegung","移動","이동","Movimento","Движение","Movimiento","เคลื่อนที่","位移",1257,"","",""
23,"cast","Cast","Incantation","Zauber","キャスト","시전","Conjuração","Сотворение","Lanzamiento","ร่าย","施放","","","",""
24,"vaal","Vaal","Vaal","Vaal","ヴァール","바알","Vaal","Ваал","Vaal","วาล์","瓦爾",2138,"","",10696
25,"grants_active_skill","","","","","","","","","","","","","",""
26,"trigger","Trigger","Déclenchement","Auslöser","トリガー","발동","Ativação","Активатор","Activación","ทริกเกอร์","觸發","","","",""
27,"warcry","Warcry","Cri de guerre","Kriegsschrei","ウォークライ","함성","Clamor","Боевой клич","Grito de guerra","คำราม","戰吼",3164,"","",""
28,"golem","Golem","Golem","Golem","ゴーレム","골렘","Golem","Голем","Gólem","โกเลม","魔像",3168,"","",""
29,"low_max_level","","","","","","","","","","","","","",""
30,"channelling","Channelling","Canalisation","Kanalisieren","チャネリング","집중 유지","Canalização","Поддерживаемое","Canalización","แชนเนล","引導","","","",""
31,"herald","Herald","Héraut","Herold","ヘラルド","전령","Arauto","Вестник","Heraldo","สาส์น","捷光環",6136,"","",""
32,"brand","Brand","Symbole","Zeichen","ブランド","낙인","Runa","Клеймо","Marca","ตราเวท","烙印","","","",""
33,"physical","Physical","Physique","Physisch","物理","물리","Físico","Физический","Físico","กายภาพ","物理","","",10236,10692
34,"guard","Guard","Protection","Wächter","ガード","수호","Guarda","Оборона","Protección","ตั้งรับ","守護","","","",""
35,"travel","Travel","Trajet","Fortbewegung","トラベル","이동 전용","Viajar","Смещение","Viaje","เดินทาง","快行","","","",""
36,"strike","Strike","Frappe","Schlag","ストライク","타격","Golpear","Удар","Golpe","ฟาด","打擊","","","",""
37,"blink","Blink","Transfert","Spurt","ブリンク","점멸","Ilusão","Скачок","Traslación","ก้าวพริบตา","閃現","","","",""
38,"nova","Nova","Nova","Nova","ノヴァ","폭발","Nova","Кольцо","Nova","กระจาย","新星","","","",""
39,"banner","","","","","","","","","","","","","",""
40,"slam","Slam","Fracas","Hieb","スラム","강타","Impacto","Мощный","Embate","ทุบ","重擊","","","",""
