"rownum","Id","Text","SoundFile","string","i32"
0,"Marauder1","I am a warrior, raised to honour my Ancestors, to die with a weapon in my hand and the Karui Way in my blood. \r\n\r\nOriath chained me, made me its slave. For three years I have lived without my family, my pride, my Way. \r\n\r\nI welcome Exile. I welcome Wraeclast. Hear me, Ancestors! A slave stands behind you. A warrior stands before you. \r\n\r\nAnd Death walks at our side.","Audio/Dialogue/Character/Str/Intro/Ma_01_Intro.ogg","",10000
1,"Marauder2","","Audio/Dialogue/Character/Str/Event/Ma_02.ogg","",10000
2,"Marauder3","The dead should remember their place.","Audio/Dialogue/Character/Str/Event/Ma_03.ogg","",10000
3,"Marauder4"," I am surrounded by living corpses and dying Oriathans. ","Audio/Dialogue/Character/Str/Event/Ma_04.ogg","",10000
4,"Marauder5","Show me the way, Kaom.","Audio/Dialogue/Character/Str/Event/Ma_05.ogg","",10000
5,"Marauder6","Dominus took my home, my family.","Audio/Dialogue/Character/Str/Event/Ma_06.ogg","",10000
6,"Marauder7","This is not what the elders told us.","Audio/Dialogue/Character/Str/Event/Ma_07.ogg","",10000
7,"Marauder8","A slave is not a man. A slave is not even worthy of death.","Audio/Dialogue/Character/Str/Event/Ma_08.ogg","",10000
8,"Marauder9","Your spirit is the plaything of the Ancestors, slavemaster.","Audio/Dialogue/Character/Str/Event/Ma_09.ogg","",10000
9,"Marauder10","Hinekora, Mother of the Dead, is this your land I walk upon?","Audio/Dialogue/Character/Str/Event/Ma_10.ogg","",10000
10,"Marauder11","When bones walk, they are not Karui. ","Audio/Dialogue/Character/Str/Event/Ma_11.ogg","",10000
11,"Marauder12","The 'black spirit'. Lavianga speaks of Kitava, Father of Corruption.","Audio/Dialogue/Character/Str/Event/Ma_12.ogg","",10000
12,"Marauder13","Kaom bowed to Kitava. He betrayed us!","Audio/Dialogue/Character/Str/Event/Ma_13.ogg","",10000
13,"Marauder14","The Karui remember you, Fairgraves. Your death will be much celebrated.","Audio/Dialogue/Character/Str/Event/Ma_14.ogg","",10000
14,"Marauder15","Your curse is over, siren. Rest with Hinekora, Mother of the Dead.","Audio/Dialogue/Character/Str/Event/Ma_15.ogg","",10000
15,"Marauder16","All life is twisted in Wraeclast. ","Audio/Dialogue/Character/Str/Event/Ma_16.ogg","",10000
16,"Marauder17","The Eternal Empire was built by sickened minds.","Audio/Dialogue/Character/Str/Event/Ma_17.ogg","",10000
17,"Marauder18","Ancestors, forgive me. I have opened the 'Way' to Kitava, Father of Corruption.","Audio/Dialogue/Character/Str/Event/Ma_18.ogg","",10000
18,"Marauder19","I give this warrior of Kitava to you, Tukohama, my Father of War.","Audio/Dialogue/Character/Str/Event/Ma_19.ogg","",10000
19,"Marauder20","Your death had more honour than your life, Kraityn.","Audio/Dialogue/Character/Str/Event/Ma_20.ogg","",10000
20,"Marauder21","There's no blacker magic than death, witch.","Audio/Dialogue/Character/Str/Event/Ma_21.ogg","",10000
21,"Marauder22","Your reign is over, bandit king.","Audio/Dialogue/Character/Str/Event/Ma_22.ogg","",10000
22,"Marauder23","It is good to feel your warmth again, Ramako, Father of Light.","Audio/Dialogue/Character/Str/Event/Ma_23.ogg","",10000
23,"Marauder24","You are a welcome sight, daughter of Ngamakanui.","Audio/Dialogue/Character/Str/Event/Ma_24.ogg","",10000
24,"Marauder25","Karui slaves were once bought and sold like pigs here.","Audio/Dialogue/Character/Str/Event/Ma_25.ogg","",10000
25,"Marauder26","To live too long is to live in pain.","Audio/Dialogue/Character/Str/Event/Ma_26.ogg","",10000
26,"Marauder27","This is the Eternal Way, pretty and lifeless.","Audio/Dialogue/Character/Str/Event/Ma_27.ogg","",10000
27,"Marauder28","Piety, you are truly Kitava's slave, a daughter of corruption. ","Audio/Dialogue/Character/Str/Event/Ma_28.ogg","",10000
28,"Marauder29","I will take everything Dominus loves, as he took it from me. ","Audio/Dialogue/Character/Str/Event/Ma_29.ogg","",10000
29,"Marauder30","The Karui do not hide in towers built of fear.","Audio/Dialogue/Character/Str/Event/Ma_30.ogg","",10000
30,"Marauder31","The Empire dies with you, Dominus. The Karui will never again be slaves.","Audio/Dialogue/Character/Str/Event/Ma_31.ogg","",10000
31,"Marauder32","I am honoured to serve you, my Ancestor.","Audio/Dialogue/Character/Str/Event/Ma_32.ogg","",10000
32,"Marauder33","\""Follow a dead river to the foot of Kitava's kingdom.\"" Just how the elders at home told it.","Audio/Dialogue/Character/Str/Event/Ma_36.ogg","",10000
