"rownum","Id","UITalkCategoriesKey","OGGFile","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool","NPCTextAudio"
0,"Incursion_FirstIncursionGreeting",1,"Audio/Dialogue/NPC/BetrayalLeague/Alva/AV_04.ogg","I've found a way to blaze a trail to the legendary temple of Atzoatl. A spell cast upon these ancient waystones, triggered by the blood of the Vaal. I've got some in me, you see. This spell will take you into days past. Once there, keep the portal open by slitting a few deserving throats. The longer you stay, the more I learn about the location of the present day temple. \r\n\r\nOnce we find it, we'll have all the time in the world to collect its many treasures. That's why we need to find the temple in the here and now. Be careful what you do while you're there, however. Any move you make ripples through time, changing things in this day and age. Well, what are you waiting for? ...Go make history!","J’ai découvert un moyen de nous frayer un chemin jusqu’au légendaire Temple d'Atzoatl. Il s’agit d’un sortilège jeté sur ces jalons antiques qui se déclenche au contact du sang des Vaal ; or, il se trouve qu'un peu de ce sang coule justement dans mes veines. Le sortilège en question vous transportera au temps jadis grâce à un portail que vous maintiendrez ouvert en tranchant des gorges qui n'auront pas mérité mieux. Plus vous y resterez longtemps, plus j’obtiendrai des indices sur l’emplacement actuel du Temple.\r\n\r\nLorsque nous aurons enfin localisé ce dernier, nous aurons tout le loisir de faire main basse sur ses nombreux trésors. C'est pourquoi nous devons découvrir où il se trouve maintenant. Par contre, attention à ce que vous ferez quand vous y serez ; toutes vos actions se répercuteront à travers le temps pour venir altérer le Temple à notre époque. Eh bien, qu’attendez-vous ? Allez entrer dans l’Histoire !","Ich habe eine Möglichkeit gefunden, uns einen Weg zu diesem vergessenen Tempel zu bahnen. Ein Zauber, ausgelöst durch Vaal-Blut. Ich trage welches in mir, wisst Ihr. Dieser Zauber führt Euch in vergangene Zeiten. Dort angekommen haltet Ihr das Portal offen, indem Ihr denen die Kehle aufschlitzt, die es verdient haben. Je länger Euer Aufenthalt ausfällt, desto mehr erfahre ich über die Lage des Tempels in unserer Gegenwart.\r\n\r\nSobald wir seinen Fundort ausfindig gemacht haben, bleibt uns alle Zeit der Welt, seine vielen Schätze zu bergen. Deshalb müssen wir den Tempel im Hier und Jetzt finden. Seid jedoch vorsichtig, was Ihr dort unternehmt, während Ihr dort seid. Jede Eurer Änderungen wirkt sich auf die Zeit aus und verändert die Dinge im Hier und Jetzt. Nun, worauf wartet Ihr noch? ... Geht und schreibt Geschichte!","私はアッツォアトルの伝説の寺院への道を切り開く方法を見つけたの。ある呪文をこの古代のウェイストーンに唱えるとヴァールの血で起動する。どうやら私の中にも流れているみたい。この呪文はあなたを過去に連れていく。そこに着いたら相応しい喉を切り裂くことでポータルを開いておくことができるわ。長く滞在すればするほど 現在の寺院の場所をより知ることができる。\r\n\r\n寺院を見つけたら好きなだけ時間を使って、そこにある宝を手に入れることができるわ。だからこそ今ここで寺院を見つける必要があるの。でも気を付けて、あなたが過去にいる間に何をするかを。あなたが過去で起こした小さなさざ波が、時を超えて現在を変化させるわ。さぁ、何を待っているの？.....ゴー・メイク・ヒストリー！","전설적인 앗조아틀 사원으로의 길을 열 방법을 찾았어. 이런 고대의 차원돌에 주문이 걸려 있는데, 바알인의 피로 이걸 작동시킬 수 있거든. 그리고 나한테도 조금이나마 바알인의 피가 흐르긴 하고 말이야. 이 주문은 너를 과거로 보내줄 거야. 거기에 가면, 눈에 보이는 건 모조리 목을 베서 포탈을 열어두도록 해. 더 오래 과거에 있을수록 현대에 사원이 어디에 있는지 더 많이 알아낼 수 있게 되거든.\r\n\r\n위치를 찾아내게 되면, 우리는 세상에서 제일가는 부자가 될 거야. 그러니까 당장이라도 시작하자. 하지만 과거에 가서는 조심해야 해. 거기서 잔물결만 일으켜도 현재와 시대 자체가 변해버릴 수 있으니까. 주저할 거 없잖아? 역사를 새로 쓰러 가라고!","Encontrei uma forma de acender um caminho até o lendário templo de Atzoatl. Uma magia conjurada nessas pedras angulares ancestrais, ativada pelo sangue dos Vaal. Eu tenho um pouco dentro de mim, sabe. Essa magia o levará até dias passados. Uma vez lá, mantenha o portal aberto cortando algumas gargantas merecedoras. Quanto mais tempo ficar, mais eu aprendo sobre a localização do templo nos dias atuais.\r\n\r\nUma vez que o encontremos, teremos todo o tempo do mundo para coletar seus vários tesouros. É por isso que precisamos encontrar o templo aqui e agora. Porém cuidado com o que faz enquanto estiver lá. Qualquer acão que fizer trará as consequências através do tempo e espaço, mudando as coisas nos dias de hoje também. Entao, o que está esperando? ...Vá fazer história!","Я придумала, как проложить путь к заброшенному храму. Есть одно заклинание на основе крови ваал. Видишь ли, такая кровь есть и во мне. Это заклинание отправит тебя в прошлое. Оказавшись там, держи портал открытым. Для этого надо перерезать пару подходящих глоток. Чем дольше ты там задержишься, тем больше я вызнаю о местонахождении храма. \r\n\r\nНайдя его в нашем времени, мы с тобой сможем не спеша и полностью его обчистить. Но для этого надо отыскать храм в настоящем, здесь и сейчас. Знай, что прошлое не терпит беспечности. Словно рябью по воде, последствия всех твоих поступков дойдут наших дней и могут изменить настоящее. Ну, чего ты ждёшь?.. Иди, твори историю!","He encontrado una manera de abrir un camino al legendario templo de Atzoatl. Un hechizo lanzado sobre antiguas piedras del camino, activado por la sangre de los Vaal. Tengo un poco en mí. Este hechizo te llevará al pasado. Una vez allí, mantén el portal abierto degollando algunas gargantas merecedoras. Cuanto más tiempo permanezcas allí, más aprenderé acerca de la ubicación del templo del presente.\r\n\r\nUna vez lo encontremos, tendremos todo el tiempo del mundo para recoger sus muchos tesoros. Por eso tenemos que encontrar el templo en el presente. Pero ten cuidado con lo que haces mientras estás allí, ya que cualquier movimiento que hagas cambiará en el tiempo, y cambiará cosas en el presente. Bueno, ¿a qué estás esperando? ¡Ve a hacer historia!","ข้า​พบ​วิธี​เปิด​ทาง​ไป​ยัง​วิหาร​แอ็ทโซแอทล์​ใน​ตำนาน​นั่น​แล้ว หิน​นำทาง​เหล่า​นี้​ใช้​คาถา​ปลุก​ได้​ด้วย​เลือด​ของ​พวก​วาล์ ข้า​ยัง​มี​สาย​เลือด​พวก​นั้น​ในตัว​ข้า​น่ะ คาถา​นี้​จะ​พา​เจ้า​ย้อน​เวลา​ไป​ได้ เมื่อ​อยู่​ที่​นั่น​แล้ว เจ้า​จะ​สามารถ​เปิด​ประตู​มิติ​ค้าง​ไว้​ได้​ด้วย​การ​ปาด​คอ​คน​ที่​สมควร​ตาย​สัก​คน​สอง​คน ยิ่ง​เจ้า​อยู่​นาน ข้า​จะ​ได้​รู้​ตำแหน่ง​ปัจจุบัน​ของ​วิหาร​นั่น​มาก​ขึ้น\r\n\r\nเมื่อ​เรา​หา​วิหาร​นั่น​เจอ​เรา​จะ​มี​เวลา​ตาม​ต้องการ​เพื่อ​กอบโกย​ทรัพย์​สมบัติ​มหาศาล​ใน​นั้น เรา​ถึง​ต้องหา​วิหาร​ตอน​นี้​ที่​นี่ แต่​ระวัง​สิ่ง​ที่​เจ้า​ทำ​ระหว่าง​อยู่​ใน​โลก​อดีต​ไว้​ละ​กัน เพราะ​มัน​จะ​ส่ง​ผล​มา​ถึง​โลก​ปัจจุบัน เอาละ แล้ว​จะ​รอ​อะไร​อยู่​อีก​เล่า? ...ไป​สร้าง​ประวัติศาสตร์​เลย!","我發現一個從未被使用過的方法來找到被遺忘的神殿。一種被瓦爾之血觸動的法術。我體內留藏著部分瓦爾之血，你看著吧。這個法術會將你帶回到過去。當回到過去時，為了要使傳送門持續開啟，要獻祭些該死的人。你待的越久，我越能找到神殿現今的位置。\r\n\r\n一旦我們找到了，我們將有一大堆時間可以搜刮神殿內的財寶。這也就是為什麼我們要找到神殿現今的位置。但小心，無論你在過去所做的任何事情。任何舉動都會影響到未來。那麼你還在等什麼？…去創造歷史吧！",1,""
1,"Incursion_FirstIncursionComplete",2,"Audio/Dialogue/NPC/Alva/AV05.ogg","Good to see you survived your first Incursion. ","Heureuse de voir que vous avez survécu à votre première Incursion.","Schön zu sehen, dass Ihr Eure erste Inkursion überlebt habt.","最初のインカージョンで生き残ることができてよかったわ。","첫 기습에서 무사히 살아 돌아왔구나. 다행이야.","É bom ver que você sobreviveu sua primeira incursão.","Хорошо, что тебе удалось выжить при первом вмешательстве.","Me alegra ver que has sobrevivido a tu primera Incursión.","ดี​ที่​ได้​เจอ​เจ้า​รอด​จาก​การ​ย้อน​เวลา​ครั้ง​แรก","很高興你從第一次穿越任務活著回來。",1,""
2,"Incursion_FirstIncursionFarewell",3,"Audio/Dialogue/NPC/Alva/AV09.ogg","Listen, these blood spells are fickle things. They must be performed under certain conditions - days of the week, stars aligned... that sort of thing. I'll scout out a new location to perform the next ritual. Find me and we'll continue our venture!","Ces sorts de sang étant d'une nature capricieuse, ils doivent être exécutés sous certaines conditions : un jour précis de la semaine, un alignement d'étoiles particulier, ce genre de choses. Je vais tout de suite partir en quête d'un nouvel endroit où accomplir le prochain rituel. Tâchez de me retrouver, que nous puissions poursuivre notre entreprise !","Hört zu, diese Blutzauber sind äußerst unbeständig. Sie müssen unter bestimmten Bedingungen durchgeführt werden - der Tag und die Konstellation der Sterne spielen dabei eine entscheidende Rolle ... oder so etwas in der Art. Ich werde einen neuen Ort ausfindig machen, um das nächste Ritual durchzuführen. Findet mich und wir setzen unser Vorhaben fort!","聞いて、この血の呪文はとても気まぐれなの。特定の条件下で行う必要があるわ---曜日とか、星の並びとか...そういうものなの。私は次の儀式を行う新しい場所を探しに行くわ。私を見つけて、冒険を続けましょ！","이봐, 이런 피의 주문들은 안정성이 좀 떨어져. 쓰려면 이런저런 조건들이 필요하지. 특정 요일이라거나, 별의 정렬이라거나... 뭐 그런 여러가지 말이야. 다음 의식을 벌일만한 새로운 곳이 있는지 찾아볼게. 또 만나면 다음번 모험을 계속하자고!","Olha, estas magias de sangue são coisas traiçoeiras. Elas devem ser feitas sob certas circunstâncias - dias da semana, alinhamento estrelar...esse tipo de coisa. Eu vou dar uma olhada em uma nova localização para o próximo ritual. Me encontre e nós continuaremos nossa aventura.","Видишь ли, заклятья на крови очень капризны. Их следует творить в определённых условиях: в нужные дни недели, при должном схождении звёзд... Всё такое. Я разыщу новое место для проведения следующего ритуала. Как найдёшь меня, так и продолжим!","Escucha, estos hechizos de sangre son caprichosos. Se deben llevar a cabo bajo ciertas condiciones como días de la semana, alineaciones de estrellas... esas cosas. Investigaré para encontrar una ubicación nueva para el próximo ritual. ¡Encuéntrame y continuaremos nuestra aventura!","ฟังนะ คำสาปเลือดนี่มันแปรปรวนมาก เงื่อนไขต้องเป๊ะ ต้องวันนั้นๆ ดาวต้องเรียงตัว... อะไรเทือกนั้น ข้าจะสำรวจหาที่ทำพิธีใหม่ละกัน หาข้าให้เจอแล้วเราจะลุยกันต่อ!","聽著，這個血咒是變幻莫測的東西。他們必須在某種特定條件下才能發動 - 像是一週的某幾天，星星的排列…等。我會找到新的地點來進行下場儀式。找到我，讓我們繼續冒險吧！",1,""
3,"Incursion_SecondIncursionGreeting",4,"Audio/Dialogue/NPC/Alva/AV10.ogg","I knew you'd find me. You and I, we're two coins in the same purse. Your last foray got us a little closer to finding the temple, but we have a ways to go. Hope you're ready for another!","Je savais que vous parviendriez à me retrouver ; vous et moi, on est comme les deux faces d'une même pièce. Votre précédente Incursion nous rapproche légèrement du Temple, mais comme la route est encore longue, j'espère que vous êtes d'humeur à remettre ça !","Ich wusste, dass Ihr mich finden würdet, schließlich hat uns das Schicksal zusammengeführt. Euer letzter Beutezug hat uns dem Tempel ein wenig näher gebracht, doch es gibt noch einiges zu tun. Ich hoffe, Ihr seid bereit für das nächste Abenteuer!","見つけてくれると思ってたわ。あなたと私、私達は同じ財布のコインみたいなもの。前回の冒険で少しは寺院に近づいたけど、まだ道半ば。次への準備、できてるわよね！","날 찾아낼 줄 알았어. 뭐랄까. 너랑 난 한 지갑에 들어있는 동전 두 개인 셈이거든. 지난번 시도로 신전에 가까워지기는 했지만, 아직도 갈 길이 머네. 준비가 되어있길 바라!","Eu sabia que me encontraria. Nós somos farinha do mesmo saco. Sua última aventura nos levou um pouco mais perto de encontrar o templo, mas temos muito o que fazer. Espero que esteja pronto para outra.","Я знала, что ты меня найдёшь. Мы с тобой будто две монетки в одном кошельке. Твоя последняя вылазка чуть приблизила нас к нахождению храма, но впереди ещё долгий путь. Надеюсь, тебе не терпится продолжить!","Sabía que me encontrarías. Tú y yo somos dos caras de la misma moneda. Tu última incursión nos acercó un poco más a encontrar el templo, pero aún queda camino por recorrer. ¡Espero estés listo para otra más!","ข้า​รู้​ว่า​เจ้า​ต้องหา​ข้า​เจอ ข้า​กับ​เจ้า​คือ​เหรียญ​สอง​อัน​ในกระเป๋า​เดียวกัน ที่​เจ้า​ไป​ลุย​คราว​ก่อน​ทำให้​เรา​เข้า​ใกล้​ตัว​วิหาร​แล้ว แต่​ยัง​มี​หลาย​อย่าง​ต้อง​ทำ หวัง​ว่า​เจ้า​จะ​พร้อม​นะ!","我就知道你會找到我，你和我都在同一艘船上了。你上次的突襲讓我們離找到神殿更近了，但我們還差一點點。希望你已經準備好下次的穿越任務！",1,""
4,"Incursion_SecondIncursionPortal",5,"Audio/Dialogue/NPC/Alva/AV12.ogg","Look familiar? This is the temple as you left it last time. Every new Incursion changes this map of mine. With enough under our belt, perhaps the Temple's current location will be revealed!","Cela vous paraît familier ? C'est le Temple tel que vous l'avez laissé la dernière fois. Chacune de vos Incursions apporte des modifications à mon plan. Lorsque nous en aurons suffisamment occasionné, peut-être l'emplacement actuel du Temple nous sera-t-il révélé !","Kommt Euch das bekannt vor? Das ist der Tempel, wie Ihr ihn hinterlassen habt. Mit jeder neuen Inkursion verändert sich meine Karte. Nach einigen Raubzügen kommen wir dem Standort des Tempels in der Gegenwart vielleicht etwas näher!","見覚えある？ここは前回あなたが離れた時の寺院。新しいインカージョンを行うたびに、この地図は変化するわ。十分な経験を積めば、寺院の現在地が明らかになるかもしれない!","좀 익숙해 보여? 네가 지난번에 떠났던 그 사원이야. 기습이 진행될 때마다 내 지도도 거기에 맞춰서 갱신되거든. 이렇게 경험을 쌓다 보면 사원의 현재 위치가 드러나지 않겠어?","Parece familiar? Este é o templo como você deixou da última vez. Cada nova incursão muda este meu mapa. Quando fizer incursões suficientes, talvez a localização atual do Templo seja revelada!","Знакомое здание? В последний раз тебе довелось побывать именно здесь. С каждым новым вмешательством моя карта меняется. Если достаточно разберёмся, то сможем отыскать храм в настоящем!","¿Te resulta familiar? Así es como dejaste el templo la última vez. Cada nueva Incursión cambia mi mapa. Si sigues progresando, ¡es posible que la ubicación actual del Templo sea revelada!","ดู​คุ้นๆ ไหม? นี่​คือ​วิหาร​ที่​เจ้า​จาก​มา​ครั้ง​ก่อน การ​ย้อน​เวลา​ใหม่ๆ จะ​เปลี่ยน​แผนที่​ข้า​แบบ​นี้ หาก​เรา​ย้อน​เวลา​ไป​มาก​พอ เรา​อาจ​จะ​หา​ตำแหน่ง​ปัจจุบัน​ของ​วิหาร​เจอ​ก็​ได้!","似曾相識？這就是你上次離開的那座神殿。每次的穿越任務都會改變我手中的地圖。在完成足夠的穿越任務後，或許神殿現在的位置就會浮現出來了！",1,""
5,"Incursion_GenericIncursionGreeting",6,"Audio/Dialogue/NPC/Alva/AV11.ogg","Ah there you are. Ready to revisit the past? The more you kill, the more you change my map, and the closer we get to finding the Temple in the present day.","Ah, vous revoilà. On retourne dans le passé ? Plus vous ferez couler le sang, plus vous apporterez des modifications à mon plan, et plus nous serons à même de localiser le Temple dans le présent.","Ah, da seid Ihr ja. Seid Ihr bereit, der Vergangenheit einen Besuch abzustatten? Je mehr Blut Ihr vergießt, desto mehr Ihr meine Karte verändert, desto eher kommen wir dem Tempel in der Gegenwart auf die Spur.","あぁ、ここにいたの。過去を再び訪れる準備はいい？あなたが倒せば倒すほど、私のマップはより変化して、現在の寺院の発見に近づいていくわ。","또 만났네. 과거로 다시 떠날 준비는 됐어? 더 많이 죽일수록 내 지도도 더 많이 바뀐다는 거 명심해. 그럴수록 현재의 신전이 어디에 있는지에도 더 가까워질 거고.","Ah, aí está você. Preparado para revisitar o passado? Quando mais matar, mais você muda meu mapa, e mais perto chegarmos de encontrar o Templo nos dias atuais.","Вот и ты. Ну что, пора вернуться в прошлое? Чем больше ты убьёшь, тем сильнее изменится моя карта, и тем ближе мы станем к нахождению храма в настоящем.","Ahí estás. ¿Listo para revisitar el pasado? Cuanto más matas, más cambias mi mapa, y más nos acercamos a encontrar el Templo en nuestro tiempo.","อ้อ เจ้า​อยู่​นั่น​เอง พร้อม​เจาะ​เวลา​หา​อดีต​หรือ​ยัง? ยิ่ง​เจ้า​ฆ่า​ได้​มาก​ขึ้น เจ้า​ก็​ยิ่ง​เปลี่ยน​แผนที่​ข้า​ได้​มาก​ขึ้น และ​มี​โอกาส​ที่​เรา​จะ​หา​วิหาร​ใน​ยุค​ปัจจุบัน​ได้​มาก​ขึ้น​ด้วย","原來你在這。準備好再次重新造訪過去了嗎？你殺越多，就會改變我的地圖越多，我們也會離找到神殿現在的位置更近。",1,""
6,"Incursion_GenericIncursionPortal_1",7,"Audio/Dialogue/NPC/Alva/AV13_A.ogg","Here's the plan.","Voici le plan.","Das ist der Plan.","計画はこうよ。","내가 계획이 있는데 말이야.","Este é o plano.","Вот наш план.","Este es el plan.","แผน​เรา​เป็น​แบบ​นี้","讓我們這樣做。",1,""
7,"Incursion_GenericIncursionPortal_2",7,"Audio/Dialogue/NPC/Alva/AV13_B.ogg","Let's have a look at the layout.","Jetons un coup d'œil à l'agencement des salles.","Werfen wir einen Blick auf den Grundriss.","レイアウトを確認しましょう。","어디 한번 도식을 좀 볼까.","Vamos dar uma olhada no layout.","Давай взглянем на планировку.","Echemos un vistazo a la disposición.","มา​ดู​ผัง​กัน​เถอะ","讓我們看看神殿的佈局。",1,""
8,"Incursion_GenericIncursionPortal_3",7,"Audio/Dialogue/NPC/Alva/AV13_C.ogg","Every Incursion needs proper preparations.","Chaque Incursion nécessite une préparation adéquate.","Jede Inkursion erfordert eine gute Vorbereitung.","すべてのインカージョンは適切な取り扱いが必要よ。","기습을 들어가기 전에 적절한 준비를 하는 거 잊지 마.","Cada Incursão precisa de preparações.","К любому вмешательству надо как следует готовиться.","Cada incursión requiere preparativos adecuados.","การ​ย้อนเวลา​แต่ละ​ครั้ง​จะ​ต้อง​เตรียม​การ​ให้​ดี","每次的穿越都要做好準備。",1,""
9,"Incursion_GenericIncursionPortal_4",7,"Audio/Dialogue/NPC/Alva/AV13_D.ogg","Have a look at where you're going.","Voyez votre prochaine destination.","Schaut Euch an, welchen Weg Ihr einschlagen werdet.","あなたが行く場所を見てみましょう。","어디로 진행하고 있는지 반드시 명심하라고.","Dê uma olhada em onde está indo.","Смотри, куда ты направишься.","Echa un vistazo a donde irás.","ดู​ที่​ที่​เจ้า​จะ​ไป​ก่อน","看看你要去的地方。",1,""
