"rownum","Id","Button1","Button2","i32"
0,"A_Y",10,13,1
1,"A_X",10,12,1
2,"A_B",10,11,1
3,"X_Y",12,13,1
4,"X_B",12,11,1
5,"Y_B",13,11,1
6,"RTrigger_A",15,10,0
7,"RTrigger_B",15,11,0
8,"RTrigger_X",15,12,0
9,"RTrigger_Y",15,13,0
10,"LTrigger_A",14,10,0
11,"LTrigger_B",14,11,0
12,"LTrigger_X",14,12,0
13,"LTrigger_Y",14,13,0
14,"RTrigger_RThumb",15,7,0
15,"RTrigger_LThumb",15,6,0
16,"LTrigger_RThumb",14,7,0
17,"LTrigger_LThumb",14,6,0
18,"LThumb_DpadU",6,0,0
19,"LThumb_DpadD",6,1,0
20,"LThumb_DpadL",6,2,0
21,"LThumb_DpadR",6,3,0
22,"RThumb_DpadU",7,0,0
23,"RThumb_DpadD",7,1,0
24,"RThumb_DpadL",7,2,0
25,"RThumb_DpadR",7,3,0
26,"LThumb_A",6,10,0
27,"LThumb_B",6,11,0
28,"LThumb_X",6,12,0
29,"LThumb_Y",6,13,0
30,"RThumb_A",7,10,0
31,"RThumb_B",7,11,0
32,"RThumb_X",7,12,0
33,"RThumb_Y",7,13,0
34,"LThumb_Start",6,4,0
35,"LThumb_Back",6,5,0
36,"RThumb_Start",7,4,0
37,"RThumb_Back",7,5,0
38,"LThumb_LShoulder",6,8,0
39,"LThumb_RShoulder",6,9,0
40,"RThumb_LShoulder",7,8,0
41,"RThumb_RShoulder",7,9,0
42,"LThumb_LTrigger",6,14,0
43,"LThumb_RTrigger",6,15,0
44,"RThumb_LTrigger",7,14,0
45,"RThumb_RTrigger",15,15,0
46,"LTrigger_DpadU",14,0,0
47,"LTrigger_DpadD",14,1,0
48,"LTrigger_DpadL",14,2,0
49,"LTrigger_DpadR",14,3,0
50,"RTrigger_DpadU",15,0,0
51,"RTrigger_DpadD",15,1,0
52,"RTrigger_DpadL",15,2,0
53,"RTrigger_DpadR",15,3,0
