"rownum","rid","i32","i32","rid","i32","i32","i32","rid","row","i32","i32","i32","bool"
0,2,0,1017370378,13268,1793,768,-16843264,"","",-16843010,128254,384000,""
1,3,0,1050253722,13307,1793,768,-16843264,"","",-16843010,128254,384000,""
2,6,0,1045220557,13317,1793,768,-16843264,"","",-16843010,128254,384000,""
3,4,0,1056964608,13284,1793,768,-16843264,"","",-16843010,128254,384000,""
4,5,0,1028443341,13293,1793,768,-16843264,"","",-16843010,128254,384000,""
5,1,0,1017370378,13247,1793,768,-16843264,"","",-16843010,128254,384000,""
6,7,0,1028443341,13337,1793,768,-16843264,"","",-16843010,128254,384000,""
7,8,0,1045220557,13325,1793,768,-16843264,"","",-16843010,128254,384000,""
8,9,0,1045220557,13335,1793,768,-16843264,"","",-16843010,128254,384000,""
9,2,0,1017370378,13373,1793,768,-16843264,"","",-16843010,128254,384000,""
10,3,0,1050253722,13412,1793,768,-16843264,"","",-16843010,128254,384000,""
11,6,0,1045220557,13422,1793,768,-16843264,"","",-16843010,128254,384000,""
12,4,0,1056964608,13389,1793,768,-16843264,"","",-16843010,128254,384000,""
13,5,0,1028443341,13398,1793,768,-16843264,"","",-16843010,128254,384000,""
14,1,0,1017370378,13345,1793,768,-16843264,"","",-16843010,128254,384000,""
15,7,0,1028443341,13449,1793,768,-16843264,"","",-16843010,128254,384000,""
16,8,0,1045220557,13430,1793,768,-16843264,"","",-16843010,128254,384000,""
17,9,0,1045220557,13440,1793,768,-16843264,"","",-16843010,128254,384000,""
18,2,0,1017370378,13480,1793,768,-16843264,"","",-16843010,128254,384000,""
19,3,0,1050253722,13517,1793,768,-16843264,"","",-16843010,128254,384000,""
20,6,0,1045220557,13526,1793,768,-16843264,"","",-16843010,128254,384000,""
21,4,0,1056964608,13496,1793,768,-16843264,"","",-16843010,128254,384000,""
22,5,0,1028443341,13505,1793,768,-16843264,"","",-16843010,128254,384000,""
23,1,0,1017370378,13458,1793,768,-16843264,"","",-16843010,128254,384000,""
24,7,0,1028443341,13546,1793,768,-16843264,"","",-16843010,128254,384000,""
25,8,0,1045220557,13534,1793,768,-16843264,"","",-16843010,128254,384000,""
26,9,0,1045220557,13543,1793,768,-16843264,"","",-16843010,128254,384000,""
27,2,0,1017370378,13575,1793,768,-16843264,"","",-16843010,128254,384000,""
28,3,0,1050253722,13614,1793,768,-16843264,"","",-16843010,128254,384000,""
29,6,0,1045220557,13623,1793,768,-16843264,"","",-16843010,128254,384000,""
30,4,0,1056964608,13591,1793,768,-16843264,"","",-16843010,128254,384000,""
31,5,0,1028443341,13601,1793,768,-16843264,"","",-16843010,128254,384000,""
32,1,0,1017370378,13554,1793,768,-16843264,"","",-16843010,128254,384000,""
33,7,0,1028443341,13643,1793,768,-16843264,"","",-16843010,128254,384000,""
34,8,0,1045220557,13631,1793,768,-16843264,"","",-16843010,128254,384000,""
35,9,0,1045220557,13640,1793,768,-16843264,"","",-16843010,128254,384000,""
36,11,0,1065353216,"",1280,768,-16843264,"","",-16843010,254,0,""
37,12,0,1065353216,"",512,768,-16843264,"","",-16843010,254,0,""
38,13,0,1065353216,"",512,768,-16843264,"","",-16843010,254,0,""
39,14,0,1065353216,"",512,768,-16843264,"","",-16843010,254,0,""
40,15,0,1065353216,"",1792,768,-16843264,"","",-16843010,254,0,""
41,17,0,1065353216,"",1792,768,-16843264,"","",-16843010,254,0,""
42,16,0,1065353216,"",1792,768,-16843264,"","",-16843010,254,0,""
