"rownum","ChestsKey","SpawnWeight","i32","IsCartographerBox","bool","SpawnWeightIncrease","SpawnWeightHardmode"
0,248,40,5,"",1,15514,0
1,250,0,5,"","","",0
2,251,100,15,"",1,"",0
3,252,100,12,"",1,"",0
4,253,80,5,"",1,"",0
5,254,20,5,"",1,"",0
6,255,16,5,1,1,15515,0
7,256,10,5,1,1,15515,0
8,257,4,5,1,1,15515,0
9,258,2,5,1,1,15515,0
10,259,0,5,"","","",0
11,260,0,5,1,1,"",0
12,261,0,5,"",1,"",0
13,262,40,5,"",1,17032,0
14,263,0,5,"","","",0
15,264,80,5,"",1,"",0
16,265,60,10,"",1,"",0
17,266,0,10,"","","",0
18,267,40,10,"",1,"",0
19,268,0,10,"","","",0
20,269,600,5,"",1,"",0
21,270,0,5,"","","",0
22,271,20,5,1,1,15516,0
23,273,0,5,"","","",0
24,487,0,5,"","","",0
25,249,0,5,"",1,"",0
26,1589,0,5,1,1,"",0
27,1590,0,10,1,1,"",0
28,1591,0,10,1,1,"",0
29,272,0,5,1,1,"",0
30,2311,0,5,1,"","",0
31,275,0,5,"",1,15514,10
32,276,0,15,"",1,"",100
33,277,0,12,"",1,"",100
34,278,0,5,"",1,"",10
35,279,0,5,"",1,"",5
36,280,0,5,1,1,15515,4
37,281,0,5,1,1,15515,3
38,282,0,5,1,1,15515,2
39,283,0,5,1,1,15515,1
40,284,0,5,"",1,17032,10
41,285,0,5,"",1,"",10
42,286,0,10,"",1,"",60
43,287,0,10,"",1,"",40
44,288,0,5,"",1,"",500
