"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","WorldAreasKeys","UIImage","SpawnWeight_Depth","SpawnWeight_Values","[i32]","[i32]","Art2D","AchievementItemsKeys","bool","[i32]"
0,"Mines","Mines","Mine","Minen","鉱山","광산","Minas","Шахты","Minas","เหมือง","碧藍礦脈","[319,320,321,322,323,324,325,326]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/Mines","[0,30,52]","[100,100,0]","[5,5,5]","[10,15,5]","Art/2DArt/DelveMap/MinesGround",[],"",[0]
1,"FungalCaverns","Fungal Caverns","Cavernes fongiques","Pilzbewachsene Höhlen","真菌の洞窟","곰팡이 암굴","Cavernas Fungais","Грибковые пещеры","Cavernas fúngicas","ถ้ำเชื้อรา","毒菌洞穴","[327,328,329,330,331,332,333,334]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/FungalCaverns","[4,20]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/FungalGround",[],"",[0]
2,"PetrifiedForest","Petrified Forest","Forêt pétrifiée","Versteinerter Wald","石化した森","석화된 숲","Floresta Petrificada","Окаменевший лес","Bosque petrificado","ป่าหิน","化石密叢","[335,336,337,338,339,340,341,342]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/PetrifiedForest","[4,20]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/PetrifiedGround",[],"",[0]
3,"AbyssalDepths","Abyssal Depths","Profondeurs abyssales","Abgründige Tiefen","アビスの深淵","심연 지하","Profundezas Abissais","Глубины Бездны","Profundidades abisales","เบื้องลึกอะบิส","絕望深淵","[343,344,345,346,347,348,349,350]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/AbyssalDepths","[10,25]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/AbyssalGround",[],"",[0]
4,"FrozenHollow","Frozen Hollow","Gouffre gelé","Gefrorener Hohlraum","凍結した空洞","얼어붙은 동혈","Vazio Congelado","Замёрзшая впадина","Gruta helada","โพรงเยือกแข็ง","冰血魔域","[351,352,353,354,355,356,357,358]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/FrozenHollow","[15,30]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/FrozenGround",[],"",[0]
5,"MagmaFissure","Magma Fissure","Crevasse magmatique","Magmaspalte","マグマの裂け目","마그마 균열","Fissura de Magma","Магмовая трещина","Fisura de magma","แนวแตกหินหลอม","熾岩狹縫","[359,360,361,362,363,364,365,366]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/MagmaFissure","[20,40]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/MagmaGround",[],"",[0]
6,"SulphurVents","Sulphur Vents","Geysers de soufre","Schwefelquellen","硫黄噴出孔","유황 분출구","Rachaduras de Enxofre","Серное озеро","Fumarolas de azufre","ปล่องซัลเฟอร์","硫磺噴泉","[367,368,369,370,371,372,373,374]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/SulphurVents","[35,55]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/SulphurGround",[],"",[0]
7,"VaalOutpost","Vaal Outpost","Avant-poste vaal","Vaal-Außenposten","ヴァールの拠点","바알 요새","Vigílha Vaal","Форпост ваал","Puesto de avanzada vaal","ด่านหน้าวาล์","瓦爾哨站","[375,376,377,378,379,380,381,382]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/VaalOutpost","[32,63,200]","[0,14,23]","[7,8,9]","[9,11,13]","Art/2DArt/DelveMap/VaalGround",[],1,[0]
8,"AbyssalCity","Abyssal City","Cité abyssale","Tiefenstadt","アビスの都市","심연의 도시","Cidade Abissal","Город Бездны","Ciudad abisal","นครอะบิส","深淵古城","[383,384,385,386,387,388,389,390]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/AbyssalCity","[70,135,350]","[0,14,23]","[7,8,9]","[9,11,13]","Art/2DArt/DelveMap/AbyssalCityGround",[],1,[0]
9,"Primeval","Primeval Ruins","Ruines primitives","Urzeitliche Ruinen","太古の遺跡","원시 유적","Ruínas Primitivas","Первобытные руины","Ruinas primitivas","ซากปรักหักพังบรรพกาล","先祖遺址","[391,392,393,394,395,396,397,398]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/PrimevalRuins","[110,200,500]","[0,9,17]","[7,8,9]","[9,11,13]","Art/2DArt/DelveMap/PrimevalGround",[],1,[0]
