"rownum","Id","PosX","PosY","Order","SizeX","SizeY","bool","Tab","i32","IsDisabled","Subtab","FragmentItems","i32","i32","i32","bool"
0,"Metadata/Items/MapFragments/CurrencyVaalFragment1_1",220,74,0,1,1,"",0,70,"",0,[7263],33280,0,0,""
1,"Metadata/Items/MapFragments/CurrencyVaalFragment1_2",220,169,1,1,1,"",0,70,"",0,[7264],33280,0,0,""
2,"Metadata/Items/MapFragments/CurrencyVaalFragment1_3",122,169,2,1,1,"",0,70,"",0,[7265],33280,0,0,""
3,"Metadata/Items/MapFragments/CurrencyVaalFragment1_4",122,74,3,1,1,"",0,70,"",0,[7266],33280,0,0,""
4,"Metadata/Items/MapFragments/CurrencyVaalFragment2_1",744,74,4,1,1,"",0,70,"",0,[7268],33280,0,0,""
5,"Metadata/Items/MapFragments/CurrencyVaalFragment2_2",744,169,5,1,1,"",0,70,"",0,[7269],33280,0,0,""
6,"Metadata/Items/MapFragments/CurrencyVaalFragment2_3",647,169,6,1,1,"",0,70,"",0,[7270],33280,0,0,""
7,"Metadata/Items/MapFragments/CurrencyVaalFragment2_4",647,74,7,1,1,"",0,70,"",0,[7271],33280,0,0,""
8,"Metadata/Items/MapFragments/CurrencyProphecyFragment1",482,74,8,1,1,"",0,70,1,0,[7273],33280,0,0,""
9,"Metadata/Items/MapFragments/CurrencyProphecyFragment2",482,169,9,1,1,"",0,70,1,0,[7274],33280,0,0,""
10,"Metadata/Items/MapFragments/CurrencyProphecyFragment3",385,169,10,1,1,"",0,70,1,0,[7275],33280,0,0,""
11,"Metadata/Items/MapFragments/CurrencyProphecyFragment4",385,74,11,1,1,"",0,70,1,0,[7276],33280,0,0,""
12,"Metadata/Items/MapFragments/CurrencyShaperFragment1",482,697,12,1,1,"",0,70,"",0,[7278],33280,0,0,""
13,"Metadata/Items/MapFragments/CurrencyShaperFragment2",482,791,13,1,1,"",0,70,"",0,[7279],33280,0,0,""
14,"Metadata/Items/MapFragments/CurrencyShaperFragment3",385,791,14,1,1,"",0,70,"",0,[7280],33280,0,0,""
15,"Metadata/Items/MapFragments/CurrencyShaperFragment4",385,697,15,1,1,"",0,70,"",0,[7281],33280,0,0,""
16,"Metadata/Items/MapFragments/CurrencyFragmentPantheonFlask",122,584,16,1,1,"",0,70,"",0,[7298],33280,0,0,""
17,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire",228,315,17,1,1,"",1,74,"",0,[7299],573952,0,2560,""
18,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold",329,315,18,1,1,"",1,74,"",0,[7300],643072,0,2816,""
19,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning",430,315,19,1,1,"",1,74,"",0,[7301],714752,0,3072,""
20,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical",532,315,20,1,1,"",1,74,"",0,[7302],788480,0,3328,""
21,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos",633,315,21,1,1,"",1,74,"",0,[7303],860160,0,3584,""
22,"Metadata/Items/Currency/CurrencyBreachFireShard",228,197,22,1,1,1,1,74,"",0,[187],926208,0,1280,""
