"rownum","EPKFile1","i32","string","i32","i32","i32","i32","i32","i32","i32","bool","bool"
0,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_claw.epk",0,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_claw.epk",65,11,65,47104,0,12058624,0,"",""
1,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_onehand.epk",0,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_onehand.epk",120,11,120,47104,0,12058624,0,"",""
2,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_staffmain.epk",0,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_staffmain.epk",150,13,150,47104,0,12058624,0,"",""
3,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_staffoff.epk",0,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_staffoff.epk",150,13,150,47104,0,12058624,0,"",""
4,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_twohand.epk",0,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_twohand.epk",150,13,150,47104,0,12058624,0,"",""
5,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_L_unarmed.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_L_unarmed.epk",65,11,65,47104,0,12058624,0,"",""
6,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_R_unarmed.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_R_unarmed.epk",65,11,65,47104,0,12058624,0,"",""
7,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_onehand_L.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_onehand_L.epk",120,11,120,47104,0,12058624,0,"",""
8,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_onehand_R.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_onehand_R.epk",120,11,120,47104,0,12058624,0,"",""
9,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_twohand.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_twohand.epk",200,13,200,47104,0,12058624,0,"",""
10,"Metadata/Effects/Spells/default_attack/claw_unarded.epk",0,"",65,11,65,502272,0,12058624,0,"",""
11,"Metadata/Effects/Spells/default_attack/claw_unarded_L.epk",0,"",65,11,65,502272,0,12058624,0,"",""
12,"Metadata/Effects/Spells/default_attack/one_handed.epk",0,"",120,11,120,595968,0,12058624,0,"",""
13,"Metadata/Effects/Spells/default_attack/one_handed_L.epk",0,"",120,11,120,595968,0,12058624,0,"",""
14,"Metadata/Effects/Spells/default_attack/staff_main.epk",0,"",150,13,150,687616,0,12058624,0,"",""
15,"Metadata/Effects/Spells/default_attack/staff_off.epk",0,"",150,13,150,749568,0,12058624,0,"",""
16,"Metadata/Effects/Spells/default_attack/two_handed.epk",0,"",150,13,150,687616,0,12058624,0,"",""
17,"Metadata/Effects/Spells/default_attack/claw_unarded.epk Fixed Length",0,"Metadata/Effects/Spells/default_attack/claw_unarded.epk",65,0,65,47104,0,12058624,0,"",""
18,"Metadata/Effects/Spells/default_attack/claw_unarded_L.epk Fixed Length",0,"Metadata/Effects/Spells/default_attack/claw_unarded_L.epk",65,0,65,47104,0,12058624,0,"",""
19,"Metadata/Effects/Spells/default_attack/one_handed.epk Fixed Length",0,"Metadata/Effects/Spells/default_attack/one_handed.epk",120,0,120,47104,0,12058624,0,"",""
20,"Metadata/Effects/Spells/default_attack/one_handed_L.epk Fixed Length",0,"Metadata/Effects/Spells/default_attack/one_handed_L.epk",120,0,120,47104,0,12058624,0,"",""
21,"Metadata/Effects/Spells/default_attack/staff_main.epk Fixed Length",0,"Metadata/Effects/Spells/default_attack/staff_main.epk",150,0,150,47104,0,12058624,0,"",""
22,"Metadata/Effects/Spells/default_attack/staff_off.epk Fixed Length",0,"Metadata/Effects/Spells/default_attack/staff_off.epk",150,0,150,47104,0,12058624,0,"",""
23,"Metadata/Effects/Spells/default_attack/two_handed.epk Fixed Length",0,"Metadata/Effects/Spells/default_attack/two_handed.epk",150,0,150,47104,0,12058624,0,"",""
24,"Metadata/Effects/Spells/double_strike_02/double_strike_claw.epk",0,"",65,11,65,1094656,0,12058624,0,"",""
25,"Metadata/Effects/Spells/double_strike_02/double_strike_onehand.epk",0,"",120,11,120,1167360,0,12058624,0,"",""
26,"Metadata/Effects/Spells/double_strike_02/double_strike_staffmain.epk",0,"",150,13,150,1240064,0,12058624,0,"",""
27,"Metadata/Effects/Spells/double_strike_02/double_strike_staffoff.epk",0,"",150,13,150,1312256,0,12058624,0,"",""
28,"Metadata/Effects/Spells/double_strike_02/double_strike_twohand.epk",0,"",150,13,150,1240064,0,12058624,0,"",""
29,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_clawunarmed_L.epk",0,"",65,11,65,1419776,0,12058624,0,"",""
30,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_clawunarmed_R.epk",0,"",65,11,65,1419776,0,12058624,0,"",""
31,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_onehanded_L.epk",0,"",120,11,120,1517056,0,12058624,0,"",""
32,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_onehanded_R.epk",0,"",120,11,120,1517056,0,12058624,0,"",""
33,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_staffmain.epk",0,"",150,13,150,1611264,0,12058624,0,"",""
34,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_staffoff.epk",0,"",150,13,150,1672192,0,12058624,0,"",""
35,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_twohanded_R.epk",0,"",150,13,150,1611264,0,12058624,0,"",""
36,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_claw.epk",0,"",60,11,60,1768960,0,12058624,0,"",""
37,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_onehand.epk",0,"",110,11,110,1768960,0,12058624,0,"",""
38,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_onehandoff.epk",0,"",110,11,110,1768960,0,12058624,0,"",""
39,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_staffmain.epk",0,"",135,13,135,1908736,0,12058624,0,"",""
40,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_staffoff.epk",0,"",135,13,135,1978880,0,12058624,0,"",""
41,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_twohand.epk",0,"",135,13,135,1908736,0,12058624,0,"",""
42,"Metadata/Effects/Spells/default_attack/monster_unarmed_R.epk",0,"Metadata/Effects/Spells/default_attack/monster_unarmed_R.epk",65,11,65,47104,0,12058624,0,"",""
43,"Metadata/Effects/Spells/default_attack/monster_unarmed_L.epk",0,"Metadata/Effects/Spells/default_attack/monster_unarmed_L.epk",65,11,65,47104,0,12058624,0,"",""
44,"monster unarmed green R",0,"Metadata/Effects/Spells/default_attack/monster_unarmed_green_R.epk",65,11,65,47104,0,12058624,0,"",""
45,"monster unarmed green L",0,"Metadata/Effects/Spells/default_attack/monster_unarmed_green_L.epk",65,11,65,47104,0,12058624,0,"",""
46,"Metadata/Effects/Spells/slice_n_dice/slice_R.epk",0,"Metadata/Effects/Spells/slice_n_dice/slice_R.epk",120,10,120,47104,0,12058624,0,"",""
47,"Metadata/Effects/Spells/slice_n_dice/slice_L.epk",0,"Metadata/Effects/Spells/slice_n_dice/slice_L.epk",120,10,120,47104,0,12058624,0,"",""
48,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_L.epk",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_L.epk",65,11,65,2299904,0,12058624,0,"",""
49,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_R.epk",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_R.epk",65,11,65,2299904,0,12058624,0,"",""
50,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_one_hand_L.epk",0,"",120,11,120,2421248,0,12058624,0,"",""
51,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_one_hand_R.epk",0,"",120,11,120,2421248,0,12058624,0,"",""
52,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_two_hand_R.epk",0,"",120,13,120,2541056,0,12058624,0,"",""
53,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_staff_main.epk",0,"",150,13,150,2620928,0,12058624,0,"",""
54,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_staff_off.epk",0,"",150,13,150,2703360,0,12058624,0,"",""
55,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_L.epk Fixed Length",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_L.epk",65,0,65,2299904,0,12058624,0,"",""
56,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_R.epk Fixed Length",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_R.epk",65,0,65,2299904,0,12058624,0,"",""
57,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_one_hand_L.epk Fixed Length",0,"",120,0,120,2421248,0,12058624,0,"",""
58,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_one_hand_R.epk Fixed Length",0,"",120,0,120,2421248,0,12058624,0,"",""
59,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_two_hand_R.epk Fixed Length",0,"",120,0,120,2541056,0,12058624,0,"",""
60,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_staff_main.epk Fixed Length",0,"",150,0,150,2620928,0,12058624,0,"",""
61,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_staff_off.epk Fixed Length",0,"",150,0,150,2703360,0,12058624,0,"",""
62,"Metadata/Effects/Spells/fortify/surge/fortify_unarmed_L.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_unarmed_L.epk",65,11,65,47104,0,12058624,0,"",""
63,"Metadata/Effects/Spells/fortify/surge/fortify_unarmed_R.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_unarmed_R.epk",65,11,65,47104,0,12058624,0,"",""
64,"Metadata/Effects/Spells/fortify/surge/fortify_one_hand_L.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_one_hand_L.epk",120,11,120,47104,0,12058624,0,"",""
65,"Metadata/Effects/Spells/fortify/surge/fortify_one_hand_R.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_one_hand_R.epk",120,11,120,47104,0,12058624,0,"",""
66,"Metadata/Effects/Spells/fortify/surge/fortify_staff_main.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_staff_main.epk",150,13,150,47104,0,12058624,0,"",""
67,"Metadata/Effects/Spells/fortify/surge/fortify_staff_off.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_staff_off.epk",150,13,150,47104,0,12058624,0,"",""
68,"Metadata/Effects/Spells/fortify/surge/fortify_two_hand_L.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_two_hand_L.epk",150,13,150,47104,0,12058624,0,"",""
69,"Metadata/Effects/Spells/fortify/surge/fortify_two_hand_R.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_two_hand_R.epk",150,13,150,47104,0,12058624,0,"",""
70,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_one_hand_L.epk",0,"",65,11,65,3362304,0,12058624,0,"",""
71,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_one_hand_R.epk",0,"",65,11,65,3362304,0,12058624,0,"",""
72,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_staff_main.epk",0,"",150,13,150,3480576,0,12058624,0,"",""
73,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_staff_off.epk",0,"",150,13,150,3561984,0,12058624,0,"",""
74,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_two_hand_L.epk",0,"",120,13,120,3643392,0,12058624,0,"",""
75,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_two_hand_R.epk",0,"",120,13,120,3643392,0,12058624,0,"",""
76,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_L.epk",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_L.epk",120,11,120,3761152,0,12058624,0,"",""
77,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_R.epk",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_R.epk",120,11,120,3761152,0,12058624,0,"",""
78,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_one_hand_L.epk Fixed Length",0,"",65,0,65,3362304,0,12058624,0,"",""
79,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_one_hand_R.epk Fixed Length",0,"",65,0,65,3362304,0,12058624,0,"",""
80,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_staff_main.epk Fixed Length",0,"",150,0,150,3480576,0,12058624,0,"",""
81,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_staff_off.epk Fixed Length",0,"",150,0,150,3561984,0,12058624,0,"",""
82,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_two_hand_L.epk Fixed Length",0,"",120,0,120,3643392,0,12058624,0,"",""
83,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_two_hand_R.epk Fixed Length",0,"",120,0,120,3643392,0,12058624,0,"",""
