"rownum","Id","HASH16","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Image","rid","i32","Mods","FlavorText (English)","FlavorText (French)","FlavorText (German)","FlavorText (Japanese)","FlavorText (Korean)","FlavorText (Portuguese)","FlavorText (Russian)","FlavorText (Spanish)","FlavorText (Thai)","FlavorText (Traditional Chinese)","i32","[rid]","rid","rid"
0,"NgamahuIgnite",973,"Umu Coals","Pierres à umu","Kohlen des Umu","ウムの石炭","우무 석탄","Brasas Umu","Печные угли","Brasas de umu","ถ่านหินอูมู","烏穆之炭","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/CharcoalPot",1,250,"[34787,34788]","Traditional meals are cooked in a great fire-stone pit.\r\nIn a crisis, those stones can pull double duty.","Les repas traditionnels sont cuits dans une fosse tapissée de pierres volcaniques.\r\nEn période de crise, celles-ci peuvent avoir une autre utilité.","Traditionell werden Mahlzeiten auf großen Steinen in einer Feuergrube zubereitet.\r\nIm Notfall finden diese Steine noch eine andere Verwendung.","伝統的な食事は大きな石かまどで調理されていた。\r\n非常時、石は二役をこなすことができる。","전통 요리는 거대한 불돌 구덩이에서 만들어진다.\r\n위급한 상황에는 그 돌을 다른 용도로도 사용할 수 있다.","Refeições tradicionais são cozidas em um grande fosso de pedras flamejantes.","Традиционные блюда готовятся в большой выложенной камнями яме.\r\nВ решающий момент камни можно применить по другому назначению.","Las comidas tradicionales se preparan en una gran fogata de piedra.\r\nEn tiempo de crisis, esas piedras pueden tener una doble función.","หลุม​หิน​ทน​ไฟ​มี​ไว้​ทำ​อาหาร​ตาม​ธรรมเนียม\r\nใน​ยาม​วิกฤติ หิน​พวก​นี้​ก็​ทำ​หน้าที่​อื่น​ได้​เช่นกัน","傳統的餐點是在一個巨大的火石坑中烹製的。\r\n在危機時，這些石頭可以充當兩用。",800,[],516,529
1,"NgamahuRighteousFire",63324,"Firebreather Mead","Hydromel crache-flammes","Met des Feuerspuckers","火吹きの蜂蜜酒","화염숨결 꿀술","Hidromel do Cuspidor de Fogo","Огненная медовуха","Hidromiel escupefuego","มี้ดพ่นไฟ","焰息者蜜酒","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SpicyMedicine",1,250,[34789],"The fruit of the volcanic nightshade plant can leave veteran warriors in tears.","Le fruit de la belladone volcanique peut même arracher des larmes aux vétérans les plus aguerris.","Die Frucht des vulkanischen Nachtschatten-Gewächses kann verdiente Krieger zum Weinen bringen.","火山性のナス科の植物の果実は、歴戦の戦士すら涙する。","화산 지대에서 자라는 식물인 까마중의 열매는 노련한 전사들조차 눈물을 흘리게 한다.","Quando em crise, essas pedras podem servir a outros propósitos.","Плоды вулканического паслёна и бывалого воина заставят ронять слёзы.","El fruto de la planta belladona volcánica puede hacer llorar a los guerreros más veteranos.","ผล​จาก​ต้น​ไนท์​เชด​ภูเขาไฟ​เรียก​น้ำตา​จาก​นักรบ​ผ่าน​ศึก​ได้​ง่าย​นัก","火山夜影植物的果實可能會讓老練的戰士淚流滿面。",400,[],516,529
2,"NgamahuChanceForNoRespawnTimer",47146,"Volcanic Emblem","Emblème volcanique","Vulkanisches Emblem","火山の紋章","화산의 상징","Emblema Vulcânico","Знак вулкана","Emblema volcánico","ตราสัญลักษณ์ภูเขาไฟ","火山象徵","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/KoamCoin",1,300,[34790],"The Ngamahu Tribe believes the Karui will be reforged in a volcano at the end of time.","La tribu de Ngamahu croit que les Karuis seront reforgés en un volcan à la fin des temps.","Der Stamm der Ngamahu glaubt, dass die Karui am Ende der Zeit in einem Vulkan neu geschmiedet werden.","ナマフの部族は、カルイは時の終わりに火山で再鍛錬されると信じている。","나마후 부족은 시간의 끝이 오면 카루이가 화산 속에서 다시 재련되어 재탄생할 것이라 믿는다.","A fruta da planta beladona vulcânica pode deixar guerreiros veteranos em prantos.","Племя Нгамаху верит, что в конце времён каруи будут вновь рождены в пламени вулкана.","La tribu Ngamahu cree que los karui volverán a forjarse en un volcán en el fin de los tiempos.","เผ่า​นามาฮู​เชื่อ​ว่า​คารุย​จะ​ถูก​หล่อหลอม​ใหม่​ใน​ภูเขาไฟ​ใน​​ยาม​สิ้นกาล","努葛瑪呼部落相信卡魯人將在世界末日時在一座火山中重生。",800,[],516,529
3,"NgamahuFireExplode",53806,"Dying Roar","Ultime rugissement","Der letzte Schlachtruf","死にかけロア","죽어가는 포효","Rugido Final","Предсмертный рёв","Rugido agonizante","คำรามยามสิ้นลม","垂死怒吼","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/DeadmansSwitch",1,150,"[34785,34786]","When Ngamahu's chosen truly wish to destroy an enemy, nothing can stop them.","Quand les élus de Ngamahu souhaitent réellement détruire un ennemi, rien ne peut les en empêcher.","Wenn Ngamahus Auserwählte einen Feind wahrhaftig vernichten wollen, dann kann sie nichts und niemand aufhalten.","ナマフに選ばれし者が敵を滅する事を切に望む時、誰も彼らを止められない。","나마후의 선택받은 자가 적을 파멸시키기로 마음 먹으면 그 누구도 막을 수 없다.","A Tribo de Ngamahu acredita que os Karui vão ser reforjados em um vulcão no fim dos tempos.","Когда избранник Нгамаху истинно желает уничтожить врага, ничто не способно его остановить.","Cuando los elegidos de Ngamahu realmente quieren destruir a un enemigo, no hay nada que pueda detenerlos.","เมื่อ​ผู้​ถูกเลือก​ของ​นามาฮู​ตั้งใจ​ทำลาย​ศัตรู​สัก​คน​ให้​ย่อยยับ ย่อม​ไม่มี​อะไร​หยุด​ยั้ง​เขา​ได้","當努葛瑪呼的天選之子真心希望摧毀敵人時，沒有什麼可以阻止他們。",400,[],516,529
4,"TasalioVines",47392,"Ichthyic Bolas","Bolas ichtyoïdes","Tiefsee-Bolas","魚の投げ縄","물고기 모양 사냥돌","Boleadeiras Ictíicas","Рыбный болаc","Lazo ictíneo","โบล่ามัจฉา","魚繩","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/FishBolaCharm",2,200,[34791],"Hunters of the Tasalio Tribe are just as effective on land.","Les chasseurs de la tribu de Tasalio sont tout aussi efficaces sur la terre ferme.","Die Jäger von Tasalios Stamm sind ebenso effektiv an Land.","タサリオの漁師は、地上でも役に立つ。","타살리오 부족의 사냥꾼들은 뭍에서도 물에서만큼 유능하다.","Quando o escolhido de Ngamahu realmente quiser destruir um inimigo, nada pode impedi-lo.","Охотники племени Тасалио не менее эффективны и на суше.","Los cazadores de la tribu Tasalio son igual de eficaces en tierra.","นักรบ​เผ่า​ทาซาลีโอ​ออก​ล่า​บน​ดิน​ได้​ดี​เช่นกัน","塔薩里奧部落的獵人在陸地上同樣有效率。",1000,[],519,532
5,"TasalioStealth",14996,"Inky Infusion","Infusion d'un noir d'encre","Tinteninfusion","真っ黒な浸出液","새까만 주입","Infusão de Tinta","Чернильная наливка","Infusión negra","น้ำละลายหมึก","墨印灌注","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/OctopusDoll",2,200,[34819],"They slip through shadows of their own making.","Ils se glissent dans des ombres qu'ils ont créées.","Sie schleichen durch selbstgeworfene Schatten.","彼らは自分自身が作った影をすり抜ける。","그들은 스스로 만들어 낸 그림자 속으로 사라지곤 한다.","Caçadores da Tribo de Tasalio também são bem efetivos em terra.","Они скользят в собственных тенях.","Se escabullen entre las sombras de su propia creación.","พวก​เขา​แฝง​กาย​ผ่าน​เงา​ตน","他們在自己創造的陰影中穿梭。",1000,[],519,532
6,"TasalioShroudWalker",34426,"Sudden Fog","Brouillard soudain","Plötzlicher Nebel","突然の霧","갑작스러운 안개","Névoa Repentina","Внезапный туман","Niebla repentina","หมอกควันทันด่วน","霞霧","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SmokeBomb",2,200,[34784],"A clear day dawns only for the lucky.","Seuls les chanceux voient poindre un jour radieux.","Die Morgenröte verspricht nur den Glücklichen einen klaren Tag.","晴れた日は幸運な者にのみ夜明けをもたらす。","화창한 날은 운 좋은 이에게만 찾아온다.","Eles escapam das sombras que eles mesmos criam.","Яркий рассвет встретят лишь удачливые.","Solo los afortunados tendrán un día soleado.","มี​เพียง​ผู้​มี​โชค​เท่านั้น ที่​จะ​ได้​พบ​กับ​เช้า​วัน​ใหม่​อัน​สดใส","晴朗的日子只對幸運的人來臨。",1000,[],519,532
7,"TasalioChannellingInterruptDuration",32539,"Sea Charm","Charme marin","Amulett der See","海のお守り","바다 부적","Amuleto Marítimo","Морской амулет","Amuleto marino","ของขลังท้องทะเล","海之護符","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SpiralRopeCharm",2,500,[34820],"Tasalio bids you take a moment to stop and enjoy the calm of the ocean.","Tasalio vous ordonne de prendre le temps de savourer le calme de l'océan.","Tasalio lässt Euch sagen, dass Ihr einen Moment innehalten und die Ruhe des Ozeans genießen sollt.","タサリオは、船を止めて静かな海を楽しむよう告げた。","타살리오가 잠시 멈춰 바다의 평온함을 만끽하라 권한다.","Um lindo dia se inicia apenas para os afortunados.","Тасалио зовёт тебя прерваться на мгновение и насладиться тишиной океана.","Tasalio te invita a que te detengas un momento a disfrutar de la calma del océano.","ทาซาลีโอ​ขอ​ให้​เจ้า​ใช้​เวลา​ชั่ว​ครู่​ใน​การ​ดื่มด่ำ​ไป​กับ​มหาสมุทร​ที่​เงียบสงบ","塔薩里奧建議你停下來，享受海洋的寧靜。",300,[],519,532
8,"ArohonguiEnergyShield",30400,"Silver Ward","Protection argentée","Silberner Schutz","銀の保護","은의 수호","Proteção Prateada","Серебряный оберег","Protección de plata","เครื่องคุ้มภัยสีเงิน","銀白庇護","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/MoonPin",3,150,"[34792,34793]","Arohongui looks after all those in need.","Arohongui s'occupe de tous ceux qui sont dans le besoin.","Arohungui kümmert sich um alle Notleidenden.","アロホングイは、助けが必要な者の世話をする。","아로호누이는 곤경에 처한 모든 이를 돌본다.","Tasalio sugere que você tire um tempo para apreciar a calma do oceano.","Арохонгуи присматривает за всеми страждущими.","Arohongui cuida de los necesitados.","อะโรฮอนกุย​ดูแล​ทุก​คน​ที่​ยากไร้","艾蘿紅薇照顧所有需要幫助的人。",1000,[],516,529
9,"ArohonguiChilledGround",20288,"Moon's Path","Voie de la Lune","Der Pfad des Mondes","月の道筋","달의 길","Caminho da Lua","Путь луны","Camino de la luna","เส้นทางจันทรา","皎月之路","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/MoonAnklets",3,250,[34782],"The never-ending journey must be walked alone.","Le chemin sans fin doit s'arpenter seul.","Der Pfad der endlosen Reise muss allein beschritten werden.","終わりなき旅は一人で歩まなければならない。","이 끝없는 여정에서는 홀로 길을 걸어가야만 한다.","Arohongui cuida de todos os necessitados.","Бесконечный путь должно пройти в одиночестве. ","El viaje eterno es un recorrido solitario.","เส้นทาง​ที่​ไม่รู้​สิ้น​นี้​มี​ไว้​สัญจร​ตาม​ลำพัง","永無止境的旅程必須獨自走。",800,[],516,529
10,"ArohonguiColdAilmentImmunity",18258,"Lunar Grace","Grâce lunaire","Gnade des Mondes","月の恩寵","달의 은총","Graça Lunar","Лунная благодать","Gracia lunar","พระคุณจันทรา","月神恩典","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/IceCharm",3,150,[34794],"The lunar plains are cold, but the silver palace is always warm and welcoming.","Les plaines lunaires sont glaciales, mais le palais argenté est toujours chaleureux et accueillant.","Die Ebenen des Mondes mögen kalt sein, aber der silberne Palast ist immer warm und einladend.","月面は冷たいが、銀の宮殿はいつも暖かく迎えてくれる。","달의 평야는 차갑지만, 은빛 궁전은 늘 문을 열고 찾는 이를 따스하게 맞이한다.","A jornada sem fim precisa ser percorrida sozinho.","Лунные равнины холодны, но серебряный дворец всегда полон тепла и радушия.","Las llanuras lunares son frías, pero el palacio de plata siempre es cálido y acogedor.","ที่ราบ​ดวงจันทร์​นั้น​เยือกเย็น แต่​พระราชวัง​สี​เงิน​นั้น​อบอุ่น​เกื้อกูล​เสมอ","月亮平原寒冷，但銀色宮殿永遠溫暖而受人歡迎。",500,[],516,529
11,"ArohonguiFreeze",20970,"Dance of the Seasons","Danse des saisons","Tanz der Jahreszeiten","季節の舞","계절의 춤","Dança das Temporadas","Танец сезонов","Baile de las estaciones","ฤดูกาลเริงรำ","季節之舞","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/CrescentToeRings",3,600,[34795],"Winter is inevitable, but so is the spring.","L'hiver est inévitable, mais le printemps l'est tout autant.","Der Winter ist unausweichlich, genauso wie der Frühling.","冬は不可避だが、春もまた不可避。","겨울은 필연적으로 오고 말지만, 봄 역시 마찬가지다.","Os campos lunares são gelados, mas o palácio prateado é sempre quente e receptivo.","Зима неизбежна, как и весна.","El invierno es inevitable, pero también lo es la primavera.","ฤดูหนาว​ย่อม​มา​ถึง ฤดู​ใบไม้​ผลิ​ก็​เช่นกัน","冬天是必然的，春天也是如此。",200,[],516,529
12,"ValakoChargesForDefensiveTeammates",36365,"Lightning Rod","Paratonnerre","Blitzableiter","避雷針","피뢰침","Pára-raios","Жезл молний","Pararrayos","วัตถุล่อฟ้า","雷霆之杖","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/LightningRod",4,200,[34821],"Valako's gifts are unpredictable, but welcome.","Les cadeaux de Valako sont imprévisibles mais bienvenus.","Valakos Geschenke sind nicht vorhersehbar, aber willkommen.","ヴァラコの施しは予測できないが、ありがたい。","발라코의 선물은 예측할 수 없지만 달갑기 마련이다.","O Inverno é inevitável, mas a primavera também.","Дары Валако непредсказуемы, но желанны.","Los dones de Valako son impredecibles, pero bienvenidos.","ของขวัญ​ของ​วาลาโค​นั้น​มิ​อาจ​คาดเดา​ได้ แต่​ก็​เป็น​ที่​ยินดี","瓦拉庫的恩惠是不可預測的，但受歡迎的。",1000,[],519,532
