"rownum","string","string","string","rid","bool","rid"
0,"Idling","","Idling",20433,"",""
1,"Mining","Art/2DArt/UIImages/InGame/Village/JobIcons/MiningJobIcon","Mining",20418,1,20400
2,"Smelting","Art/2DArt/UIImages/InGame/Village/JobIcons/SmithingJobIcon","Smelting",20420,1,20401
3,"Farming","Art/2DArt/UIImages/InGame/Village/JobIcons/FarmingJobIcon","Farming",20425,"",20403
4,"Disenchanting","Art/2DArt/UIImages/InGame/Village/JobIcons/DisenchantingJobIcon","Disenchanting",20422,1,20402
5,"Mapping","Art/2DArt/UIImages/InGame/Village/JobIcons/MapRunningJobIcon","Mapping",20431,"",20404
6,"Shipping","Art/2DArt/UIImages/InGame/Village/JobIcons/ShippingJobIcon","Shipping",20428,"",""
7,"Fishing","Art/2DArt/UIImages/InGame/Village/JobIcons/FishingJobIcon","Fishing",20432,1,20406
8,"LostAtSea","","Lost at Sea","","",""
9,"LostMapping","","Trapped in the Atlas","","",""
