"rownum","Tattoo","Override","Set","Tribe","OverrideType"
0,10427,0,0,0,""
1,10428,1,0,0,""
2,10429,2,0,0,""
3,10430,3,0,0,""
4,10431,4,0,0,""
5,10432,5,0,0,""
6,10433,6,0,0,""
7,10434,7,0,1,""
8,10435,8,0,1,""
9,10436,9,0,1,""
10,10437,10,2,1,""
11,10438,11,0,1,""
12,10439,12,0,1,""
13,10440,13,0,1,""
14,10441,14,0,2,""
15,10442,15,0,2,""
16,10443,16,0,2,""
17,10444,17,0,2,""
18,10445,18,0,2,""
19,10446,19,0,2,""
20,10447,20,0,2,""
21,10448,21,0,3,""
22,10449,22,0,3,""
23,10450,23,0,3,""
24,10451,24,2,3,""
25,10452,25,0,3,""
26,10453,26,0,3,""
27,10454,27,0,3,""
28,10455,28,0,4,""
29,10456,29,1,4,""
30,10457,30,2,4,""
31,10458,31,1,4,""
32,10459,32,1,4,""
33,10460,33,1,4,""
34,10461,34,2,4,""
35,10462,35,1,5,""
36,10463,36,1,5,""
37,10464,37,1,5,""
38,10465,38,2,5,""
39,10466,39,2,5,""
40,10467,40,1,5,""
41,10468,41,1,5,""
42,10469,42,1,6,""
43,10470,43,1,6,""
44,10471,44,1,6,""
45,10472,45,1,6,""
46,10473,46,1,6,""
47,10474,47,1,6,""
48,10475,48,1,6,""
49,10476,49,2,7,""
50,10477,50,2,7,""
51,10478,51,2,7,""
52,10479,52,2,7,""
53,10480,53,2,7,""
54,10481,54,2,7,""
55,10482,55,2,7,""
56,10483,56,1,8,""
57,10484,57,1,8,""
58,10485,58,2,8,""
59,10486,59,1,8,""
60,10487,60,2,8,""
61,10488,61,2,8,""
62,10489,62,1,8,""
63,10490,63,2,9,""
64,10491,64,2,9,""
65,10492,65,2,9,""
66,10493,66,0,9,""
67,10494,67,2,9,""
68,10495,68,2,9,""
69,10496,69,2,9,""
70,10497,70,3,10,""
71,10498,71,3,10,""
72,10499,72,3,10,""
73,10500,73,3,10,""
74,10501,74,3,10,""
75,10502,75,3,10,""
76,10503,76,3,10,""
77,10504,77,3,10,""
78,10505,78,4,10,""
79,10506,79,4,10,""
80,10507,80,4,10,""
81,10508,81,5,10,""
82,10509,82,5,10,""
83,10510,83,5,10,""
84,10511,84,6,10,""
85,10512,85,6,10,""
86,10513,86,6,10,""
87,10514,87,3,10,""
88,10515,88,3,10,""
89,10516,89,4,10,""
90,10517,90,5,10,""
91,10518,91,6,10,""
92,10519,92,7,10,15
