"rownum","StatsKey","TagsKeys","bool","i32","bool"
0,10640,[658],1,0,1
1,10641,[34],1,0,1
2,10642,[319],1,0,1
3,10643,[317],1,0,1
4,10644,[660],1,0,1
5,10645,[633],1,0,1
6,10646,[634],1,0,1
7,10647,"[659,706]",1,0,1
8,10648,[324],1,0,1
9,10649,[625],1,0,1
10,2465,[319],"",1,""
11,2464,[34],"",1,""
12,12443,[313],1,0,""
13,12444,[309],1,0,""
14,12445,[311],1,0,""
15,12446,[310],1,0,""
16,12447,[312],1,0,""
17,12448,[661],1,0,""
18,12449,[323],1,0,""
19,12450,[324],1,0,""
20,12451,[625],1,0,""
21,12452,[634],1,0,""
22,12453,[636],1,0,""
23,12454,[632],1,0,""
24,12504,[316],1,0,""
25,12547,[317],1,0,""
26,12548,[633],1,0,""
27,12849,[],1,0,""
28,14007,[712],1,0,""
29,18161,[320],1,0,""
30,18162,[658],1,0,""
31,18163,"[659,706]",1,0,""
32,3851,[],"",0,1
