"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool","rid","rid","bool","TradeMarketCategory","Unmodifiable","Achievement"
0,"Metadata/Items/Currency/CurrencyWeaponQuality",30,1,1,"Blacksmith's Whetstone","Metadata/Items/Currency/StackableCurrency",1,"",[],1,35,[348],34,1,0,1154719587,[],"","","",[],[],"","","","","","","",[]
1,"Metadata/Items/Currency/CurrencyIdentification",30,1,1,"Scroll of Wisdom","Metadata/Items/Currency/StackableCurrency",1,"",[],1,27,[],34,1,1,1351093167,[7243],"","","",[],[],"","","","","","","",[]
2,"Metadata/Items/Currency/CurrencyRerollRare",30,1,1,"Chaos Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],34,1,2,1934876153,[9318],"","","",[],[],"","","","","","","",[]
3,"Metadata/Items/Currency/CurrencyRerollRareVeiled",30,1,1,"Veiled Chaos Orb","Metadata/Items/Currency/StackableCurrency",61,"",[],1,34,[],34,1,3,-1550851543,[],"","","",[],[],"","","","","","","",[]
4,"Metadata/Items/Currency/CurrencyArmourQuality",30,1,1,"Armourer's Scrap","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[348],34,1,4,-66826851,[],"","","",[],[],"","","","","","","",[]
5,"Metadata/Items/Currency/CurrencyDuplicate",30,1,1,"Mirror of Kalandra","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],34,1,6,2042772245,[],"","","",[],[],"","","","","","","",[]
6,"Metadata/Items/Currency/CurrencyUpgradeToRare",30,1,1,"Orb of Alchemy","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],34,1,7,-1861203649,[9544],"","","",[],[],"","","","","","","",[]
7,"Metadata/Items/Currency/CurrencyUpgradeRandomly",30,1,1,"Orb of Chance","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],34,1,8,-982307707,[9317],"","","",[],[],"","","","","","","",[]
8,"Metadata/Items/Currency/CurrencyPassiveRefund",30,1,1,"Orb of Regret","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],34,1,9,-1689566555,[],"","","",[],[],"","","","","","","",[]
9,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",30,1,1,"Orb of Unmaking","Metadata/Items/Currency/StackableCurrency",70,"",[],1,34,[],34,1,10,-402031475,[],"","","",[],[],"",1,"","","","","",[]
10,"Metadata/Items/Currency/CurrencyUpgradeToMagic",30,1,1,"Orb of Transmutation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],34,1,11,1315720499,[],"","","",[],[],"","","","","","","",[]
11,"Metadata/Items/Currency/CurrencyRerollMagic",30,1,1,"Orb of Alteration","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],34,1,12,-684555689,[],"","","",[],[],"","","","","","","",[]
12,"Metadata/Items/Currency/CurrencyConvertToNormal",30,1,1,"Orb of Scouring","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],34,1,13,2131686967,"[148,8506]","","","",[],[],"","","","","","","",[]
13,"Metadata/Items/Currency/CurrencyAddModToRare",30,1,1,"Exalted Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],34,1,15,-1068542423,[],"","","",[],[],"","","","","","","",[]
14,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",30,1,1,"Regal Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],34,1,16,-658682019,[9384],"","","",[],[],"","","","","","","",[]
15,"Metadata/Items/Currency/CurrencyAddModToMagic",30,1,1,"Orb of Augmentation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],34,1,17,-172267806,[],"","","",[],[],"","","","","","","",[]
16,"Metadata/Items/Currency/CurrencyPortal",30,1,1,"Portal Scroll","Metadata/Items/Currency/StackableCurrency",2,"",[],1,27,[],34,1,18,1328218349,[],"","","",[],[],"","","","","","","",[]
17,"Metadata/Items/Currency/CurrencyFlaskQuality",30,1,1,"Glassblower's Bauble","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[348],34,1,19,-579550017,[7246],"","","",[],[],"","","","","","","",[]
18,"Metadata/Items/Currency/CurrencyGemQuality",30,1,1,"Gemcutter's Prism","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[348],34,1,20,128553707,[7734],"","","",[],[],"","","","","","","",[]
19,"Metadata/Items/Currency/CurrencyRerollSocketColours",30,1,1,"Chromatic Orb","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],34,1,29,471734571,[8889],"","","",[],[],"","","","","","","",[]
20,"Metadata/Items/Currency/CurrencyRerollSocketLinks",30,1,1,"Orb of Fusing","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[],34,1,30,-954468979,[9606],"","","",[],[],"","","","","","","",[]
21,"Metadata/Items/Currency/CurrencyRerollSocketNumbers",30,1,1,"Jeweller's Orb","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[],34,1,31,-577668719,"[7983,9124]","","","",[],[],"","","","","","","",[]
22,"Metadata/Items/Currency/CurrencyModValues",30,1,1,"Divine Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],34,1,32,-2147189507,[8308],"","","",[],[],"","","","","","","",[]
23,"Metadata/Items/Currency/CurrencyRerollImplicit",30,1,1,"Blessed Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],34,1,33,764311090,[],"","","",[],[],"","","","","","","",[]
24,"Metadata/Items/Currency/CurrencyRerollDefences",30,1,1,"Sacred Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],34,1,34,1784206883,[],"","","",[],[],"","","","","","","",[]
25,"Metadata/Items/Currency/CurrencyMapQuality",30,1,1,"Cartographer's Chisel","Metadata/Items/Currency/StackableCurrency",52,"",[],1,34,[348],34,1,5,-601787753,[7485],"","","",[],[],"","","","","","","",[]
26,"Metadata/Items/Currency/CurrencyIdentificationShard",30,1,1,"Scroll Fragment","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],34,0,25,1594034883,[],"","","",[],[],"","","","","","","",[]
27,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",30,1,1,"Transmutation Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],34,0,26,1280989466,[],"","","",[],[],"","","","","","","",[]
28,"Metadata/Items/Currency/CurrencyRerollMagicShard",30,1,1,"Alteration Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],34,0,27,216495198,[],"","","",[],[],"","","","","","","",[]
29,"Metadata/Items/Currency/CurrencyUpgradeToRareShard",30,1,1,"Alchemy Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],34,0,28,-1225932478,[],"","","",[],[],"","","","","","","",[]
30,"Metadata/Items/Currency/CurrencyRhoaFeather",30,1,1,"Albino Rhoa Feather","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],34,0,35,2003183108,[],"","","",[],[],"","","","","","","",[]
31,"Metadata/Items/Currency/CurrencyImprintOrb",30,1,1,"Eternal Orb","Metadata/Items/Currency/StackableCurrency",40,"",[],1,34,[],34,0,36,1639118317,[],"","","",[],[],"","","","","","","",[]
